; Candidate 14109
; ADRP+ADD at VM 0xfffffff0097119dc (fileoff 0x270d9dc): page=0x1fde81000 add_imm=0xd94

0xfffffff00971195c: 408e38d4  brk	#0xc472
0xfffffff009711960: 08221591  add	x8, x16, #0x548
0xfffffff009711964: 09a642f9  ldr	x9, [x16, #0x548]
0xfffffff009711968: 040080d2  mov	x4, #0
0xfffffff00971196c: 25008052  mov	w5, #1
0xfffffff009711970: e70314aa  mov	x7, x20
0xfffffff009711974: f10308aa  mov	x17, x8
0xfffffff009711978: d19ef0f2  movk	x17, #0x84f6, lsl #48
0xfffffff00971197c: 31093fd7  blraa	x9, x17
0xfffffff009711980: f40300aa  mov	x20, x0
0xfffffff009711984: 700240f9  ldr	x16, [x19]
0xfffffff009711988: f10313aa  mov	x17, x19
0xfffffff00971198c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009711990: 301ac1da  autda	x16, x17
0xfffffff009711994: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff009711998: e90310aa  mov	x9, x16
0xfffffff00971199c: e00313aa  mov	x0, x19
0xfffffff0097119a0: f10309aa  mov	x17, x9
0xfffffff0097119a4: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff0097119a8: 11093fd7  blraa	x8, x17
0xfffffff0097119ac: e10300aa  mov	x1, x0
0xfffffff0097119b0: e00315aa  mov	x0, x21
0xfffffff0097119b4: f314b197  bl	#0xfffffff008356d80
0xfffffff0097119b8: e00314aa  mov	x0, x20
0xfffffff0097119bc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0097119c0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0097119c4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0097119c8: ff0f5fd6  retab	
0xfffffff0097119cc: d61a0011  add	w22, w22, #6
0xfffffff0097119d0: 06000014  b	#0xfffffff0097119e8
0xfffffff0097119d4: 16008052  mov	w22, #0
0xfffffff0097119d8: 04000014  b	#0xfffffff0097119e8
0xfffffff0097119dc: 00f4feb0  adrp	x0, #0xfffffff007592000
0xfffffff0097119e0: 00503691  add	x0, x0, #0xd94
0xfffffff0097119e4: 8f15b197  bl	#0xfffffff008357020
0xfffffff0097119e8: e00316aa  mov	x0, x22
0xfffffff0097119ec: f4ffff17  b	#0xfffffff0097119bc
0xfffffff0097119f0: 5f2403d5  bti	c
0xfffffff0097119f4: 00008052  mov	w0, #0
0xfffffff0097119f8: c0035fd6  ret	
0xfffffff0097119fc: 5f2403d5  bti	c
0xfffffff009711a00: 3d4baf17  b	#0xfffffff0082e46f4
0xfffffff009711a04: 5f2403d5  bti	c
0xfffffff009711a08: 004840f9  ldr	x0, [x0, #0x90]
0xfffffff009711a0c: c0035fd6  ret	
0xfffffff009711a10: 7f2303d5  pacibsp	
0xfffffff009711a14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009711a18: fd030091  mov	x29, sp
0xfffffff009711a1c: c06300d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009711a20: 00e01991  add	x0, x0, #0x678
0xfffffff009711a24: 01f4feb0  adrp	x1, #0xfffffff007592000
0xfffffff009711a28: 21943491  add	x1, x1, #0xd25
0xfffffff009711a2c: c26300d0  adrp	x2, #0xfffffff00a38b000
0xfffffff009711a30: 42801391  add	x2, x2, #0x4e0
0xfffffff009711a34: 03168052  mov	w3, #0xb0
0xfffffff009711a38: 4048af97  bl	#0xfffffff0082e3b38
0xfffffff009711a3c: b028ff90  adrp	x16, #0xfffffff007c25000
0xfffffff009711a40: 10a22091  add	x16, x16, #0x828
0xfffffff009711a44: 10420091  add	x16, x16, #0x10
0xfffffff009711a48: f10300aa  mov	x17, x0
0xfffffff009711a4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009711a50: 300ac1da  pacda	x16, x17
0xfffffff009711a54: 100000f9  str	x16, [x0]
0xfffffff009711a58: fd7bc1a8  ldp	x29, x30, [sp], #0x10
