; Candidate 15462
; ADRP+ADD at VM 0xfffffff009bbd348 (fileoff 0x2bb9348): page=0x1fe130000 add_imm=0xcf8

0xfffffff009bbd2c8: e00200b4  cbz	x0, #0xfffffff009bbd324
0xfffffff009bbd2cc: 100040f9  ldr	x16, [x0]
0xfffffff009bbd2d0: f10300aa  mov	x17, x0
0xfffffff009bbd2d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bbd2d8: 301ac1da  autda	x16, x17
0xfffffff009bbd2dc: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff009bbd2e0: e90310aa  mov	x9, x16
0xfffffff009bbd2e4: 01008052  mov	w1, #0
0xfffffff009bbd2e8: f10309aa  mov	x17, x9
0xfffffff009bbd2ec: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff009bbd2f0: 11093fd7  blraa	x8, x17
0xfffffff009bbd2f4: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff009bbd2f8: 400100b4  cbz	x0, #0xfffffff009bbd320
0xfffffff009bbd2fc: 100040f9  ldr	x16, [x0]
0xfffffff009bbd300: f10300aa  mov	x17, x0
0xfffffff009bbd304: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bbd308: 301ac1da  autda	x16, x17
0xfffffff009bbd30c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009bbd310: e90310aa  mov	x9, x16
0xfffffff009bbd314: f10309aa  mov	x17, x9
0xfffffff009bbd318: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009bbd31c: 11093fd7  blraa	x8, x17
0xfffffff009bbd320: 7f2200f9  str	xzr, [x19, #0x40]
0xfffffff009bbd324: e803152a  mov	w8, w21
0xfffffff009bbd328: e80700f9  str	x8, [sp, #8]
0xfffffff009bbd32c: e2230091  add	x2, sp, #8
0xfffffff009bbd330: e00313aa  mov	x0, x19
0xfffffff009bbd334: e10314aa  mov	x1, x20
0xfffffff009bbd338: 23008052  mov	w3, #1
0xfffffff009bbd33c: 3514a197  bl	#0xfffffff008402410
0xfffffff009bbd340: e00313aa  mov	x0, x19
0xfffffff009bbd344: 3513a197  bl	#0xfffffff008402018
0xfffffff009bbd348: 8009ff90  adrp	x0, #0xfffffff007ced000
0xfffffff009bbd34c: 00e03391  add	x0, x0, #0xcf8
0xfffffff009bbd350: e10313aa  mov	x1, x19
0xfffffff009bbd354: ee649e97  bl	#0xfffffff00835670c
0xfffffff009bbd358: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009bbd35c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009bbd360: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009bbd364: ff030191  add	sp, sp, #0x40
0xfffffff009bbd368: ff0f5fd6  retab	
0xfffffff009bbd36c: 7f2303d5  pacibsp	
0xfffffff009bbd370: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff009bbd374: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff009bbd378: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009bbd37c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009bbd380: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009bbd384: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009bbd388: fd430191  add	x29, sp, #0x50
0xfffffff009bbd38c: 190080d2  mov	x25, #0
0xfffffff009bbd390: 610c00b4  cbz	x1, #0xfffffff009bbd51c
0xfffffff009bbd394: f30302aa  mov	x19, x2
0xfffffff009bbd398: 480400d1  sub	x8, x2, #1
0xfffffff009bbd39c: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff009bbd3a0: e80b00b5  cbnz	x8, #0xfffffff009bbd51c
0xfffffff009bbd3a4: f60303aa  mov	x22, x3
0xfffffff009bbd3a8: f40301aa  mov	x20, x1
0xfffffff009bbd3ac: f50300aa  mov	x21, x0
0xfffffff009bbd3b0: 008040f9  ldr	x0, [x0, #0x100]
0xfffffff009bbd3b4: c6b98797  bl	#0xfffffff007dabacc
0xfffffff009bbd3b8: a07e40f9  ldr	x0, [x21, #0xf8]
0xfffffff009bbd3bc: 89bb9c97  bl	#0xfffffff0082ec1e0
0xfffffff009bbd3c0: c00800b4  cbz	x0, #0xfffffff009bbd4d8
0xfffffff009bbd3c4: f70300aa  mov	x23, x0
