; Candidate 6982
; ADRP+ADD at VM 0xfffffff00884e3f8 (fileoff 0x184a3f8): page=0x1fe99b000 add_imm=0xe80

0xfffffff00884e378: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff00884e37c: 80108052  mov	w0, #0x84
0xfffffff00884e380: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00884e384: 41008052  mov	w1, #2
0xfffffff00884e388: 030080d2  mov	x3, #0
0xfffffff00884e38c: 04008012  mov	w4, #-1
0xfffffff00884e390: 050080d2  mov	x5, #0
0xfffffff00884e394: dcbee497  bl	#0xfffffff00817df04
0xfffffff00884e398: bfffff17  b	#0xfffffff00884e294
0xfffffff00884e39c: 84970194  bl	#0xfffffff0088b41ac
0xfffffff00884e3a0: f60300aa  mov	x22, x0
0xfffffff00884e3a4: 80008052  mov	w0, #4
0xfffffff00884e3a8: 2ab50094  bl	#0xfffffff00887b850
0xfffffff00884e3ac: e80314aa  mov	x8, x20
0xfffffff00884e3b0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884e3b4: 0a098052  mov	w10, #0x48
0xfffffff00884e3b8: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00884e3bc: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff00884e3c0: 084effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884e3c4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884e3c8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884e3cc: 082c8052  mov	w8, #0x160
0xfffffff00884e3d0: c94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00884e3d4: 29390a91  add	x9, x9, #0x28e
0xfffffff00884e3d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884e3dc: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e3e0: 08811191  add	x8, x8, #0x460
0xfffffff00884e3e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884e3e8: e80d8052  mov	w8, #0x6f
0xfffffff00884e3ec: 2350ff90  adrp	x3, #0xfffffff007252000
0xfffffff00884e3f0: 63a80c91  add	x3, x3, #0x32a
0xfffffff00884e3f4: f62300a9  stp	x22, x8, [sp]
0xfffffff00884e3f8: c04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884e3fc: 00003a91  add	x0, x0, #0xe80
0xfffffff00884e400: c18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884e404: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884e408: 02008052  mov	w2, #0
0xfffffff00884e40c: 4993eb97  bl	#0xfffffff008333130
0xfffffff00884e410: a1ffff17  b	#0xfffffff00884e294
0xfffffff00884e414: 7f2303d5  pacibsp	
0xfffffff00884e418: ffc303d1  sub	sp, sp, #0xf0
0xfffffff00884e41c: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff00884e420: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00884e424: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff00884e428: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff00884e42c: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff00884e430: fd830391  add	x29, sp, #0xe0
0xfffffff00884e434: f50302aa  mov	x21, x2
0xfffffff00884e438: f40301aa  mov	x20, x1
0xfffffff00884e43c: f30300aa  mov	x19, x0
0xfffffff00884e440: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff00884e444: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff00884e448: e00d8052  mov	w0, #0x6f
0xfffffff00884e44c: e1008052  mov	w1, #7
0xfffffff00884e450: e0b40094  bl	#0xfffffff00887b7d0
0xfffffff00884e454: e0020034  cbz	w0, #0xfffffff00884e4b0
0xfffffff00884e458: e00d8052  mov	w0, #0x6f
0xfffffff00884e45c: efb40094  bl	#0xfffffff00887b818
0xfffffff00884e460: f70300aa  mov	x23, x0
0xfffffff00884e464: 52970194  bl	#0xfffffff0088b41ac
0xfffffff00884e468: f60300aa  mov	x22, x0
0xfffffff00884e46c: e0008052  mov	w0, #7
0xfffffff00884e470: f8b40094  bl	#0xfffffff00887b850
0xfffffff00884e474: 37020034  cbz	w23, #0xfffffff00884e4b8
