; Candidate 9923
; ADRP+ADD at VM 0xfffffff008bc8624 (fileoff 0x1bc4624): page=0x1feecc000 add_imm=0xcf0

0xfffffff008bc85a4: f62300f9  str	x22, [sp, #0x40]
0xfffffff008bc85a8: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff008bc85ac: 200c00b4  cbz	x0, #0xfffffff008bc8730
0xfffffff008bc85b0: 100040f9  ldr	x16, [x0]
0xfffffff008bc85b4: f10300aa  mov	x17, x0
0xfffffff008bc85b8: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bc85bc: 301ac1da  autda	x16, x17
0xfffffff008bc85c0: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bc85c4: e90310aa  mov	x9, x16
0xfffffff008bc85c8: f10309aa  mov	x17, x9
0xfffffff008bc85cc: 511af3f2  movk	x17, #0x98d2, lsl #48
0xfffffff008bc85d0: 11093fd7  blraa	x8, x17
0xfffffff008bc85d4: 57000014  b	#0xfffffff008bc8730
0xfffffff008bc85d8: 483bfff0  adrp	x8, #0xfffffff007333000
0xfffffff008bc85dc: 08251691  add	x8, x8, #0x589
0xfffffff008bc85e0: e80300f9  str	x8, [sp]
0xfffffff008bc85e4: e039ffb0  adrp	x0, #0xfffffff007305000
0xfffffff008bc85e8: 00400c91  add	x0, x0, #0x310
0xfffffff008bc85ec: 2176ffb0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc85f0: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc85f4: 033bffd0  adrp	x3, #0xfffffff00732a000
0xfffffff008bc85f8: 63e82691  add	x3, x3, #0x9ba
0xfffffff008bc85fc: 02008052  mov	w2, #0
0xfffffff008bc8600: ccaadd97  bl	#0xfffffff008333130
0xfffffff008bc8604: 00008052  mov	w0, #0
0xfffffff008bc8608: 4b000014  b	#0xfffffff008bc8734
0xfffffff008bc860c: 6076ffd0  adrp	x0, #0xfffffff007a96000
0xfffffff008bc8610: 00802d91  add	x0, x0, #0xb60
0xfffffff008bc8614: e10317aa  mov	x1, x23
0xfffffff008bc8618: e20316aa  mov	x2, x22
0xfffffff008bc861c: f339de97  bl	#0xfffffff008356de8
0xfffffff008bc8620: 44000014  b	#0xfffffff008bc8730
0xfffffff008bc8624: 6076ff90  adrp	x0, #0xfffffff007a94000
0xfffffff008bc8628: 00c03391  add	x0, x0, #0xcf0
0xfffffff008bc862c: b237de97  bl	#0xfffffff0083564f4
0xfffffff008bc8630: f60300aa  mov	x22, x0
0xfffffff008bc8634: e10f40f9  ldr	x1, [sp, #0x18]
0xfffffff008bc8638: f5090094  bl	#0xfffffff008bcae0c
0xfffffff008bc863c: 600640f9  ldr	x0, [x19, #8]
0xfffffff008bc8640: 400100b4  cbz	x0, #0xfffffff008bc8668
0xfffffff008bc8644: 100040f9  ldr	x16, [x0]
0xfffffff008bc8648: f10300aa  mov	x17, x0
0xfffffff008bc864c: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bc8650: 301ac1da  autda	x16, x17
0xfffffff008bc8654: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bc8658: e90310aa  mov	x9, x16
0xfffffff008bc865c: f10309aa  mov	x17, x9
0xfffffff008bc8660: 511af3f2  movk	x17, #0x98d2, lsl #48
0xfffffff008bc8664: 11093fd7  blraa	x8, x17
0xfffffff008bc8668: 760600f9  str	x22, [x19, #8]
0xfffffff008bc866c: a8224139  ldrb	w8, [x21, #0x48]
0xfffffff008bc8670: c8dbff34  cbz	w8, #0xfffffff008bc81e8
0xfffffff008bc8674: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff008bc8678: 88dbffb4  cbz	x8, #0xfffffff008bc81e8
0xfffffff008bc867c: 150080d2  mov	x21, #0
0xfffffff008bc8680: ff4300b9  str	wzr, [sp, #0x40]
0xfffffff008bc8684: e83380b9  ldrsw	x8, [sp, #0x30]
0xfffffff008bc8688: a102088b  add	x1, x21, x8
0xfffffff008bc868c: 900240f9  ldr	x16, [x20]
0xfffffff008bc8690: f10314aa  mov	x17, x20
0xfffffff008bc8694: 5129f6f2  movk	x17, #0xb14a, lsl #48
0xfffffff008bc8698: 301ac1da  autda	x16, x17
0xfffffff008bc869c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008bc86a0: e90310aa  mov	x9, x16
