; Candidate 15005
; ADRP+ADD at VM 0xfffffff009a29780 (fileoff 0x2a25780): page=0x1fe27d000 add_imm=0xd80

0xfffffff009a29700: 390340f9  ldr	x25, [x25]
0xfffffff009a29704: 790000b4  cbz	x25, #0xfffffff009a29710
0xfffffff009a29708: 370f40f9  ldr	x23, [x25, #0x18]
0xfffffff009a2970c: d7f4ffb5  cbnz	x23, #0xfffffff009a295a4
0xfffffff009a29710: d37e00f9  str	x19, [x22, #0xf8]
0xfffffff009a29714: e00314aa  mov	x0, x20
0xfffffff009a29718: e10313aa  mov	x1, x19
0xfffffff009a2971c: 91fdff97  bl	#0xfffffff009a28d60
0xfffffff009a29720: 800640f9  ldr	x0, [x20, #8]
0xfffffff009a29724: a6b8a497  bl	#0xfffffff0083579bc
0xfffffff009a29728: 54008052  mov	w20, #2
0xfffffff009a2972c: e00314aa  mov	x0, x20
0xfffffff009a29730: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009a29734: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009a29738: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009a2973c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009a29740: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff009a29744: ff0f5fd6  retab	
0xfffffff009a29748: e00317aa  mov	x0, x23
0xfffffff009a2974c: e10315aa  mov	x1, x21
0xfffffff009a29750: 7e120094  bl	#0xfffffff009a2e148
0xfffffff009a29754: f40300aa  mov	x20, x0
0xfffffff009a29758: f00240f9  ldr	x16, [x23]
0xfffffff009a2975c: f10317aa  mov	x17, x23
0xfffffff009a29760: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a29764: 301ac1da  autda	x16, x17
0xfffffff009a29768: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009a2976c: e90310aa  mov	x9, x16
0xfffffff009a29770: e00317aa  mov	x0, x23
0xfffffff009a29774: f10309aa  mov	x17, x9
0xfffffff009a29778: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a2977c: 11093fd7  blraa	x8, x17
0xfffffff009a29780: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a29784: 00003691  add	x0, x0, #0xd80
0xfffffff009a29788: e10313aa  mov	x1, x19
0xfffffff009a2978c: e0b3a497  bl	#0xfffffff00835670c
0xfffffff009a29790: e7ffff17  b	#0xfffffff009a2972c
0xfffffff009a29794: 7f2303d5  pacibsp	
0xfffffff009a29798: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a2979c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a297a0: fd430091  add	x29, sp, #0x10
0xfffffff009a297a4: f30301aa  mov	x19, x1
0xfffffff009a297a8: f40300aa  mov	x20, x0
0xfffffff009a297ac: 000440f9  ldr	x0, [x0, #8]
0xfffffff009a297b0: 50b8a497  bl	#0xfffffff0083578f0
0xfffffff009a297b4: e00314aa  mov	x0, x20
0xfffffff009a297b8: e10313aa  mov	x1, x19
0xfffffff009a297bc: 8bfdff97  bl	#0xfffffff009a28de8
0xfffffff009a297c0: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a297c4: 00003791  add	x0, x0, #0xdc0
0xfffffff009a297c8: e10313aa  mov	x1, x19
0xfffffff009a297cc: d0b3a497  bl	#0xfffffff00835670c
0xfffffff009a297d0: 800640f9  ldr	x0, [x20, #8]
0xfffffff009a297d4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a297d8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a297dc: ff2303d5  autibsp	
0xfffffff009a297e0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a297e4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a297ec
0xfffffff009a297e8: 208e38d4  brk	#0xc471
0xfffffff009a297ec: 74b8a417  b	#0xfffffff0083579bc
0xfffffff009a297f0: 7f2303d5  pacibsp	
0xfffffff009a297f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a297f8: fd030091  mov	x29, sp
0xfffffff009a297fc: 15fdff97  bl	#0xfffffff009a28c50
