; Candidate 16430
; ADRP+ADD at VM 0xfffffff009e9e0a8 (fileoff 0x2e9a0a8): page=0x1fd9ad000 add_imm=0xdbf

0xfffffff009e9e028: e8050034  cbz	w8, #0xfffffff009e9e0e4
0xfffffff009e9e02c: e00316aa  mov	x0, x22
0xfffffff009e9e030: e10313aa  mov	x1, x19
0xfffffff009e9e034: 22008052  mov	w2, #1
0xfffffff009e9e038: e30319aa  mov	x3, x25
0xfffffff009e9e03c: ec4e0194  bl	#0xfffffff009ef1bec
0xfffffff009e9e040: f90300aa  mov	x25, x0
0xfffffff009e9e044: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e9e048: c9aa43b9  ldr	w9, [x22, #0x3a8]
0xfffffff009e9e04c: ea4b40b9  ldr	w10, [sp, #0x48]
0xfffffff009e9e050: eb679652  mov	w11, #0xb33f
0xfffffff009e9e054: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff009e9e058: 8b008052  mov	w11, #4
0xfffffff009e9e05c: ffaf02a9  stp	xzr, x11, [sp, #0x28]
0xfffffff009e9e060: ea008052  mov	w10, #7
0xfffffff009e9e064: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009e9e068: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e9e06c: 28018052  mov	w8, #9
0xfffffff009e9e070: e80300f9  str	x8, [sp]
0xfffffff009e9e074: 80018052  mov	w0, #0xc
0xfffffff009e9e078: e10317aa  mov	x1, x23
0xfffffff009e9e07c: 75808297  bl	#0xfffffff007f3e250
0xfffffff009e9e080: 39030034  cbz	w25, #0xfffffff009e9e0e4
0xfffffff009e9e084: 083e8452  mov	w8, #0x21f0
0xfffffff009e9e088: c802088b  add	x8, x22, x8
0xfffffff009e9e08c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e9e090: e9e701a9  stp	x9, x25, [sp, #0x18]
0xfffffff009e9e094: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e9e098: a8ccfed0  adrp	x8, #0xfffffff007834000
0xfffffff009e9e09c: 08c93191  add	x8, x8, #0xc72
0xfffffff009e9e0a0: e9208452  mov	w9, #0x2107
0xfffffff009e9e0a4: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9e0a8: 60cdfeb0  adrp	x0, #0xfffffff00784b000
0xfffffff009e9e0ac: 00fc3691  add	x0, x0, #0xdbf
0xfffffff009e9e0b0: 0586ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9e0b4: 74000014  b	#0xfffffff009e9e284
0xfffffff009e9e0b8: 68013037  tbnz	w8, #6, #0xfffffff009e9e0e4
0xfffffff009e9e0bc: bfc31bb8  stur	wzr, [x29, #-0x44]
0xfffffff009e9e0c0: 60220591  add	x0, x19, #0x148
0xfffffff009e9e0c4: a31301d1  sub	x3, x29, #0x44
0xfffffff009e9e0c8: 61008052  mov	w1, #3
0xfffffff009e9e0cc: 020080d2  mov	x2, #0
0xfffffff009e9e0d0: 84008052  mov	w4, #4
0xfffffff009e9e0d4: 22f10294  bl	#0xfffffff009f5a55c
0xfffffff009e9e0d8: 20050035  cbnz	w0, #0xfffffff009e9e17c
0xfffffff009e9e0dc: a8c35bb8  ldur	w8, [x29, #-0x44]
0xfffffff009e9e0e0: e8040034  cbz	w8, #0xfffffff009e9e17c
0xfffffff009e9e0e4: 687e40b9  ldr	w8, [x19, #0x7c]
0xfffffff009e9e0e8: 0901144a  eor	w9, w8, w20
0xfffffff009e9e0ec: e9002837  tbnz	w9, #5, #0xfffffff009e9e108
0xfffffff009e9e0f0: a9024039  ldrb	w9, [x21]
0xfffffff009e9e0f4: 88760033  bfxil	w8, w20, #0, #0x1e
0xfffffff009e9e0f8: 687e00b9  str	w8, [x19, #0x7c]
0xfffffff009e9e0fc: c9030034  cbz	w9, #0xfffffff009e9e174
0xfffffff009e9e100: 89021b12  and	w9, w20, #0x20
0xfffffff009e9e104: 10000014  b	#0xfffffff009e9e144
0xfffffff009e9e108: 54012837  tbnz	w20, #5, #0xfffffff009e9e130
0xfffffff009e9e10c: 38010034  cbz	w24, #0xfffffff009e9e130
0xfffffff009e9e110: e00317aa  mov	x0, x23
0xfffffff009e9e114: 426e8297  bl	#0xfffffff007f39a1c
0xfffffff009e9e118: 338e8c97  bl	#0xfffffff0081c19e4
0xfffffff009e9e11c: 61cdfe90  adrp	x1, #0xfffffff00784a000
0xfffffff009e9e120: 21f00a91  add	x1, x1, #0x2bc
0xfffffff009e9e124: d81fff97  bl	#0xfffffff009e66084
