; Candidate 2372
; ADRP+ADD at VM 0xfffffff00863460c (fileoff 0x163060c): page=0x1feada000 add_imm=0xe0a

0xfffffff00863458c: ce7d1813  asr	w14, w14, #0x18
0xfffffff008634590: 8eb18e1a  csel	w14, w12, w14, lt
0xfffffff008634594: 2f1d0853  lsl	w15, w9, #0x18
0xfffffff008634598: ff010d6b  cmp	w15, w13
0xfffffff00863459c: e811577a  ccmp	w15, w23, #8, ne
0xfffffff0086345a0: 291d0013  sxtb	w9, w9
0xfffffff0086345a4: 89b1891a  csel	w9, w12, w9, lt
0xfffffff0086345a8: 2a000a0b  add	w10, w1, w10
0xfffffff0086345ac: 2f7c1813  asr	w15, w1, #0x18
0xfffffff0086345b0: 4a7d1853  lsr	w10, w10, #0x18
0xfffffff0086345b4: 5f7d0171  cmp	w10, #0x5f
0xfffffff0086345b8: ea318c1a  csel	w10, w15, w12, lo
0xfffffff0086345bc: 2f5c1853  lsl	w15, w1, #8
0xfffffff0086345c0: ef1d0812  and	w15, w15, #0xff000000
0xfffffff0086345c4: ff010d6b  cmp	w15, w13
0xfffffff0086345c8: e811577a  ccmp	w15, w23, #8, ne
0xfffffff0086345cc: ef7d1813  asr	w15, w15, #0x18
0xfffffff0086345d0: 8fb18f1a  csel	w15, w12, w15, lt
0xfffffff0086345d4: 303c1053  lsl	w16, w1, #0x10
0xfffffff0086345d8: 101e0812  and	w16, w16, #0xff000000
0xfffffff0086345dc: 1f020d6b  cmp	w16, w13
0xfffffff0086345e0: 0812577a  ccmp	w16, w23, #8, ne
0xfffffff0086345e4: 107e1813  asr	w16, w16, #0x18
0xfffffff0086345e8: 90b1901a  csel	w16, w12, w16, lt
0xfffffff0086345ec: 311c0853  lsl	w17, w1, #0x18
0xfffffff0086345f0: 3f020d6b  cmp	w17, w13
0xfffffff0086345f4: 2812577a  ccmp	w17, w23, #8, ne
0xfffffff0086345f8: 2d1c0013  sxtb	w13, w1
0xfffffff0086345fc: 8cb18d1a  csel	w12, w12, w13, lt
0xfffffff008634600: f03303a9  stp	x16, x12, [sp, #0x30]
0xfffffff008634604: ea3f02a9  stp	x10, x15, [sp, #0x20]
0xfffffff008634608: ee2701a9  stp	x14, x9, [sp, #0x10]
0xfffffff00863460c: c056ffd0  adrp	x0, #0xfffffff00710e000
0xfffffff008634610: 00283891  add	x0, x0, #0xe0a
0xfffffff008634614: e82f00a9  stp	x8, x11, [sp]
0xfffffff008634618: 6cffff97  bl	#0xfffffff0086343c8
0xfffffff00863461c: f89cffd0  adrp	x24, #0xfffffff0079d2000
0xfffffff008634620: 183742f9  ldr	x24, [x24, #0x468]
0xfffffff008634624: 080340b9  ldr	w8, [x24]
0xfffffff008634628: 1f791c72  tst	w8, #0xfffffff7
0xfffffff00863462c: 20010054  b.eq	#0xfffffff008634650
0xfffffff008634630: e203142a  mov	w2, w20
0xfffffff008634634: 20808052  mov	w0, #0x401
0xfffffff008634638: c0a6a072  movk	w0, #0x536, lsl #16
0xfffffff00863463c: e10313aa  mov	x1, x19
0xfffffff008634640: 030080d2  mov	x3, #0
0xfffffff008634644: 040080d2  mov	x4, #0
0xfffffff008634648: 050080d2  mov	x5, #0
0xfffffff00863464c: 2e26ed97  bl	#0xfffffff00817df04
0xfffffff008634650: e00315aa  mov	x0, x21
0xfffffff008634654: 6f68dd97  bl	#0xfffffff007d8e810
0xfffffff008634658: e8238652  mov	w8, #0x311f
0xfffffff00863465c: e80eae72  movk	w8, #0x7077, lsl #16
0xfffffff008634660: 9f02086b  cmp	w20, w8
0xfffffff008634664: 6d010054  b.le	#0xfffffff008634690
0xfffffff008634668: 08248652  mov	w8, #0x3120
0xfffffff00863466c: e80eae72  movk	w8, #0x7077, lsl #16
0xfffffff008634670: 9f02086b  cmp	w20, w8
0xfffffff008634674: e0010054  b.eq	#0xfffffff0086346b0
0xfffffff008634678: c8cd8d52  mov	w8, #0x6e6e
0xfffffff00863467c: a84eae72  movk	w8, #0x7275, lsl #16
0xfffffff008634680: 9f02086b  cmp	w20, w8
0xfffffff008634684: 60010054  b.eq	#0xfffffff0086346b0
0xfffffff008634688: 884c8e52  mov	w8, #0x7264
