; Candidate 9051
; ADRP+ADD at VM 0xfffffff0089a2f38 (fileoff 0x199ef38): page=0x1fe8e4000 add_imm=0xd8d

0xfffffff0089a2eb8: 7f8200f9  str	xzr, [x19, #0x100]
0xfffffff0089a2ebc: f5000014  b	#0xfffffff0089a3290
0xfffffff0089a2ec0: 750100b4  cbz	x21, #0xfffffff0089a2eec
0xfffffff0089a2ec4: b00240f9  ldr	x16, [x21]
0xfffffff0089a2ec8: f10315aa  mov	x17, x21
0xfffffff0089a2ecc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a2ed0: 301ac1da  autda	x16, x17
0xfffffff0089a2ed4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a2ed8: e90310aa  mov	x9, x16
0xfffffff0089a2edc: e00315aa  mov	x0, x21
0xfffffff0089a2ee0: f10309aa  mov	x17, x9
0xfffffff0089a2ee4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a2ee8: 11093fd7  blraa	x8, x17
0xfffffff0089a2eec: 740100b4  cbz	x20, #0xfffffff0089a2f18
0xfffffff0089a2ef0: 900240f9  ldr	x16, [x20]
0xfffffff0089a2ef4: f10314aa  mov	x17, x20
0xfffffff0089a2ef8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a2efc: 301ac1da  autda	x16, x17
0xfffffff0089a2f00: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a2f04: e90310aa  mov	x9, x16
0xfffffff0089a2f08: e00314aa  mov	x0, x20
0xfffffff0089a2f0c: f10309aa  mov	x17, x9
0xfffffff0089a2f10: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a2f14: 11093fd7  blraa	x8, x17
0xfffffff0089a2f18: 608640f9  ldr	x0, [x19, #0x108]
0xfffffff0089a2f1c: 800300b4  cbz	x0, #0xfffffff0089a2f8c
0xfffffff0089a2f20: 688a40f9  ldr	x8, [x19, #0x110]
0xfffffff0089a2f24: 480300b4  cbz	x8, #0xfffffff0089a2f8c
0xfffffff0089a2f28: 2047ff90  adrp	x0, #0xfffffff007286000
0xfffffff0089a2f2c: 006c3891  add	x0, x0, #0xe1b
0xfffffff0089a2f30: 1819e697  bl	#0xfffffff008329390
0xfffffff0089a2f34: f50300aa  mov	x21, x0
0xfffffff0089a2f38: 2047ff90  adrp	x0, #0xfffffff007286000
0xfffffff0089a2f3c: 00343691  add	x0, x0, #0xd8d
0xfffffff0089a2f40: 1419e697  bl	#0xfffffff008329390
0xfffffff0089a2f44: f40300aa  mov	x20, x0
0xfffffff0089a2f48: d50900b4  cbz	x21, #0xfffffff0089a3080
0xfffffff0089a2f4c: b40900b4  cbz	x20, #0xfffffff0089a3080
0xfffffff0089a2f50: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff0089a2f54: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0089a2f58: e8a302a9  stp	x8, x8, [sp, #0x28]
0xfffffff0089a2f5c: 8884ffd0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a2f60: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff0089a2f64: 080140f9  ldr	x8, [x8]
0xfffffff0089a2f68: 080140f9  ldr	x8, [x8]
0xfffffff0089a2f6c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0089a2f70: e0a30091  add	x0, sp, #0x28
0xfffffff0089a2f74: e1e30091  add	x1, sp, #0x38
0xfffffff0089a2f78: 42008052  mov	w2, #2
0xfffffff0089a2f7c: 03008052  mov	w3, #0
0xfffffff0089a2f80: 9938e597  bl	#0xfffffff0082f11e4
0xfffffff0089a2f84: 608e00f9  str	x0, [x19, #0x118]
0xfffffff0089a2f88: 3f000014  b	#0xfffffff0089a3084
0xfffffff0089a2f8c: 340340f9  ldr	x20, [x25]
0xfffffff0089a2f90: 740400b4  cbz	x20, #0xfffffff0089a301c
0xfffffff0089a2f94: 758a40b9  ldr	w21, [x19, #0x88]
0xfffffff0089a2f98: 700240f9  ldr	x16, [x19]
0xfffffff0089a2f9c: 101bc1da  autda	x16, x24
0xfffffff0089a2fa0: 113d80d2  mov	x17, #0x1e8
0xfffffff0089a2fa4: 1002118b  add	x16, x16, x17
0xfffffff0089a2fa8: 080240f9  ldr	x8, [x16]
0xfffffff0089a2fac: e90310aa  mov	x9, x16
0xfffffff0089a2fb0: e00313aa  mov	x0, x19
0xfffffff0089a2fb4: 010080d2  mov	x1, #0
