; Candidate 16538
; ADRP+ADD at VM 0xfffffff009ed5a3c (fileoff 0x2ed1a3c): page=0x1fd971000 add_imm=0xe21

0xfffffff009ed59bc: 15feff17  b	#0xfffffff009ed5210
0xfffffff009ed59c0: 083e8452  mov	w8, #0x21f0
0xfffffff009ed59c4: 6802088b  add	x8, x19, x8
0xfffffff009ed59c8: 3ffcff17  b	#0xfffffff009ed4ac4
0xfffffff009ed59cc: 08d38352  mov	w8, #0x1e98
0xfffffff009ed59d0: 7a02088b  add	x26, x19, x8
0xfffffff009ed59d4: 5f030039  strb	wzr, [x26]
0xfffffff009ed59d8: f81f40f9  ldr	x24, [sp, #0x38]
0xfffffff009ed59dc: 783a0ff9  str	x24, [x19, #0x1e70]
0xfffffff009ed59e0: b9820291  add	x25, x21, #0xa0
0xfffffff009ed59e4: e00319aa  mov	x0, x25
0xfffffff009ed59e8: f25f7b97  bl	#0xfffffff007dad9b0
0xfffffff009ed59ec: e22340f9  ldr	x2, [sp, #0x40]
0xfffffff009ed59f0: fbc30291  add	x27, sp, #0xb0
0xfffffff009ed59f4: fc430291  add	x28, sp, #0x90
0xfffffff009ed59f8: e3c30291  add	x3, sp, #0xb0
0xfffffff009ed59fc: e5430291  add	x5, sp, #0x90
0xfffffff009ed5a00: e00313aa  mov	x0, x19
0xfffffff009ed5a04: e10315aa  mov	x1, x21
0xfffffff009ed5a08: 44008052  mov	w4, #2
0xfffffff009ed5a0c: c950ff97  bl	#0xfffffff009ea9d30
0xfffffff009ed5a10: 20050034  cbz	w0, #0xfffffff009ed5ab4
0xfffffff009ed5a14: f40300aa  mov	x20, x0
0xfffffff009ed5a18: 083e8452  mov	w8, #0x21f0
0xfffffff009ed5a1c: 6802088b  add	x8, x19, x8
0xfffffff009ed5a20: a90640f9  ldr	x9, [x21, #8]
0xfffffff009ed5a24: e95302a9  stp	x9, x20, [sp, #0x20]
0xfffffff009ed5a28: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff009ed5a2c: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed5a30: 08453a91  add	x8, x8, #0xe91
0xfffffff009ed5a34: 29048652  mov	w9, #0x3021
0xfffffff009ed5a38: e82700a9  stp	x8, x9, [sp]
0xfffffff009ed5a3c: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5a40: 00843891  add	x0, x0, #0xe21
0xfffffff009ed5a44: a0a7fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed5a48: 35000014  b	#0xfffffff009ed5b1c
0xfffffff009ed5a4c: e1430291  add	x1, sp, #0x90
0xfffffff009ed5a50: e00313aa  mov	x0, x19
0xfffffff009ed5a54: 0b66ff97  bl	#0xfffffff009eaf280
0xfffffff009ed5a58: f40300aa  mov	x20, x0
0xfffffff009ed5a5c: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff009ed5a60: 00810291  add	x0, x8, #0xa0
0xfffffff009ed5a64: 66637b97  bl	#0xfffffff007dae7fc
0xfffffff009ed5a68: f55340f9  ldr	x21, [sp, #0xa0]
0xfffffff009ed5a6c: a0020691  add	x0, x21, #0x180
0xfffffff009ed5a70: 63637b97  bl	#0xfffffff007dae7fc
0xfffffff009ed5a74: bfca00f9  str	xzr, [x21, #0x190]
0xfffffff009ed5a78: a0c20591  add	x0, x21, #0x170
0xfffffff009ed5a7c: 60637b97  bl	#0xfffffff007dae7fc
0xfffffff009ed5a80: e1430291  add	x1, sp, #0x90
0xfffffff009ed5a84: e00313aa  mov	x0, x19
0xfffffff009ed5a88: 7753ff97  bl	#0xfffffff009eaa864
0xfffffff009ed5a8c: e00318aa  mov	x0, x24
0xfffffff009ed5a90: 5b637b97  bl	#0xfffffff007dae7fc
0xfffffff009ed5a94: e00313aa  mov	x0, x19
0xfffffff009ed5a98: 4e2c0094  bl	#0xfffffff009ee0bd0
0xfffffff009ed5a9c: 7f3a0ff9  str	xzr, [x19, #0x1e70]
0xfffffff009ed5aa0: e00317aa  mov	x0, x23
0xfffffff009ed5aa4: 8724ff97  bl	#0xfffffff009e9ecc0
0xfffffff009ed5aa8: e00316aa  mov	x0, x22
0xfffffff009ed5aac: 7c310094  bl	#0xfffffff009ee209c
0xfffffff009ed5ab0: 5dfdff17  b	#0xfffffff009ed5024
0xfffffff009ed5ab4: 7c560ff9  str	x28, [x19, #0x1ea8]
0xfffffff009ed5ab8: e85340f9  ldr	x8, [sp, #0xa0]
