; Candidate 13081
; ADRP+ADD at VM 0xfffffff0091e04f4 (fileoff 0x21dc4f4): page=0x1fe2bf000 add_imm=0xdeb

0xfffffff0091e0474: fd830291  add	x29, sp, #0xa0
0xfffffff0091e0478: e32700f9  str	x3, [sp, #0x48]
0xfffffff0091e047c: f50302aa  mov	x21, x2
0xfffffff0091e0480: f60301aa  mov	x22, x1
0xfffffff0091e0484: f30300aa  mov	x19, x0
0xfffffff0091e0488: 180080d2  mov	x24, #0
0xfffffff0091e048c: 297c1853  lsr	w9, w1, #0x18
0xfffffff0091e0490: 285c1053  ubfx	w8, w1, #0x10, #8
0xfffffff0091e0494: e8270829  stp	w8, w9, [sp, #0x40]
0xfffffff0091e0498: 293c0853  ubfx	w9, w1, #8, #8
0xfffffff0091e049c: 281c0012  and	w8, w1, #0xff
0xfffffff0091e04a0: e8270729  stp	w8, w9, [sp, #0x38]
0xfffffff0091e04a4: 37008052  mov	w23, #1
0xfffffff0091e04a8: 19048052  mov	w25, #0x20
0xfffffff0091e04ac: f80200b4  cbz	x24, #0xfffffff0091e0508
0xfffffff0091e04b0: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff0091e04b4: 1f010071  cmp	w8, #0
0xfffffff0091e04b8: e84740b9  ldr	w8, [sp, #0x44]
0xfffffff0091e04bc: 3a03881a  csel	w26, w25, w8, eq
0xfffffff0091e04c0: e84340b9  ldr	w8, [sp, #0x40]
0xfffffff0091e04c4: 3b03881a  csel	w27, w25, w8, eq
0xfffffff0091e04c8: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff0091e04cc: 3c03881a  csel	w28, w25, w8, eq
0xfffffff0091e04d0: e83b40b9  ldr	w8, [sp, #0x38]
0xfffffff0091e04d4: 3403881a  csel	w20, w25, w8, eq
0xfffffff0091e04d8: e01e0012  and	w0, w23, #0xff
0xfffffff0091e04dc: c624fe97  bl	#0xfffffff0091697f4
0xfffffff0091e04e0: e81e4092  and	x8, x23, #0xff
0xfffffff0091e04e4: e88302a9  stp	x8, x0, [sp, #0x28]
0xfffffff0091e04e8: f4e301a9  stp	x20, x24, [sp, #0x18]
0xfffffff0091e04ec: fbf300a9  stp	x27, x28, [sp, #8]
0xfffffff0091e04f0: fa0300f9  str	x26, [sp]
0xfffffff0091e04f4: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e04f8: 00ac3791  add	x0, x0, #0xdeb
0xfffffff0091e04fc: c9dac597  bl	#0xfffffff008357020
0xfffffff0091e0500: 80578052  mov	w0, #0x2bc
0xfffffff0091e0504: b9dac597  bl	#0xfffffff008356fe8
0xfffffff0091e0508: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff0091e050c: 100040f9  ldr	x16, [x0]
0xfffffff0091e0510: f10300aa  mov	x17, x0
0xfffffff0091e0514: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e0518: 301ac1da  autda	x16, x17
0xfffffff0091e051c: 11aa80d2  mov	x17, #0x550
0xfffffff0091e0520: 1002118b  add	x16, x16, x17
0xfffffff0091e0524: 080240f9  ldr	x8, [x16]
0xfffffff0091e0528: e90310aa  mov	x9, x16
0xfffffff0091e052c: e10316aa  mov	x1, x22
0xfffffff0091e0530: e20315aa  mov	x2, x21
0xfffffff0091e0534: e32740f9  ldr	x3, [sp, #0x48]
0xfffffff0091e0538: f10309aa  mov	x17, x9
0xfffffff0091e053c: 1197fef2  movk	x17, #0xf4b8, lsl #48
0xfffffff0091e0540: 11093fd7  blraa	x8, x17
0xfffffff0091e0544: f70300aa  mov	x23, x0
0xfffffff0091e0548: 1f000071  cmp	w0, #0
0xfffffff0091e054c: 021b45fa  ccmp	x24, #5, #2, ne
0xfffffff0091e0550: 18070091  add	x24, x24, #1
0xfffffff0091e0554: c3faff54  b.lo	#0xfffffff0091e04ac
0xfffffff0091e0558: b7020034  cbz	w23, #0xfffffff0091e05ac
0xfffffff0091e055c: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff0091e0560: 1f010071  cmp	w8, #0
0xfffffff0091e0564: 08048052  mov	w8, #0x20
0xfffffff0091e0568: e94740b9  ldr	w9, [sp, #0x44]
0xfffffff0091e056c: 1301891a  csel	w19, w8, w9, eq
0xfffffff0091e0570: e94340b9  ldr	w9, [sp, #0x40]
