; Candidate 15747
; ADRP+ADD at VM 0xfffffff009cf6510 (fileoff 0x2cf2510): page=0x1fd96d000 add_imm=0xe5e

0xfffffff009cf6490: 81040054  b.ne	#0xfffffff009cf6520
0xfffffff009cf6494: 700240f9  ldr	x16, [x19]
0xfffffff009cf6498: f10313aa  mov	x17, x19
0xfffffff009cf649c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf64a0: 301ac1da  autda	x16, x17
0xfffffff009cf64a4: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf64a8: 1002118b  add	x16, x16, x17
0xfffffff009cf64ac: 080240f9  ldr	x8, [x16]
0xfffffff009cf64b0: e90310aa  mov	x9, x16
0xfffffff009cf64b4: e00313aa  mov	x0, x19
0xfffffff009cf64b8: 010080d2  mov	x1, #0
0xfffffff009cf64bc: f10309aa  mov	x17, x9
0xfffffff009cf64c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf64c4: 11093fd7  blraa	x8, x17
0xfffffff009cf64c8: f40300aa  mov	x20, x0
0xfffffff009cf64cc: 700240f9  ldr	x16, [x19]
0xfffffff009cf64d0: f10313aa  mov	x17, x19
0xfffffff009cf64d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf64d8: 301ac1da  autda	x16, x17
0xfffffff009cf64dc: 114380d2  mov	x17, #0x218
0xfffffff009cf64e0: 1002118b  add	x16, x16, x17
0xfffffff009cf64e4: 080240f9  ldr	x8, [x16]
0xfffffff009cf64e8: e90310aa  mov	x9, x16
0xfffffff009cf64ec: e00313aa  mov	x0, x19
0xfffffff009cf64f0: 010080d2  mov	x1, #0
0xfffffff009cf64f4: f10309aa  mov	x17, x9
0xfffffff009cf64f8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009cf64fc: 11093fd7  blraa	x8, x17
0xfffffff009cf6500: 68cbfeb0  adrp	x8, #0xfffffff007663000
0xfffffff009cf6504: 087d3491  add	x8, x8, #0xd1f
0xfffffff009cf6508: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009cf650c: f40300a9  stp	x20, x0, [sp]
0xfffffff009cf6510: 60cbfeb0  adrp	x0, #0xfffffff007663000
0xfffffff009cf6514: 00783991  add	x0, x0, #0xe5e
0xfffffff009cf6518: c2829997  bl	#0xfffffff008357020
0xfffffff009cf651c: 4b000014  b	#0xfffffff009cf6648
0xfffffff009cf6520: 88027c92  and	x8, x20, #0x10
0xfffffff009cf6524: 08fd43d3  lsr	x8, x8, #3
0xfffffff009cf6528: 14011f52  eor	w20, w8, #2
0xfffffff009cf652c: 700240f9  ldr	x16, [x19]
0xfffffff009cf6530: f10313aa  mov	x17, x19
0xfffffff009cf6534: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf6538: 301ac1da  autda	x16, x17
0xfffffff009cf653c: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf6540: 1002118b  add	x16, x16, x17
0xfffffff009cf6544: 080240f9  ldr	x8, [x16]
0xfffffff009cf6548: e90310aa  mov	x9, x16
0xfffffff009cf654c: e00313aa  mov	x0, x19
0xfffffff009cf6550: 010080d2  mov	x1, #0
0xfffffff009cf6554: f10309aa  mov	x17, x9
0xfffffff009cf6558: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf655c: 11093fd7  blraa	x8, x17
0xfffffff009cf6560: 700240f9  ldr	x16, [x19]
0xfffffff009cf6564: f10313aa  mov	x17, x19
0xfffffff009cf6568: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf656c: 301ac1da  autda	x16, x17
0xfffffff009cf6570: 114380d2  mov	x17, #0x218
0xfffffff009cf6574: 1002118b  add	x16, x16, x17
0xfffffff009cf6578: 080240f9  ldr	x8, [x16]
0xfffffff009cf657c: e90310aa  mov	x9, x16
0xfffffff009cf6580: e00313aa  mov	x0, x19
0xfffffff009cf6584: 010080d2  mov	x1, #0
0xfffffff009cf6588: f10309aa  mov	x17, x9
0xfffffff009cf658c: 11a8e6f2  movk	x17, #0x3540, lsl #48
