; Candidate 10866
; ADRP+ADD at VM 0xfffffff008deaa9c (fileoff 0x1de6a9c): page=0x1fe5da000 add_imm=0xe15

0xfffffff008deaa1c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008deaa20: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008deaa24: ff430191  add	sp, sp, #0x50
0xfffffff008deaa28: ff0f5fd6  retab	
0xfffffff008deaa2c: 48ba8052  mov	w8, #0x5d2
0xfffffff008deaa30: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deaa34: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deaa38: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deaa3c: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deaa40: 08493991  add	x8, x8, #0xe52
0xfffffff008deaa44: ca2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008deaa48: 4add1291  add	x10, x10, #0x4b7
0xfffffff008deaa4c: 12000014  b	#0xfffffff008deaa94
0xfffffff008deaa50: 68ba8052  mov	w8, #0x5d3
0xfffffff008deaa54: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deaa58: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deaa5c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deaa60: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deaa64: 08493991  add	x8, x8, #0xe52
0xfffffff008deaa68: ca2effd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008deaa6c: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008deaa70: 09000014  b	#0xfffffff008deaa94
0xfffffff008deaa74: 88ba8052  mov	w8, #0x5d4
0xfffffff008deaa78: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deaa7c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deaa80: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deaa84: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deaa88: 08493991  add	x8, x8, #0xe52
0xfffffff008deaa8c: ca2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008deaa90: 4a713091  add	x10, x10, #0xc1c
0xfffffff008deaa94: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008deaa98: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008deaa9c: c02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deaaa0: 00543891  add	x0, x0, #0xe15
0xfffffff008deaaa4: 5fb1d597  bl	#0xfffffff008357020
0xfffffff008deaaa8: 53008012  mov	w19, #-3
0xfffffff008deaaac: dbffff17  b	#0xfffffff008deaa18
0xfffffff008deaab0: 687e4093  sxtw	x8, w19
0xfffffff008deaab4: e9ba8052  mov	w9, #0x5d7
0xfffffff008deaab8: ca2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008deaabc: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008deaac0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008deaac4: c92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008deaac8: 29493991  add	x9, x9, #0xe52
0xfffffff008deaacc: cb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008deaad0: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008deaad4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008deaad8: eb0300f9  str	x11, [sp]
0xfffffff008deaadc: c02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deaae0: 00543891  add	x0, x0, #0xe15
0xfffffff008deaae4: 4fb1d597  bl	#0xfffffff008357020
0xfffffff008deaae8: ccffff17  b	#0xfffffff008deaa18
0xfffffff008deaaec: 7f2303d5  pacibsp	
0xfffffff008deaaf0: ff0302d1  sub	sp, sp, #0x80
0xfffffff008deaaf4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008deaaf8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008deaafc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008deab00: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008deab04: fdc30191  add	x29, sp, #0x70
0xfffffff008deab08: f30304aa  mov	x19, x4
0xfffffff008deab0c: f40303aa  mov	x20, x3
0xfffffff008deab10: f50301aa  mov	x21, x1
0xfffffff008deab14: f70300aa  mov	x23, x0
0xfffffff008deab18: a2c31cb8  stur	w2, [x29, #-0x34]
