; Candidate 5799
; ADRP+ADD at VM 0xfffffff008804608 (fileoff 0x1800608): page=0x1fe9e5000 add_imm=0xe80

0xfffffff008804588: 20060034  cbz	w0, #0xfffffff00880464c
0xfffffff00880458c: e00313aa  mov	x0, x19
0xfffffff008804590: a2dc0194  bl	#0xfffffff00887b818
0xfffffff008804594: f501f837  tbnz	w21, #0x1f, #0xfffffff0088045d0
0xfffffff008804598: b6021b12  and	w22, w21, #0x20
0xfffffff00880459c: 18000052  eor	w24, w0, #1
0xfffffff0088045a0: 03bf0294  bl	#0xfffffff0088b41ac
0xfffffff0088045a4: f70300aa  mov	x23, x0
0xfffffff0088045a8: e00314aa  mov	x0, x20
0xfffffff0088045ac: a9dc0194  bl	#0xfffffff00887b850
0xfffffff0088045b0: 0817562a  orr	w8, w24, w22, lsr #5
0xfffffff0088045b4: c8010037  tbnz	w8, #0, #0xfffffff0088045ec
0xfffffff0088045b8: e80313aa  mov	x8, x19
0xfffffff0088045bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088045c0: f70300f9  str	x23, [sp]
0xfffffff0088045c4: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0088045c8: 005c0e91  add	x0, x0, #0x397
0xfffffff0088045cc: 06000014  b	#0xfffffff0088045e4
0xfffffff0088045d0: e0020034  cbz	w0, #0xfffffff00880462c
0xfffffff0088045d4: e803154b  neg	w8, w21
0xfffffff0088045d8: a8022837  tbnz	w8, #5, #0xfffffff00880462c
0xfffffff0088045dc: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0088045e0: 00540e91  add	x0, x0, #0x395
0xfffffff0088045e4: 9fcbd697  bl	#0xfffffff007db7460
0xfffffff0088045e8: 19000014  b	#0xfffffff00880464c
0xfffffff0088045ec: f0be0294  bl	#0xfffffff0088b41ac
0xfffffff0088045f0: f70300aa  mov	x23, x0
0xfffffff0088045f4: e00314aa  mov	x0, x20
0xfffffff0088045f8: 96dc0194  bl	#0xfffffff00887b850
0xfffffff0088045fc: e80313aa  mov	x8, x19
0xfffffff008804600: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008804604: f70300f9  str	x23, [sp]
0xfffffff008804608: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880460c: 00003a91  add	x0, x0, #0xe80
0xfffffff008804610: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804614: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008804618: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff00880461c: 63b00191  add	x3, x3, #0x6c
0xfffffff008804620: 02008052  mov	w2, #0
0xfffffff008804624: c3baec97  bl	#0xfffffff008333130
0xfffffff008804628: 09000014  b	#0xfffffff00880464c
0xfffffff00880462c: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008804630: 00003a91  add	x0, x0, #0xe80
0xfffffff008804634: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804638: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880463c: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008804640: 63ac0191  add	x3, x3, #0x6b
0xfffffff008804644: 02008052  mov	w2, #0
0xfffffff008804648: babaec97  bl	#0xfffffff008333130
0xfffffff00880464c: e0031baa  mov	x0, x27
0xfffffff008804650: 01008052  mov	w1, #0
0xfffffff008804654: e20313aa  mov	x2, x19
0xfffffff008804658: e30315aa  mov	x3, x21
0xfffffff00880465c: c8faff97  bl	#0xfffffff00880317c
0xfffffff008804660: e00313aa  mov	x0, x19
0xfffffff008804664: e10314aa  mov	x1, x20
0xfffffff008804668: 5adc0194  bl	#0xfffffff00887b7d0
0xfffffff00880466c: 20060034  cbz	w0, #0xfffffff008804730
0xfffffff008804670: e00313aa  mov	x0, x19
0xfffffff008804674: 69dc0194  bl	#0xfffffff00887b818
0xfffffff008804678: f501f837  tbnz	w21, #0x1f, #0xfffffff0088046b4
0xfffffff00880467c: b6021b12  and	w22, w21, #0x20
0xfffffff008804680: 18000052  eor	w24, w0, #1
0xfffffff008804684: cabe0294  bl	#0xfffffff0088b41ac
