; Candidate 5829
; ADRP+ADD at VM 0xfffffff008806f24 (fileoff 0x1802f24): page=0x1fe9e3000 add_imm=0xe80

0xfffffff008806ea4: 16020034  cbz	w22, #0xfffffff008806ee4
0xfffffff008806ea8: f7d303a9  stp	x23, x20, [sp, #0x38]
0xfffffff008806eac: 4850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff008806eb0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008806eb4: c9398052  mov	w9, #0x1ce
0xfffffff008806eb8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008806ebc: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806ec0: 08cd1591  add	x8, x8, #0x573
0xfffffff008806ec4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008806ec8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008806ecc: 880e8052  mov	w8, #0x74
0xfffffff008806ed0: a050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff008806ed4: 00dc1491  add	x0, x0, #0x537
0xfffffff008806ed8: f52300a9  stp	x21, x8, [sp]
0xfffffff008806edc: 61c1d697  bl	#0xfffffff007db7460
0xfffffff008806ee0: ddffff17  b	#0xfffffff008806e54
0xfffffff008806ee4: b2b40294  bl	#0xfffffff0088b41ac
0xfffffff008806ee8: f50300aa  mov	x21, x0
0xfffffff008806eec: 80008052  mov	w0, #4
0xfffffff008806ef0: 58d20194  bl	#0xfffffff00887b850
0xfffffff008806ef4: e80314aa  mov	x8, x20
0xfffffff008806ef8: f7a303a9  stp	x23, x8, [sp, #0x38]
0xfffffff008806efc: 4850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff008806f00: 08b92791  add	x8, x8, #0x9ee
0xfffffff008806f04: c9398052  mov	w9, #0x1ce
0xfffffff008806f08: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008806f0c: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806f10: 08cd1591  add	x8, x8, #0x573
0xfffffff008806f14: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008806f18: 880e8052  mov	w8, #0x74
0xfffffff008806f1c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008806f20: f50300f9  str	x21, [sp]
0xfffffff008806f24: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806f28: 00003a91  add	x0, x0, #0xe80
0xfffffff008806f2c: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806f30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806f34: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806f38: 63001191  add	x3, x3, #0x440
0xfffffff008806f3c: 02008052  mov	w2, #0
0xfffffff008806f40: 7cb0ec97  bl	#0xfffffff008333130
0xfffffff008806f44: c4ffff17  b	#0xfffffff008806e54
0xfffffff008806f48: 7f2303d5  pacibsp	
0xfffffff008806f4c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008806f50: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008806f54: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008806f58: fd830091  add	x29, sp, #0x20
0xfffffff008806f5c: f30300aa  mov	x19, x0
0xfffffff008806f60: 88589452  mov	w8, #0xa2c4
0xfffffff008806f64: 0802a072  movk	w8, #0x10, lsl #16
0xfffffff008806f68: 086868b8  ldr	w8, [x0, x8]
0xfffffff008806f6c: 48020034  cbz	w8, #0xfffffff008806fb4
0xfffffff008806f70: 1f050071  cmp	w8, #1
0xfffffff008806f74: 21030054  b.ne	#0xfffffff008806fd8
0xfffffff008806f78: 010080d2  mov	x1, #0
0xfffffff008806f7c: 007d8012  mov	w0, #-0x3e9
0xfffffff008806f80: 28008052  mov	w8, #1
0xfffffff008806f84: 14bc8652  mov	w20, #0x35e0
0xfffffff008806f88: 7402a072  movk	w20, #0x13, lsl #16
0xfffffff008806f8c: f50308aa  mov	x21, x8
0xfffffff008806f90: 680e018b  add	x8, x19, x1, lsl #3
0xfffffff008806f94: 086974f8  ldr	x8, [x8, x20]
0xfffffff008806f98: 680000b4  cbz	x8, #0xfffffff008806fa4
0xfffffff008806f9c: e00313aa  mov	x0, x19
0xfffffff008806fa0: d2010094  bl	#0xfffffff0088076e8
