; Candidate 1791
; ADRP+ADD at VM 0xfffffff00850a610 (fileoff 0x1506610): page=0x1febd7000 add_imm=0xe6f

0xfffffff00850a590: 09208052  mov	w9, #0x100
0xfffffff00850a594: 090c00b9  str	w9, [x0, #0xc]
0xfffffff00850a598: 00008052  mov	w0, #0
0xfffffff00850a59c: c0035fd6  ret	
0xfffffff00850a5a0: 7f2303d5  pacibsp	
0xfffffff00850a5a4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00850a5a8: fd030091  mov	x29, sp
0xfffffff00850a5ac: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5b0: 00603791  add	x0, x0, #0xdd8
0xfffffff00850a5b4: 217bf897  bl	#0xfffffff008329238
0xfffffff00850a5b8: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5bc: 004102f9  str	x0, [x8, #0x480]
0xfffffff00850a5c0: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5c4: 00083891  add	x0, x0, #0xe02
0xfffffff00850a5c8: 1c7bf897  bl	#0xfffffff008329238
0xfffffff00850a5cc: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5d0: 004502f9  str	x0, [x8, #0x488]
0xfffffff00850a5d4: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5d8: 00883891  add	x0, x0, #0xe22
0xfffffff00850a5dc: 177bf897  bl	#0xfffffff008329238
0xfffffff00850a5e0: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5e4: 004902f9  str	x0, [x8, #0x490]
0xfffffff00850a5e8: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5ec: 00e43891  add	x0, x0, #0xe39
0xfffffff00850a5f0: 127bf897  bl	#0xfffffff008329238
0xfffffff00850a5f4: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5f8: 004d02f9  str	x0, [x8, #0x498]
0xfffffff00850a5fc: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a600: 004c3991  add	x0, x0, #0xe53
0xfffffff00850a604: 0d7bf897  bl	#0xfffffff008329238
0xfffffff00850a608: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a60c: 005102f9  str	x0, [x8, #0x4a0]
0xfffffff00850a610: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a614: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00850a618: 087bf897  bl	#0xfffffff008329238
0xfffffff00850a61c: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a620: 005502f9  str	x0, [x8, #0x4a8]
0xfffffff00850a624: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00850a628: ff0f5fd6  retab	
0xfffffff00850a62c: 5f2403d5  bti	c
0xfffffff00850a630: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff00850a634: a80000b4  cbz	x8, #0xfffffff00850a648
0xfffffff00850a638: 00008052  mov	w0, #0
0xfffffff00850a63c: 29008052  mov	w9, #1
0xfffffff00850a640: 090100b9  str	w9, [x8]
0xfffffff00850a644: c0035fd6  ret	
0xfffffff00850a648: 80578052  mov	w0, #0x2bc
0xfffffff00850a64c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00850a650: c0035fd6  ret	
0xfffffff00850a654: 5f2403d5  bti	c
0xfffffff00850a658: 40ee00f0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00850a65c: 00801391  add	x0, x0, #0x4e0
0xfffffff00850a660: c0035fd6  ret	
0xfffffff00850a664: 7f2303d5  pacibsp	
0xfffffff00850a668: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00850a66c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00850a670: fd430091  add	x29, sp, #0x10
0xfffffff00850a674: f30300aa  mov	x19, x0
0xfffffff00850a678: 98e80594  bl	#0xfffffff0086848d8
0xfffffff00850a67c: a0a4fff0  adrp	x0, #0xfffffff0079a1000
0xfffffff00850a680: 00000591  add	x0, x0, #0x140
0xfffffff00850a684: e10313aa  mov	x1, x19
0xfffffff00850a688: 02068052  mov	w2, #0x30
0xfffffff00850a68c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
