; Candidate 8246
; ADRP+ADD at VM 0xfffffff00889e934 (fileoff 0x189a934): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889e8b4: 604cffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00889e8b8: 00103691  add	x0, x0, #0xd84
0xfffffff00889e8bc: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff00889e8c0: f40300f9  str	x20, [sp]
0xfffffff00889e8c4: e762d497  bl	#0xfffffff007db7460
0xfffffff00889e8c8: 23000014  b	#0xfffffff00889e954
0xfffffff00889e8cc: 08b78752  mov	w8, #0x3db8
0xfffffff00889e8d0: 7402088b  add	x20, x19, x8
0xfffffff00889e8d4: e00314aa  mov	x0, x20
0xfffffff00889e8d8: 5643fe97  bl	#0xfffffff00882f630
0xfffffff00889e8dc: 75820c91  add	x21, x19, #0x320
0xfffffff00889e8e0: e00315aa  mov	x0, x21
0xfffffff00889e8e4: 5343fe97  bl	#0xfffffff00882f630
0xfffffff00889e8e8: 31560094  bl	#0xfffffff0088b41ac
0xfffffff00889e8ec: f60300aa  mov	x22, x0
0xfffffff00889e8f0: e0008052  mov	w0, #7
0xfffffff00889e8f4: d773ff97  bl	#0xfffffff00887b850
0xfffffff00889e8f8: f70300aa  mov	x23, x0
0xfffffff00889e8fc: 780240b9  ldr	w24, [x19]
0xfffffff00889e900: e00314aa  mov	x0, x20
0xfffffff00889e904: 4b43fe97  bl	#0xfffffff00882f630
0xfffffff00889e908: f40300aa  mov	x20, x0
0xfffffff00889e90c: e00315aa  mov	x0, x21
0xfffffff00889e910: 4843fe97  bl	#0xfffffff00882f630
0xfffffff00889e914: f48303a9  stp	x20, x0, [sp, #0x38]
0xfffffff00889e918: f3e302a9  stp	x19, x24, [sp, #0x28]
0xfffffff00889e91c: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e920: 08110191  add	x8, x8, #0x44
0xfffffff00889e924: faa301a9  stp	x26, x8, [sp, #0x18]
0xfffffff00889e928: a80f8052  mov	w8, #0x7d
0xfffffff00889e92c: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00889e930: f60300f9  str	x22, [sp]
0xfffffff00889e934: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889e938: 00003a91  add	x0, x0, #0xe80
0xfffffff00889e93c: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889e940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889e944: 034efff0  adrp	x3, #0xfffffff007261000
0xfffffff00889e948: 635c0091  add	x3, x3, #0x17
0xfffffff00889e94c: 02008052  mov	w2, #0
0xfffffff00889e950: f851ea97  bl	#0xfffffff008333130
0xfffffff00889e954: 08b78752  mov	w8, #0x3db8
0xfffffff00889e958: 7402088b  add	x20, x19, x8
0xfffffff00889e95c: b60f8052  mov	w22, #0x7d
0xfffffff00889e960: 994cfff0  adrp	x25, #0xfffffff007231000
0xfffffff00889e964: 39570291  add	x25, x25, #0x95
0xfffffff00889e968: 184efff0  adrp	x24, #0xfffffff007261000
0xfffffff00889e96c: 181b0291  add	x24, x24, #0x86
0xfffffff00889e970: 177a8052  mov	w23, #0x3d0
0xfffffff00889e974: e00314aa  mov	x0, x20
0xfffffff00889e978: ab42fe97  bl	#0xfffffff00882f424
0xfffffff00889e97c: e0180035  cbnz	w0, #0xfffffff00889ec98
0xfffffff00889e980: e00314aa  mov	x0, x20
0xfffffff00889e984: a945fe97  bl	#0xfffffff008830028
0xfffffff00889e988: f50300aa  mov	x21, x0
0xfffffff00889e98c: e00314aa  mov	x0, x20
0xfffffff00889e990: bb45fe97  bl	#0xfffffff00883007c
0xfffffff00889e994: bf0200eb  cmp	x21, x0
0xfffffff00889e998: 00180054  b.eq	#0xfffffff00889ec98
0xfffffff00889e99c: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff00889e9a0: 1b050072  ands	w27, w8, #3
0xfffffff00889e9a4: e0090054  b.eq	#0xfffffff00889eae0
0xfffffff00889e9a8: a84242b9  ldr	w8, [x21, #0x240]
0xfffffff00889e9ac: a8090035  cbnz	w8, #0xfffffff00889eae0
0xfffffff00889e9b0: a8b241b9  ldr	w8, [x21, #0x1b0]
