; Candidate 1452
; ADRP+ADD at VM 0xfffffff00841e174 (fileoff 0x141a174): page=0x1ff562000 add_imm=0xd70

0xfffffff00841e0f4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00841e0f8: e90310aa  mov	x9, x16
0xfffffff00841e0fc: f10309aa  mov	x17, x9
0xfffffff00841e100: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00841e104: 11093fd7  blraa	x8, x17
0xfffffff00841e108: 7f7600f9  str	xzr, [x19, #0xe8]
0xfffffff00841e10c: 747a40f9  ldr	x20, [x19, #0xf0]
0xfffffff00841e110: 340100b4  cbz	x20, #0xfffffff00841e134
0xfffffff00841e114: c8ef00d0  adrp	x8, #0xfffffff00a218000
0xfffffff00841e118: 012944f9  ldr	x1, [x8, #0x850]
0xfffffff00841e11c: e00314aa  mov	x0, x20
0xfffffff00841e120: 2e36e697  bl	#0xfffffff007dab9d8
0xfffffff00841e124: 80aaffd0  adrp	x0, #0xfffffff007970000
0xfffffff00841e128: 00c01391  add	x0, x0, #0x4f0
0xfffffff00841e12c: e10314aa  mov	x1, x20
0xfffffff00841e130: b7aee797  bl	#0xfffffff007e09c0c
0xfffffff00841e134: e00313aa  mov	x0, x19
0xfffffff00841e138: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00841e13c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00841e140: ff2303d5  autibsp	
0xfffffff00841e144: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00841e148: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00841e150
0xfffffff00841e14c: 208e38d4  brk	#0xc471
0xfffffff00841e150: 417fff17  b	#0xfffffff0083fde54
0xfffffff00841e154: 5f2403d5  bti	c
0xfffffff00841e158: e0ef0090  adrp	x0, #0xfffffff00a21a000
0xfffffff00841e15c: 00400e91  add	x0, x0, #0x390
0xfffffff00841e160: c0035fd6  ret	
0xfffffff00841e164: 5f2403d5  bti	c
0xfffffff00841e168: e10300aa  mov	x1, x0
0xfffffff00841e16c: 08008092  mov	x8, #-1
0xfffffff00841e170: 080000f9  str	x8, [x0]
0xfffffff00841e174: 00abffd0  adrp	x0, #0xfffffff007980000
0xfffffff00841e178: 00c03591  add	x0, x0, #0xd70
0xfffffff00841e17c: 021f8052  mov	w2, #0xf8
0xfffffff00841e180: 4725fb17  b	#0xfffffff0082e769c
0xfffffff00841e184: 5f2403d5  bti	c
0xfffffff00841e188: 08008092  mov	x8, #-1
0xfffffff00841e18c: 080000f9  str	x8, [x0]
0xfffffff00841e190: c0035fd6  ret	
0xfffffff00841e194: 7f2303d5  pacibsp	
0xfffffff00841e198: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00841e19c: fd030091  mov	x29, sp
0xfffffff00841e1a0: 08abffd0  adrp	x8, #0xfffffff007980000
0xfffffff00841e1a4: 089d4db9  ldr	w8, [x8, #0xd9c]
0xfffffff00841e1a8: 08511d12  and	w8, w8, #0xfffff8
0xfffffff00841e1ac: 1fe10371  cmp	w8, #0xf8
0xfffffff00841e1b0: 22010054  b.hs	#0xfffffff00841e1d4
0xfffffff00841e1b4: 60a8fff0  adrp	x0, #0xfffffff00792d000
0xfffffff00841e1b8: 00c01c91  add	x0, x0, #0x730
0xfffffff00841e1bc: 011f8052  mov	w1, #0xf8
0xfffffff00841e1c0: 82008252  mov	w2, #0x1004
0xfffffff00841e1c4: 8200a072  movk	w2, #4, lsl #16
0xfffffff00841e1c8: 030080d2  mov	x3, #0
0xfffffff00841e1cc: cd20e697  bl	#0xfffffff007da6500
0xfffffff00841e1d0: 05000014  b	#0xfffffff00841e1e4
0xfffffff00841e1d4: 00abffd0  adrp	x0, #0xfffffff007980000
0xfffffff00841e1d8: 00c03591  add	x0, x0, #0xd70
0xfffffff00841e1dc: 81008052  mov	w1, #4
0xfffffff00841e1e0: f821e697  bl	#0xfffffff007da69c0
0xfffffff00841e1e4: e8ef0090  adrp	x8, #0xfffffff00a21a000
0xfffffff00841e1e8: 08c10191  add	x8, x8, #0x70
0xfffffff00841e1ec: 091f8052  mov	w9, #0xf8
0xfffffff00841e1f0: 080129f8  ldadd	x9, x8, [x8]
