; Candidate 3273
; ADRP+ADD at VM 0xfffffff008727b84 (fileoff 0x1723b84): page=0x1fea0a000 add_imm=0xd90

0xfffffff008727b04: 884741b9  ldr	w8, [x28, #0x144]
0xfffffff008727b08: bf02086b  cmp	w21, w8
0xfffffff008727b0c: 41110054  b.ne	#0xfffffff008727d34
0xfffffff008727b10: 08518b52  mov	w8, #0x5a88
0xfffffff008727b14: 6865089b  madd	x8, x11, x8, x25
0xfffffff008727b18: 89cc8a52  mov	w9, #0x5664
0xfffffff008727b1c: 08696938  ldrb	w8, [x8, x9]
0xfffffff008727b20: 48290034  cbz	w8, #0xfffffff008728048
0xfffffff008727b24: 08518b52  mov	w8, #0x5a88
0xfffffff008727b28: 6865089b  madd	x8, x11, x8, x25
0xfffffff008727b2c: 09cd8a52  mov	w9, #0x5668
0xfffffff008727b30: 1501098b  add	x21, x8, x9
0xfffffff008727b34: a80240b9  ldr	w8, [x21]
0xfffffff008727b38: a8030034  cbz	w8, #0xfffffff008727bac
0xfffffff008727b3c: e00313aa  mov	x0, x19
0xfffffff008727b40: 2ed6ff97  bl	#0xfffffff00871d3f8
0xfffffff008727b44: 80fa01b9  str	w0, [x20, #0x1f8]
0xfffffff008727b48: 9c0000b4  cbz	x28, #0xfffffff008727b58
0xfffffff008727b4c: 88fb41b9  ldr	w8, [x28, #0x1f8]
0xfffffff008727b50: 1f00086b  cmp	w0, w8
0xfffffff008727b54: 41090054  b.ne	#0xfffffff008727c7c
0xfffffff008727b58: a80240b9  ldr	w8, [x21]
0xfffffff008727b5c: 1f00086b  cmp	w0, w8
0xfffffff008727b60: 69020054  b.ls	#0xfffffff008727bac
0xfffffff008727b64: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008727b68: 6851fff0  adrp	x8, #0xfffffff007156000
0xfffffff008727b6c: 08cd0e91  add	x8, x8, #0x3b3
0xfffffff008727b70: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff008727b74: 88d48152  mov	w8, #0xea4
0xfffffff008727b78: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727b7c: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727b80: e92300a9  stp	x9, x8, [sp]
0xfffffff008727b84: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727b88: 00403691  add	x0, x0, #0xd90
0xfffffff008727b8c: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727b90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727b94: 8350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff008727b98: 63080291  add	x3, x3, #0x82
0xfffffff008727b9c: 02008052  mov	w2, #0
0xfffffff008727ba0: 642df097  bl	#0xfffffff008333130
0xfffffff008727ba4: 00008052  mov	w0, #0
0xfffffff008727ba8: 9effff17  b	#0xfffffff008727a20
0xfffffff008727bac: e00313aa  mov	x0, x19
0xfffffff008727bb0: 12d6ff97  bl	#0xfffffff00871d3f8
0xfffffff008727bb4: 80fe01b9  str	w0, [x20, #0x1fc]
0xfffffff008727bb8: 9c0000b4  cbz	x28, #0xfffffff008727bc8
0xfffffff008727bbc: 88ff41b9  ldr	w8, [x28, #0x1fc]
0xfffffff008727bc0: 1f00086b  cmp	w0, w8
0xfffffff008727bc4: a1080054  b.ne	#0xfffffff008727cd8
0xfffffff008727bc8: 88fa41b9  ldr	w8, [x20, #0x1f8]
0xfffffff008727bcc: 1f450071  cmp	w8, #0x11
0xfffffff008727bd0: 83020054  b.lo	#0xfffffff008727c20
0xfffffff008727bd4: 09028052  mov	w9, #0x10
0xfffffff008727bd8: 6a51fff0  adrp	x10, #0xfffffff007156000
0xfffffff008727bdc: 4acd0e91  add	x10, x10, #0x3b3
0xfffffff008727be0: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008727be4: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008727be8: 88d58152  mov	w8, #0xeac
0xfffffff008727bec: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727bf0: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727bf4: e92300a9  stp	x9, x8, [sp]
0xfffffff008727bf8: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727bfc: 00403691  add	x0, x0, #0xd90
0xfffffff008727c00: a196ffd0  adrp	x1, #0xfffffff0079fd000
