; Candidate 273
; ADRP+ADD at VM 0xfffffff007e9042c (fileoff 0xe8c42c): page=0x2367000 add_imm=0xe68

0xfffffff007e903ac: 81090054  b.ne	#0xfffffff007e904dc
0xfffffff007e903b0: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff007e903b4: 600000b4  cbz	x0, #0xfffffff007e903c0
0xfffffff007e903b8: 0849ff97  bl	#0xfffffff007e627d8
0xfffffff007e903bc: 7f1a00f9  str	xzr, [x19, #0x30]
0xfffffff007e903c0: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff007e903c4: 200600b4  cbz	x0, #0xfffffff007e90488
0xfffffff007e903c8: 01008052  mov	w1, #0
0xfffffff007e903cc: 6158ff97  bl	#0xfffffff007e66550
0xfffffff007e903d0: 2e000014  b	#0xfffffff007e90488
0xfffffff007e903d4: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007e903d8: 281844b9  ldr	w8, [x1, #0x418]
0xfffffff007e903dc: 291b01f0  adrp	x9, #0xfffffff00a1f7000
0xfffffff007e903e0: 29c13991  add	x9, x9, #0xe70
0xfffffff007e903e4: e20308aa  mov	x2, x8
0xfffffff007e903e8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e903ec: 5f00086b  cmp	w2, w8
0xfffffff007e903f0: 21080054  b.ne	#0xfffffff007e904f4
0xfffffff007e903f4: 742240f9  ldr	x20, [x19, #0x40]
0xfffffff007e903f8: b40300b4  cbz	x20, #0xfffffff007e9046c
0xfffffff007e903fc: 800a40f9  ldr	x0, [x20, #0x10]
0xfffffff007e90400: e00100b4  cbz	x0, #0xfffffff007e9043c
0xfffffff007e90404: b8f0ff97  bl	#0xfffffff007e8c6e4
0xfffffff007e90408: 18000014  b	#0xfffffff007e90468
0xfffffff007e9040c: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007e90410: 281844b9  ldr	w8, [x1, #0x418]
0xfffffff007e90414: 291b01f0  adrp	x9, #0xfffffff00a1f7000
0xfffffff007e90418: 29c13991  add	x9, x9, #0xe70
0xfffffff007e9041c: e20308aa  mov	x2, x8
0xfffffff007e90420: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e90424: 5f00086b  cmp	w2, w8
0xfffffff007e90428: 00030054  b.eq	#0xfffffff007e90488
0xfffffff007e9042c: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e90430: 00a03991  add	x0, x0, #0xe68
0xfffffff007e90434: cc70fc97  bl	#0xfffffff007dac764
0xfffffff007e90438: 14000014  b	#0xfffffff007e90488
0xfffffff007e9043c: 801a40f9  ldr	x0, [x20, #0x30]
0xfffffff007e90440: e648ff97  bl	#0xfffffff007e627d8
0xfffffff007e90444: 828643a9  ldp	x2, x1, [x20, #0x38]
0xfffffff007e90448: 9f2200f9  str	xzr, [x20, #0x40]
0xfffffff007e9044c: e0d6fff0  adrp	x0, #0xfffffff00796f000
0xfffffff007e90450: 00201a91  add	x0, x0, #0x688
0xfffffff007e90454: 8659fc97  bl	#0xfffffff007da6a6c
0xfffffff007e90458: 00d7ffb0  adrp	x0, #0xfffffff007971000
0xfffffff007e9045c: 00c01591  add	x0, x0, #0x570
0xfffffff007e90460: e10314aa  mov	x1, x20
0xfffffff007e90464: eae5fd97  bl	#0xfffffff007e09c0c
0xfffffff007e90468: 7f2200f9  str	xzr, [x19, #0x40]
0xfffffff007e9046c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff007e90470: 480000b4  cbz	x8, #0xfffffff007e90478
0xfffffff007e90474: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff007e90478: 00d7ffb0  adrp	x0, #0xfffffff007971000
0xfffffff007e9047c: 00c01691  add	x0, x0, #0x5b0
0xfffffff007e90480: e10313aa  mov	x1, x19
0xfffffff007e90484: e2e5fd97  bl	#0xfffffff007e09c0c
0xfffffff007e90488: df02156b  cmp	w22, w21
0xfffffff007e9048c: 2d010054  b.le	#0xfffffff007e904b0
0xfffffff007e90490: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e90494: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e90498: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e9049c: ff2303d5  autibsp	
0xfffffff007e904a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e904a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e904ac
0xfffffff007e904a8: 208e38d4  brk	#0xc471
