; Candidate 15234
; ADRP+ADD at VM 0xfffffff009b419cc (fileoff 0x2b3d9cc): page=0x1fdae7000 add_imm=0xed0

0xfffffff009b4194c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b41950: e00313aa  mov	x0, x19
0xfffffff009b41954: 010080d2  mov	x1, #0
0xfffffff009b41958: f10308aa  mov	x17, x8
0xfffffff009b4195c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b41960: 31093fd7  blraa	x9, x17
0xfffffff009b41964: f60300aa  mov	x22, x0
0xfffffff009b41968: 700240f9  ldr	x16, [x19]
0xfffffff009b4196c: f10313aa  mov	x17, x19
0xfffffff009b41970: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b41974: 301ac1da  autda	x16, x17
0xfffffff009b41978: f10310aa  mov	x17, x16
0xfffffff009b4197c: f147c1da  xpacd	x17
0xfffffff009b41980: 1f0211eb  cmp	x16, x17
0xfffffff009b41984: 40000054  b.eq	#0xfffffff009b4198c
0xfffffff009b41988: 408e38d4  brk	#0xc472
0xfffffff009b4198c: 08620891  add	x8, x16, #0x218
0xfffffff009b41990: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b41994: e00313aa  mov	x0, x19
0xfffffff009b41998: 010080d2  mov	x1, #0
0xfffffff009b4199c: f10308aa  mov	x17, x8
0xfffffff009b419a0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b419a4: 31093fd7  blraa	x9, x17
0xfffffff009b419a8: 686a77f8  ldr	x8, [x19, x23]
0xfffffff009b419ac: 0a314039  ldrb	w10, [x8, #0xc]
0xfffffff009b419b0: 48d7feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b419b4: 08d53c91  add	x8, x8, #0xf35
0xfffffff009b419b8: 49d7fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b419bc: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b419c0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b419c4: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b419c8: f60300f9  str	x22, [sp]
0xfffffff009b419cc: 20d7fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b419d0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b419d4: 43d7fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b419d8: 638c2e91  add	x3, x3, #0xba3
0xfffffff009b419dc: e10315aa  mov	x1, x21
0xfffffff009b419e0: e20314aa  mov	x2, x20
0xfffffff009b419e4: d3c59f97  bl	#0xfffffff008333130
0xfffffff009b419e8: e00313aa  mov	x0, x19
0xfffffff009b419ec: 134f0094  bl	#0xfffffff009b55638
0xfffffff009b419f0: 686a77f8  ldr	x8, [x19, x23]
0xfffffff009b419f4: 01314039  ldrb	w1, [x8, #0xc]
0xfffffff009b419f8: e00313aa  mov	x0, x19
0xfffffff009b419fc: c25a8052  mov	w2, #0x2d6
0xfffffff009b41a00: 0200bc72  movk	w2, #0xe000, lsl #16
0xfffffff009b41a04: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009b41a08: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009b41a0c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009b41a10: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009b41a14: ffc30191  add	sp, sp, #0x70
0xfffffff009b41a18: ff2303d5  autibsp	
0xfffffff009b41a1c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b41a20: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b41a28
0xfffffff009b41a24: 208e38d4  brk	#0xc471
0xfffffff009b41a28: 5f440014  b	#0xfffffff009b52ba4
0xfffffff009b41a2c: 5f2403d5  bti	c
0xfffffff009b41a30: 08a45329  ldp	w8, w9, [x0, #0x9c]
0xfffffff009b41a34: 3f01086b  cmp	w9, w8
0xfffffff009b41a38: 40010054  b.eq	#0xfffffff009b41a60
0xfffffff009b41a3c: 0a4840f9  ldr	x10, [x0, #0x90]
0xfffffff009b41a40: 0b00b852  mov	w11, #-0x40000000
0xfffffff009b41a44: 2c7d7dd3  ubfiz	x12, x9, #3, #0x20
0xfffffff009b41a48: 4d696cb8  ldr	w13, [x10, x12]
