; Candidate 983
; ADRP+ADD at VM 0xfffffff00814bc10 (fileoff 0x1147c10): page=0x1fef33000 add_imm=0xce8

0xfffffff00814bb90: fc0314aa  mov	x28, x20
0xfffffff00814bb94: e00314aa  mov	x0, x20
0xfffffff00814bb98: 2823ff97  bl	#0xfffffff008114838
0xfffffff00814bb9c: 5b1340f9  ldr	x27, [x26, #0x20]
0xfffffff00814bba0: e00314aa  mov	x0, x20
0xfffffff00814bba4: 2523ff97  bl	#0xfffffff008114838
0xfffffff00814bba8: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff00814bbac: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff00814bbb0: fb0300f9  str	x27, [sp]
0xfffffff00814bbb4: 0076ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00814bbb8: 00000091  add	x0, x0, #0
0xfffffff00814bbbc: 610601f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00814bbc0: 21502f91  add	x1, x1, #0xbd4
0xfffffff00814bbc4: 42008052  mov	w2, #2
0xfffffff00814bbc8: c37bffb0  adrp	x3, #0xfffffff0070c4000
0xfffffff00814bbcc: 63e02291  add	x3, x3, #0x8b8
0xfffffff00814bbd0: 589d0794  bl	#0xfffffff008333130
0xfffffff00814bbd4: bfffff17  b	#0xfffffff00814bad0
0xfffffff00814bbd8: e00319aa  mov	x0, x25
0xfffffff00814bbdc: 58160094  bl	#0xfffffff00815153c
0xfffffff00814bbe0: c6ffff17  b	#0xfffffff00814baf8
0xfffffff00814bbe4: e00319aa  mov	x0, x25
0xfffffff00814bbe8: e10317aa  mov	x1, x23
0xfffffff00814bbec: 02008052  mov	w2, #0
0xfffffff00814bbf0: c27ff197  bl	#0xfffffff007dabaf8
0xfffffff00814bbf4: dcffff17  b	#0xfffffff00814bb64
0xfffffff00814bbf8: e00319aa  mov	x0, x25
0xfffffff00814bbfc: e10317aa  mov	x1, x23
0xfffffff00814bc00: d982f197  bl	#0xfffffff007dac764
0xfffffff00814bc04: 3cf70736  tbz	w28, #0, #0xfffffff00814bae8
0xfffffff00814bc08: deffff17  b	#0xfffffff00814bb80
0xfffffff00814bc0c: 15f3ffb4  cbz	x21, #0xfffffff00814ba6c
0xfffffff00814bc10: 8079fff0  adrp	x0, #0xfffffff00707e000
0xfffffff00814bc14: 00a03391  add	x0, x0, #0xce8
0xfffffff00814bc18: 8179fff0  adrp	x1, #0xfffffff00707e000
0xfffffff00814bc1c: 21942d91  add	x1, x1, #0xb65
0xfffffff00814bc20: c2798052  mov	w2, #0x3ce
0xfffffff00814bc24: fc4e0d94  bl	#0xfffffff00849f814
0xfffffff00814bc28: 000601b0  adrp	x0, #0xfffffff00a20c000
0xfffffff00814bc2c: 00a02691  add	x0, x0, #0x9a8
0xfffffff00814bc30: e10317aa  mov	x1, x23
0xfffffff00814bc34: 02008052  mov	w2, #0
0xfffffff00814bc38: b07ff197  bl	#0xfffffff007dabaf8
0xfffffff00814bc3c: 09ffff17  b	#0xfffffff00814b860
0xfffffff00814bc40: 000601b0  adrp	x0, #0xfffffff00a20c000
0xfffffff00814bc44: 00a02691  add	x0, x0, #0x9a8
0xfffffff00814bc48: e10317aa  mov	x1, x23
0xfffffff00814bc4c: c682f197  bl	#0xfffffff007dac764
0xfffffff00814bc50: 87ffff17  b	#0xfffffff00814ba6c
0xfffffff00814bc54: 8079fff0  adrp	x0, #0xfffffff00707e000
0xfffffff00814bc58: 00183191  add	x0, x0, #0xc46
0xfffffff00814bc5c: 8179fff0  adrp	x1, #0xfffffff00707e000
0xfffffff00814bc60: 21942d91  add	x1, x1, #0xb65
0xfffffff00814bc64: e2718052  mov	w2, #0x38f
0xfffffff00814bc68: eb4e0d94  bl	#0xfffffff00849f814
0xfffffff00814bc6c: e0031baa  mov	x0, x27
0xfffffff00814bc70: e10317aa  mov	x1, x23
0xfffffff00814bc74: bc82f197  bl	#0xfffffff007dac764
0xfffffff00814bc78: 2effff17  b	#0xfffffff00814b930
0xfffffff00814bc7c: 000601b0  adrp	x0, #0xfffffff00a20c000
0xfffffff00814bc80: 00a02691  add	x0, x0, #0x9a8
0xfffffff00814bc84: e10317aa  mov	x1, x23
0xfffffff00814bc88: b782f197  bl	#0xfffffff007dac764
0xfffffff00814bc8c: b8f1ffb5  cbnz	x24, #0xfffffff00814bac0
