; Candidate 16268
; ADRP+ADD at VM 0xfffffff009e3a4bc (fileoff 0x2e364bc): page=0x1fd9ea000 add_imm=0xe87

0xfffffff009e3a43c: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009e3a440: 61060054  b.ne	#0xfffffff009e3a50c
0xfffffff009e3a444: 880640f9  ldr	x8, [x20, #8]
0xfffffff009e3a448: 1f0900f1  cmp	x8, #2
0xfffffff009e3a44c: 00060054  b.eq	#0xfffffff009e3a50c
0xfffffff009e3a450: e00313aa  mov	x0, x19
0xfffffff009e3a454: e10317aa  mov	x1, x23
0xfffffff009e3a458: eff2ff97  bl	#0xfffffff009e37014
0xfffffff009e3a45c: ff4220eb  cmp	x23, w0, uxtw
0xfffffff009e3a460: 01020054  b.ne	#0xfffffff009e3a4a0
0xfffffff009e3a464: 7b036836  tbz	w27, #0xd, #0xfffffff009e3a4d0
0xfffffff009e3a468: 57039836  tbz	w23, #0x13, #0xfffffff009e3a4d0
0xfffffff009e3a46c: 083e8452  mov	w8, #0x21f0
0xfffffff009e3a470: 6802088b  add	x8, x19, x8
0xfffffff009e3a474: 693f4092  and	x9, x27, #0xffff
0xfffffff009e3a478: ea066e92  and	x10, x23, #0xc0000
0xfffffff009e3a47c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e3a480: 0aa98152  mov	w10, #0xd48
0xfffffff009e3a484: 4bcffed0  adrp	x11, #0xfffffff007824000
0xfffffff009e3a488: 6b593b91  add	x11, x11, #0xed6
0xfffffff009e3a48c: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009e3a490: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3a494: 40cffed0  adrp	x0, #0xfffffff007824000
0xfffffff009e3a498: 00a43b91  add	x0, x0, #0xee9
0xfffffff009e3a49c: 1b000014  b	#0xfffffff009e3a508
0xfffffff009e3a4a0: 083e8452  mov	w8, #0x21f0
0xfffffff009e3a4a4: 6802088b  add	x8, x19, x8
0xfffffff009e3a4a8: 09a88152  mov	w9, #0xd40
0xfffffff009e3a4ac: 4acffed0  adrp	x10, #0xfffffff007824000
0xfffffff009e3a4b0: 4a593b91  add	x10, x10, #0xed6
0xfffffff009e3a4b4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e3a4b8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e3a4bc: 40cffed0  adrp	x0, #0xfffffff007824000
0xfffffff009e3a4c0: 001c3a91  add	x0, x0, #0xe87
0xfffffff009e3a4c4: 00150194  bl	#0xfffffff009e7f8c4
0xfffffff009e3a4c8: b8058052  mov	w24, #0x2d
0xfffffff009e3a4cc: ccffff17  b	#0xfffffff009e3a3fc
0xfffffff009e3a4d0: 887240b9  ldr	w8, [x20, #0x70]
0xfffffff009e3a4d4: 1f090071  cmp	w8, #2
0xfffffff009e3a4d8: eb010054  b.lt	#0xfffffff009e3a514
0xfffffff009e3a4dc: e8066ef2  ands	x8, x23, #0xc0000
0xfffffff009e3a4e0: a0010054  b.eq	#0xfffffff009e3a514
0xfffffff009e3a4e4: 093e8452  mov	w9, #0x21f0
0xfffffff009e3a4e8: 6902098b  add	x9, x19, x9
0xfffffff009e3a4ec: eaa98152  mov	w10, #0xd4f
0xfffffff009e3a4f0: 4bcffed0  adrp	x11, #0xfffffff007824000
0xfffffff009e3a4f4: 6b593b91  add	x11, x11, #0xed6
0xfffffff009e3a4f8: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009e3a4fc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e3a500: 40cffed0  adrp	x0, #0xfffffff007824000
0xfffffff009e3a504: 00e83c91  add	x0, x0, #0xf3a
0xfffffff009e3a508: ef140194  bl	#0xfffffff009e7f8c4
0xfffffff009e3a50c: d8028052  mov	w24, #0x16
0xfffffff009e3a510: bbffff17  b	#0xfffffff009e3a3fc
0xfffffff009e3a514: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff009e3a518: 680100b4  cbz	x8, #0xfffffff009e3a544
0xfffffff009e3a51c: 093e8452  mov	w9, #0x21f0
0xfffffff009e3a520: 6902098b  add	x9, x19, x9
0xfffffff009e3a524: aaaa8152  mov	w10, #0xd55
0xfffffff009e3a528: 4bcffed0  adrp	x11, #0xfffffff007824000
0xfffffff009e3a52c: 6b593b91  add	x11, x11, #0xed6
0xfffffff009e3a530: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009e3a534: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e3a538: 40cffed0  adrp	x0, #0xfffffff007824000
