; Candidate 8644
; ADRP+ADD at VM 0xfffffff0088b96ec (fileoff 0x18b56ec): page=0x1fe930000 add_imm=0xe80

0xfffffff0088b966c: e0008052  mov	w0, #7
0xfffffff0088b9670: 7808ff97  bl	#0xfffffff00887b850
0xfffffff0088b9674: a8088052  mov	w8, #0x45
0xfffffff0088b9678: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b967c: f30300f9  str	x19, [sp]
0xfffffff0088b9680: 8049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b9684: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b9688: 618afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b968c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b9690: 634dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b9694: 63f02791  add	x3, x3, #0x9fc
0xfffffff0088b9698: 02008052  mov	w2, #0
0xfffffff0088b969c: a5e6e997  bl	#0xfffffff008333130
0xfffffff0088b96a0: 13008052  mov	w19, #0
0xfffffff0088b96a4: 1b000014  b	#0xfffffff0088b9710
0xfffffff0088b96a8: 137d8012  mov	w19, #-0x3e9
0xfffffff0088b96ac: 19000014  b	#0xfffffff0088b9710
0xfffffff0088b96b0: bfeaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b96b4: f30300aa  mov	x19, x0
0xfffffff0088b96b8: 80008052  mov	w0, #4
0xfffffff0088b96bc: 6508ff97  bl	#0xfffffff00887b850
0xfffffff0088b96c0: 147d8012  mov	w20, #-0x3e9
0xfffffff0088b96c4: e8908052  mov	w8, #0x487
0xfffffff0088b96c8: e94bff90  adrp	x9, #0xfffffff007235000
0xfffffff0088b96cc: 29413691  add	x9, x9, #0xd90
0xfffffff0088b96d0: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0088b96d4: e84bff90  adrp	x8, #0xfffffff007235000
0xfffffff0088b96d8: 080d3d91  add	x8, x8, #0xf43
0xfffffff0088b96dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b96e0: a8088052  mov	w8, #0x45
0xfffffff0088b96e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b96e8: f30300f9  str	x19, [sp]
0xfffffff0088b96ec: 8049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b96f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b96f4: 618afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b96f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b96fc: 634dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b9700: 63342891  add	x3, x3, #0xa0d
0xfffffff0088b9704: 02008052  mov	w2, #0
0xfffffff0088b9708: 8ae6e997  bl	#0xfffffff008333130
0xfffffff0088b970c: f30314aa  mov	x19, x20
0xfffffff0088b9710: e00313aa  mov	x0, x19
0xfffffff0088b9714: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0088b9718: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0088b971c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0088b9720: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0088b9724: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0088b9728: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0088b972c: ff030391  add	sp, sp, #0xc0
0xfffffff0088b9730: ff0f5fd6  retab	
0xfffffff0088b9734: 7f2303d5  pacibsp	
0xfffffff0088b9738: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088b973c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088b9740: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088b9744: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088b9748: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088b974c: fdc30191  add	x29, sp, #0x70
0xfffffff0088b9750: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0088b9754: 1f090071  cmp	w8, #2
0xfffffff0088b9758: 61000054  b.ne	#0xfffffff0088b9764
0xfffffff0088b975c: 16008052  mov	w22, #0
0xfffffff0088b9760: a0010014  b	#0xfffffff0088b9de0
0xfffffff0088b9764: f50302aa  mov	x21, x2
0xfffffff0088b9768: f30301aa  mov	x19, x1
