; Candidate 16575
; ADRP+ADD at VM 0xfffffff009ef0404 (fileoff 0x2eec404): page=0x1fde47000 add_imm=0xd18

0xfffffff009ef0384: 690e80b9  ldrsw	x9, [x19, #0xc]
0xfffffff009ef0388: 2af17dd3  lsl	x10, x9, #3
0xfffffff009ef038c: 48011091  add	x8, x10, #0x400
0xfffffff009ef0390: 600700b4  cbz	x0, #0xfffffff009ef047c
0xfffffff009ef0394: f50300aa  mov	x21, x0
0xfffffff009ef0398: 36270090  adrp	x22, #0xfffffff00a3d4000
0xfffffff009ef039c: d6222a91  add	x22, x22, #0xa88
0xfffffff009ef03a0: cb0228f8  ldadd	x8, x11, [x22]
0xfffffff009ef03a4: 610240f9  ldr	x1, [x19]
0xfffffff009ef03a8: 610200b4  cbz	x1, #0xfffffff009ef03f4
0xfffffff009ef03ac: 1f0d09eb  cmp	x8, x9, lsl #3
0xfffffff009ef03b0: 02318a9a  csel	x2, x8, x10, lo
0xfffffff009ef03b4: e00315aa  mov	x0, x21
0xfffffff009ef03b8: 76717997  bl	#0xfffffff007d4c990
0xfffffff009ef03bc: 680240f9  ldr	x8, [x19]
0xfffffff009ef03c0: a80100b4  cbz	x8, #0xfffffff009ef03f4
0xfffffff009ef03c4: 680e80b9  ldrsw	x8, [x19, #0xc]
0xfffffff009ef03c8: e90f08cb  neg	x9, x8, lsl #3
0xfffffff009ef03cc: c90229f8  ldadd	x9, x9, [x22]
0xfffffff009ef03d0: 09f17dd3  lsl	x9, x8, #3
0xfffffff009ef03d4: 1f010071  cmp	w8, #0
0xfffffff009ef03d8: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff009ef03dc: 02b1899a  csel	x2, x8, x9, lt
0xfffffff009ef03e0: 610240f9  ldr	x1, [x19]
0xfffffff009ef03e4: 7f0200f9  str	xzr, [x19]
0xfffffff009ef03e8: 40f2fed0  adrp	x0, #0xfffffff007d3a000
0xfffffff009ef03ec: 00603091  add	x0, x0, #0xc18
0xfffffff009ef03f0: 7e9a9197  bl	#0xfffffff008356de8
0xfffffff009ef03f4: 750200f9  str	x21, [x19]
0xfffffff009ef03f8: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff009ef03fc: 08010211  add	w8, w8, #0x80
0xfffffff009ef0400: 680e00b9  str	w8, [x19, #0xc]
0xfffffff009ef0404: 20f2fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009ef0408: 00603491  add	x0, x0, #0xd18
0xfffffff009ef040c: 3a989197  bl	#0xfffffff0083564f4
0xfffffff009ef0410: c00000b4  cbz	x0, #0xfffffff009ef0428
0xfffffff009ef0414: 28270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ef0418: 08212a91  add	x8, x8, #0xa88
0xfffffff009ef041c: 09078052  mov	w9, #0x38
0xfffffff009ef0420: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009ef0424: 08000014  b	#0xfffffff009ef0444
0xfffffff009ef0428: 28270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ef042c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009ef0430: 29008052  mov	w9, #1
0xfffffff009ef0434: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009ef0438: 28270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ef043c: 09078052  mov	w9, #0x38
0xfffffff009ef0440: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009ef0444: 680240f9  ldr	x8, [x19]
0xfffffff009ef0448: 690a80b9  ldrsw	x9, [x19, #8]
0xfffffff009ef044c: 007929f8  str	x0, [x8, x9, lsl #3]
0xfffffff009ef0450: 680240f9  ldr	x8, [x19]
0xfffffff009ef0454: 007969f8  ldr	x0, [x8, x9, lsl #3]
0xfffffff009ef0458: e00100b4  cbz	x0, #0xfffffff009ef0494
0xfffffff009ef045c: 82064079  ldrh	w2, [x20, #2]
0xfffffff009ef0460: e10314aa  mov	x1, x20
0xfffffff009ef0464: 4b717997  bl	#0xfffffff007d4c990
0xfffffff009ef0468: 00008052  mov	w0, #0
0xfffffff009ef046c: 680a40b9  ldr	w8, [x19, #8]
0xfffffff009ef0470: 08050011  add	w8, w8, #1
0xfffffff009ef0474: 680a00b9  str	w8, [x19, #8]
0xfffffff009ef0478: 08000014  b	#0xfffffff009ef0498
0xfffffff009ef047c: 29270090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009ef0480: 29e12791  add	x9, x9, #0x9f8
