; Candidate 7152
; ADRP+ADD at VM 0xfffffff00885b4e8 (fileoff 0x18574e8): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885b468: a04dfff0  adrp	x0, #0xfffffff007212000
0xfffffff00885b46c: 000c2191  add	x0, x0, #0x843
0xfffffff00885b470: f62300a9  stp	x22, x8, [sp]
0xfffffff00885b474: fb6fd597  bl	#0xfffffff007db7460
0xfffffff00885b478: b40400b4  cbz	x20, #0xfffffff00885b50c
0xfffffff00885b47c: 950400b4  cbz	x21, #0xfffffff00885b50c
0xfffffff00885b480: 970a40f9  ldr	x23, [x20, #0x10]
0xfffffff00885b484: e8ce4491  add	x8, x23, #0x133, lsl #12
0xfffffff00885b488: 19011891  add	x25, x8, #0x600
0xfffffff00885b48c: ba4a40f9  ldr	x26, [x21, #0x90]
0xfffffff00885b490: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff00885b494: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00885b498: 1f210071  cmp	w8, #8
0xfffffff00885b49c: 440b40fa  ccmp	x26, #0, #4, eq
0xfffffff00885b4a0: 41070054  b.ne	#0xfffffff00885b588
0xfffffff00885b4a4: 9a0800b5  cbnz	x26, #0xfffffff00885b5b4
0xfffffff00885b4a8: 79010014  b	#0xfffffff00885ba8c
0xfffffff00885b4ac: 40630194  bl	#0xfffffff0088b41ac
0xfffffff00885b4b0: f60300aa  mov	x22, x0
0xfffffff00885b4b4: 00018052  mov	w0, #8
0xfffffff00885b4b8: e6800094  bl	#0xfffffff00887b850
0xfffffff00885b4bc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885b4c0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885b4c4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885b4c8: 484eff90  adrp	x8, #0xfffffff007223000
0xfffffff00885b4cc: 09312891  add	x9, x8, #0xa0c
0xfffffff00885b4d0: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885b4d4: 08811191  add	x8, x8, #0x460
0xfffffff00885b4d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885b4dc: 880c8052  mov	w8, #0x64
0xfffffff00885b4e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885b4e4: f60300f9  str	x22, [sp]
0xfffffff00885b4e8: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885b4ec: 00003a91  add	x0, x0, #0xe80
0xfffffff00885b4f0: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885b4f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885b4f8: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885b4fc: 63ec3591  add	x3, x3, #0xd7b
0xfffffff00885b500: 02008052  mov	w2, #0
0xfffffff00885b504: 0b5feb97  bl	#0xfffffff008333130
0xfffffff00885b508: b4fbffb5  cbnz	x20, #0xfffffff00885b47c
0xfffffff00885b50c: 800c8052  mov	w0, #0x64
0xfffffff00885b510: 81008052  mov	w1, #4
0xfffffff00885b514: af800094  bl	#0xfffffff00887b7d0
0xfffffff00885b518: a00d0034  cbz	w0, #0xfffffff00885b6cc
0xfffffff00885b51c: 800c8052  mov	w0, #0x64
0xfffffff00885b520: be800094  bl	#0xfffffff00887b818
0xfffffff00885b524: f70300aa  mov	x23, x0
0xfffffff00885b528: 21630194  bl	#0xfffffff0088b41ac
0xfffffff00885b52c: f60300aa  mov	x22, x0
0xfffffff00885b530: 80008052  mov	w0, #4
0xfffffff00885b534: c7800094  bl	#0xfffffff00887b850
0xfffffff00885b538: 57090034  cbz	w23, #0xfffffff00885b660
0xfffffff00885b53c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885b540: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00885b544: 494efff0  adrp	x9, #0xfffffff007226000
0xfffffff00885b548: 2af10c91  add	x10, x9, #0x33c
0xfffffff00885b54c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885b550: a87f8152  mov	w8, #0xbfd
0xfffffff00885b554: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885b558: 29312891  add	x9, x9, #0xa0c
0xfffffff00885b55c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885b560: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885b564: 08811191  add	x8, x8, #0x460
