; Candidate 5239
; ADRP+ADD at VM 0xfffffff0087e1758 (fileoff 0x17dd758): page=0x1fea08000 add_imm=0xe80

0xfffffff0087e16d8: f70300aa  mov	x23, x0
0xfffffff0087e16dc: b44a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e16e0: f60300aa  mov	x22, x0
0xfffffff0087e16e4: c0008052  mov	w0, #6
0xfffffff0087e16e8: 5a680294  bl	#0xfffffff00887b850
0xfffffff0087e16ec: b7010034  cbz	w23, #0xfffffff0087e1720
0xfffffff0087e16f0: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087e16f4: 28258052  mov	w8, #0x129
0xfffffff0087e16f8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e16fc: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1700: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e1704: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1708: 680e8052  mov	w8, #0x73
0xfffffff0087e170c: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e1710: 00d83591  add	x0, x0, #0xd76
0xfffffff0087e1714: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e1718: 5257d797  bl	#0xfffffff007db7460
0xfffffff0087e171c: 17000014  b	#0xfffffff0087e1778
0xfffffff0087e1720: a34a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e1724: f60300aa  mov	x22, x0
0xfffffff0087e1728: c0008052  mov	w0, #6
0xfffffff0087e172c: 49680294  bl	#0xfffffff00887b850
0xfffffff0087e1730: e80315aa  mov	x8, x21
0xfffffff0087e1734: e90314aa  mov	x9, x20
0xfffffff0087e1738: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0087e173c: 28258052  mov	w8, #0x129
0xfffffff0087e1740: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1744: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1748: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e174c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1750: 680e8052  mov	w8, #0x73
0xfffffff0087e1754: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e1758: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e175c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1760: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1764: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1768: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e176c: 63401891  add	x3, x3, #0x610
0xfffffff0087e1770: 02008052  mov	w2, #0
0xfffffff0087e1774: 6f46ed97  bl	#0xfffffff008333130
0xfffffff0087e1778: 4091fff0  adrp	x0, #0xfffffff007a0c000
0xfffffff0087e177c: 00603191  add	x0, x0, #0xc58
0xfffffff0087e1780: 5dd3ed97  bl	#0xfffffff0083564f4
0xfffffff0087e1784: c00200b4  cbz	x0, #0xfffffff0087e17dc
0xfffffff0087e1788: f60300aa  mov	x22, x0
0xfffffff0087e178c: 01008052  mov	w1, #0
0xfffffff0087e1790: 022a8052  mov	w2, #0x150
0xfffffff0087e1794: 0badd597  bl	#0xfffffff007d4cbc0
0xfffffff0087e1798: 9f060071  cmp	w20, #1
0xfffffff0087e179c: 48008052  mov	w8, #2
0xfffffff0087e17a0: a802881a  csel	w8, w21, w8, eq
0xfffffff0087e17a4: d4a20429  stp	w20, w8, [x22, #0x24]
0xfffffff0087e17a8: 28008052  mov	w8, #1
0xfffffff0087e17ac: c8ca00b9  str	w8, [x22, #0xc8]
0xfffffff0087e17b0: 7f4a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e17b4: c07e00f9  str	x0, [x22, #0xf8]
0xfffffff0087e17b8: c05e00f9  str	x0, [x22, #0xb8]
0xfffffff0087e17bc: c06e00f9  str	x0, [x22, #0xd8]
0xfffffff0087e17c0: c02e00f9  str	x0, [x22, #0x58]
0xfffffff0087e17c4: d30600f9  str	x19, [x22, #8]
0xfffffff0087e17c8: 9cd7ed97  bl	#0xfffffff008357638
0xfffffff0087e17cc: c00a00f9  str	x0, [x22, #0x10]
0xfffffff0087e17d0: 000400b4  cbz	x0, #0xfffffff0087e1850
0xfffffff0087e17d4: 19008052  mov	w25, #0
