; Candidate 3323
; ADRP+ADD at VM 0xfffffff00872f9d4 (fileoff 0x172b9d4): page=0x1ff2d4000 add_imm=0xd68

0xfffffff00872f954: e00308aa  mov	x0, x8
0xfffffff00872f958: 01008052  mov	w1, #0
0xfffffff00872f95c: 9974d817  b	#0xfffffff007d4cbc0
0xfffffff00872f960: 5f2403d5  bti	c
0xfffffff00872f964: 00008052  mov	w0, #0
0xfffffff00872f968: c0035fd6  ret	
0xfffffff00872f96c: 5f2403d5  bti	c
0xfffffff00872f970: c0035fd6  ret	
0xfffffff00872f974: 5f2403d5  bti	c
0xfffffff00872f978: c0035fd6  ret	
0xfffffff00872f97c: 5f2403d5  bti	c
0xfffffff00872f980: c0035fd6  ret	
0xfffffff00872f984: 5f2403d5  bti	c
0xfffffff00872f988: 00008052  mov	w0, #0
0xfffffff00872f98c: c0035fd6  ret	
0xfffffff00872f990: 7f2303d5  pacibsp	
0xfffffff00872f994: ffc300d1  sub	sp, sp, #0x30
0xfffffff00872f998: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00872f99c: fd830091  add	x29, sp, #0x20
0xfffffff00872f9a0: a8068052  mov	w8, #0x35
0xfffffff00872f9a4: 0951ff90  adrp	x9, #0xfffffff00714f000
0xfffffff00872f9a8: 29911391  add	x9, x9, #0x4e4
0xfffffff00872f9ac: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00872f9b0: e00300f9  str	x0, [sp]
0xfffffff00872f9b4: 0051ff90  adrp	x0, #0xfffffff00714f000
0xfffffff00872f9b8: 00601391  add	x0, x0, #0x4d8
0xfffffff00872f9bc: d492f597  bl	#0xfffffff00849450c
0xfffffff00872f9c0: 7f2303d5  pacibsp	
0xfffffff00872f9c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00872f9c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00872f9cc: fd430091  add	x29, sp, #0x10
0xfffffff00872f9d0: f30300aa  mov	x19, x0
0xfffffff00872f9d4: a096ff90  adrp	x0, #0xfffffff007a03000
0xfffffff00872f9d8: 00a03591  add	x0, x0, #0xd68
0xfffffff00872f9dc: c69af097  bl	#0xfffffff0083564f4
0xfffffff00872f9e0: e10313aa  mov	x1, x19
0xfffffff00872f9e4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00872f9e8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00872f9ec: ff2303d5  autibsp	
0xfffffff00872f9f0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00872f9f4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00872f9fc
0xfffffff00872f9f8: 208e38d4  brk	#0xc471
0xfffffff00872f9fc: 25000014  b	#0xfffffff00872fa90
0xfffffff00872fa00: 5f2403d5  bti	c
0xfffffff00872fa04: 23000014  b	#0xfffffff00872fa90
0xfffffff00872fa08: 7f2303d5  pacibsp	
0xfffffff00872fa0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00872fa10: fd030091  mov	x29, sp
0xfffffff00872fa14: 9e260094  bl	#0xfffffff00873948c
0xfffffff00872fa18: 7096fff0  adrp	x16, #0xfffffff0079fe000
0xfffffff00872fa1c: 10e23091  add	x16, x16, #0xc38
0xfffffff00872fa20: 10420091  add	x16, x16, #0x10
0xfffffff00872fa24: f10300aa  mov	x17, x0
0xfffffff00872fa28: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff00872fa2c: 300ac1da  pacda	x16, x17
0xfffffff00872fa30: 100000f9  str	x16, [x0]
0xfffffff00872fa34: 885b8052  mov	w8, #0x2dc
0xfffffff00872fa38: c800a072  movk	w8, #6, lsl #16
0xfffffff00872fa3c: 083000b9  str	w8, [x0, #0x30]
0xfffffff00872fa40: 1f1400f9  str	xzr, [x0, #0x28]
0xfffffff00872fa44: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00872fa48: ff0f5fd6  retab	
0xfffffff00872fa4c: 7f2303d5  pacibsp	
0xfffffff00872fa50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
