; Candidate 9936
; ADRP+ADD at VM 0xfffffff008bcbf2c (fileoff 0x1bc7f2c): page=0x1feec9000 add_imm=0xcf0

0xfffffff008bcbeac: 1112e6f2  movk	x17, #0x3090, lsl #48
0xfffffff008bcbeb0: 11093fd7  blraa	x8, x17
0xfffffff008bcbeb4: 02000014  b	#0xfffffff008bcbebc
0xfffffff008bcbeb8: 20008052  mov	w0, #1
0xfffffff008bcbebc: 1f0317eb  cmp	x24, x23
0xfffffff008bcbec0: 0883979a  csel	x8, x24, x23, hi
0xfffffff008bcbec4: 1f0008eb  cmp	x0, x8
0xfffffff008bcbec8: 1980889a  csel	x25, x0, x8, hi
0xfffffff008bcbecc: ff0600f1  cmp	x23, #1
0xfffffff008bcbed0: 60000054  b.eq	#0xfffffff008bcbedc
0xfffffff008bcbed4: ff0219eb  cmp	x23, x25
0xfffffff008bcbed8: 21010054  b.ne	#0xfffffff008bcbefc
0xfffffff008bcbedc: 1f0700f1  cmp	x24, #1
0xfffffff008bcbee0: 60000054  b.eq	#0xfffffff008bcbeec
0xfffffff008bcbee4: 1f0319eb  cmp	x24, x25
0xfffffff008bcbee8: a1000054  b.ne	#0xfffffff008bcbefc
0xfffffff008bcbeec: 1f0400f1  cmp	x0, #1
0xfffffff008bcbef0: e0010054  b.eq	#0xfffffff008bcbf2c
0xfffffff008bcbef4: 1f0008eb  cmp	x0, x8
0xfffffff008bcbef8: a2010054  b.hs	#0xfffffff008bcbf2c
0xfffffff008bcbefc: 483bffb0  adrp	x8, #0xfffffff007334000
0xfffffff008bcbf00: 089d0b91  add	x8, x8, #0x2e7
0xfffffff008bcbf04: e80300f9  str	x8, [sp]
0xfffffff008bcbf08: c039ffd0  adrp	x0, #0xfffffff007305000
0xfffffff008bcbf0c: 00400c91  add	x0, x0, #0x310
0xfffffff008bcbf10: 0176ffd0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bcbf14: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bcbf18: e33afff0  adrp	x3, #0xfffffff00732a000
0xfffffff008bcbf1c: 63d43791  add	x3, x3, #0xdf5
0xfffffff008bcbf20: 02008052  mov	w2, #0
0xfffffff008bcbf24: 839cdd97  bl	#0xfffffff008333130
0xfffffff008bcbf28: 39008052  mov	w25, #1
0xfffffff008bcbf2c: 4076ffb0  adrp	x0, #0xfffffff007a94000
0xfffffff008bcbf30: 00c03391  add	x0, x0, #0xcf0
0xfffffff008bcbf34: 7029de97  bl	#0xfffffff0083564f4
0xfffffff008bcbf38: f70300aa  mov	x23, x0
0xfffffff008bcbf3c: 3076fff0  adrp	x16, #0xfffffff007a92000
0xfffffff008bcbf40: 10c22b91  add	x16, x16, #0xaf0
0xfffffff008bcbf44: 10420091  add	x16, x16, #0x10
0xfffffff008bcbf48: f10300aa  mov	x17, x0
0xfffffff008bcbf4c: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcbf50: 300ac1da  pacda	x16, x17
0xfffffff008bcbf54: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcbf58: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcbf5c: 190800f9  str	x25, [x0, #0x10]
0xfffffff008bcbf60: 28074292  and	x8, x25, #0xc000000000000000
0xfffffff008bcbf64: 29f77ed3  lsl	x9, x25, #2
0xfffffff008bcbf68: 3f0100f1  cmp	x9, #0
0xfffffff008bcbf6c: 00a940fa  ccmp	x8, #0, #0, ge
0xfffffff008bcbf70: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff008bcbf74: 0011899a  csel	x0, x8, x9, ne
0xfffffff008bcbf78: 6f2bde97  bl	#0xfffffff008356d34
0xfffffff008bcbf7c: e00600f9  str	x0, [x23, #8]
0xfffffff008bcbf80: e0e601a9  stp	x0, x25, [x23, #0x18]
0xfffffff008bcbf84: 600640f9  ldr	x0, [x19, #8]
0xfffffff008bcbf88: 400100b4  cbz	x0, #0xfffffff008bcbfb0
0xfffffff008bcbf8c: 100040f9  ldr	x16, [x0]
0xfffffff008bcbf90: f10300aa  mov	x17, x0
0xfffffff008bcbf94: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcbf98: 301ac1da  autda	x16, x17
0xfffffff008bcbf9c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcbfa0: e90310aa  mov	x9, x16
0xfffffff008bcbfa4: f10309aa  mov	x17, x9
0xfffffff008bcbfa8: 511af3f2  movk	x17, #0x98d2, lsl #48
