; Candidate 6207
; ADRP+ADD at VM 0xfffffff00881a440 (fileoff 0x1816440): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881a3c0: 89378152  mov	w9, #0x9bc
0xfffffff00881a3c4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a3c8: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a3cc: 08911491  add	x8, x8, #0x524
0xfffffff00881a3d0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a3d4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881a3d8: 880e8052  mov	w8, #0x74
0xfffffff00881a3dc: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881a3e0: 00f80591  add	x0, x0, #0x17e
0xfffffff00881a3e4: cd020014  b	#0xfffffff00881af18
0xfffffff00881a3e8: 71670294  bl	#0xfffffff0088b41ac
0xfffffff00881a3ec: f90300aa  mov	x25, x0
0xfffffff00881a3f0: 80008052  mov	w0, #4
0xfffffff00881a3f4: 17850194  bl	#0xfffffff00887b850
0xfffffff00881a3f8: e80318aa  mov	x8, x24
0xfffffff00881a3fc: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881a400: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881a404: e80316aa  mov	x8, x22
0xfffffff00881a408: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881a40c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881a410: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881a414: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881a418: e9368152  mov	w9, #0x9b7
0xfffffff00881a41c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a420: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a424: 08911491  add	x8, x8, #0x524
0xfffffff00881a428: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a42c: 880e8052  mov	w8, #0x74
0xfffffff00881a430: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881a434: 63f40e91  add	x3, x3, #0x3bd
0xfffffff00881a438: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881a43c: f90300f9  str	x25, [sp]
0xfffffff00881a440: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881a444: 00003a91  add	x0, x0, #0xe80
0xfffffff00881a448: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881a44c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881a450: 02008052  mov	w2, #0
0xfffffff00881a454: 3763ec97  bl	#0xfffffff008333130
0xfffffff00881a458: 19ffff17  b	#0xfffffff00881a0bc
0xfffffff00881a45c: 682a4491  add	x8, x19, #0x10a, lsl #12
0xfffffff00881a460: 19f10191  add	x25, x8, #0x7c
0xfffffff00881a464: e00313aa  mov	x0, x19
0xfffffff00881a468: 21008052  mov	w1, #1
0xfffffff00881a46c: ffe9ff97  bl	#0xfffffff008814c68
0xfffffff00881a470: 60c20491  add	x0, x19, #0x130
0xfffffff00881a474: 210340b9  ldr	w1, [x25]
0xfffffff00881a478: 0b220094  bl	#0xfffffff008822ca4
0xfffffff00881a47c: a0070034  cbz	w0, #0xfffffff00881a570
0xfffffff00881a480: f80300aa  mov	x24, x0
0xfffffff00881a484: 800e8052  mov	w0, #0x74
0xfffffff00881a488: 81008052  mov	w1, #4
0xfffffff00881a48c: d1840194  bl	#0xfffffff00887b7d0
0xfffffff00881a490: 60e1ff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881a494: 800e8052  mov	w0, #0x74
0xfffffff00881a498: e0840194  bl	#0xfffffff00887b818
0xfffffff00881a49c: fa0300aa  mov	x26, x0
0xfffffff00881a4a0: 43670294  bl	#0xfffffff0088b41ac
0xfffffff00881a4a4: f90300aa  mov	x25, x0
0xfffffff00881a4a8: 80008052  mov	w0, #4
0xfffffff00881a4ac: e9840194  bl	#0xfffffff00887b850
0xfffffff00881a4b0: ba0c0034  cbz	w26, #0xfffffff00881a644
0xfffffff00881a4b4: e80318aa  mov	x8, x24
0xfffffff00881a4b8: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881a4bc: f7a305a9  stp	x23, x8, [sp, #0x58]
