; Candidate 4506
; ADRP+ADD at VM 0xfffffff0087b5db4 (fileoff 0x17b1db4): page=0x1fe97c000 add_imm=0xd90

0xfffffff0087b5d34: 1c1142f9  ldr	x28, [x8, #0x420]
0xfffffff0087b5d38: 9c0300b4  cbz	x28, #0xfffffff0087b5da8
0xfffffff0087b5d3c: f80301aa  mov	x24, x1
0xfffffff0087b5d40: 89a740b9  ldr	w9, [x28, #0xa4]
0xfffffff0087b5d44: 886a5fb9  ldr	w8, [x20, #0x1f68]
0xfffffff0087b5d48: 3f01086b  cmp	w9, w8
0xfffffff0087b5d4c: 01010054  b.ne	#0xfffffff0087b5d6c
0xfffffff0087b5d50: 89ab40b9  ldr	w9, [x28, #0xa8]
0xfffffff0087b5d54: 8a6e5fb9  ldr	w10, [x20, #0x1f6c]
0xfffffff0087b5d58: 3f010a6b  cmp	w9, w10
0xfffffff0087b5d5c: 81000054  b.ne	#0xfffffff0087b5d6c
0xfffffff0087b5d60: 00008052  mov	w0, #0
0xfffffff0087b5d64: 7c0200f9  str	x28, [x19]
0xfffffff0087b5d68: 1c000014  b	#0xfffffff0087b5dd8
0xfffffff0087b5d6c: 7f000271  cmp	w3, #0x80
0xfffffff0087b5d70: 88010054  b.hi	#0xfffffff0087b5da0
0xfffffff0087b5d74: 894e238b  add	x9, x20, w3, uxtw #3
0xfffffff0087b5d78: 3b1142f9  ldr	x27, [x9, #0x420]
0xfffffff0087b5d7c: 7b0200f9  str	x27, [x19]
0xfffffff0087b5d80: 9b1800b4  cbz	x27, #0xfffffff0087b6090
0xfffffff0087b5d84: 69a740b9  ldr	w9, [x27, #0xa4]
0xfffffff0087b5d88: 3f01086b  cmp	w9, w8
0xfffffff0087b5d8c: e1030054  b.ne	#0xfffffff0087b5e08
0xfffffff0087b5d90: 68ab40b9  ldr	w8, [x27, #0xa8]
0xfffffff0087b5d94: 896e5fb9  ldr	w9, [x20, #0x1f6c]
0xfffffff0087b5d98: 1f01096b  cmp	w8, w9
0xfffffff0087b5d9c: 61030054  b.ne	#0xfffffff0087b5e08
0xfffffff0087b5da0: 00008052  mov	w0, #0
0xfffffff0087b5da4: 0d000014  b	#0xfffffff0087b5dd8
0xfffffff0087b5da8: e84cff90  adrp	x8, #0xfffffff007151000
0xfffffff0087b5dac: 08711791  add	x8, x8, #0x5dc
0xfffffff0087b5db0: e80300f9  str	x8, [sp]
0xfffffff0087b5db4: e04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b5db8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b5dbc: 4192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b5dc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b5dc4: a34cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b5dc8: 63e01c91  add	x3, x3, #0x738
0xfffffff0087b5dcc: 02008052  mov	w2, #0
0xfffffff0087b5dd0: d8f4ed97  bl	#0xfffffff008333130
0xfffffff0087b5dd4: 40278052  mov	w0, #0x13a
0xfffffff0087b5dd8: 680240f9  ldr	x8, [x19]
0xfffffff0087b5ddc: 1f0100f1  cmp	x8, #0
0xfffffff0087b5de0: 0018407a  ccmp	w0, #0, #0, ne
0xfffffff0087b5de4: e0179f1a  cset	w0, eq
0xfffffff0087b5de8: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0087b5dec: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0087b5df0: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0087b5df4: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0087b5df8: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0087b5dfc: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0087b5e00: ff430591  add	sp, sp, #0x150
0xfffffff0087b5e04: ff0f5fd6  retab	
0xfffffff0087b5e08: 801a45f9  ldr	x0, [x20, #0xa30]
0xfffffff0087b5e0c: 100040f9  ldr	x16, [x0]
0xfffffff0087b5e10: f10300aa  mov	x17, x0
0xfffffff0087b5e14: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b5e18: 301ac1da  autda	x16, x17
0xfffffff0087b5e1c: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0087b5e20: e90310aa  mov	x9, x16
0xfffffff0087b5e24: e10318aa  mov	x1, x24
0xfffffff0087b5e28: f10309aa  mov	x17, x9
0xfffffff0087b5e2c: f19ffff2  movk	x17, #0xfcff, lsl #48
0xfffffff0087b5e30: 11093fd7  blraa	x8, x17
