; Candidate 661
; ADRP+ADD at VM 0xfffffff00800de1c (fileoff 0x1009e1c): page=0x1ff968000 add_imm=0xdf0

0xfffffff00800dd9c: cffaff97  bl	#0xfffffff00800c8d8
0xfffffff00800dda0: 080d01b0  adrp	x8, #0xfffffff00a1ae000
0xfffffff00800dda4: 089541b9  ldr	w8, [x8, #0x194]
0xfffffff00800dda8: 60040034  cbz	w0, #0xfffffff00800de34
0xfffffff00800ddac: 1f0d0071  cmp	w8, #3
0xfffffff00800ddb0: 83010054  b.lo	#0xfffffff00800dde0
0xfffffff00800ddb4: e882ffb0  adrp	x8, #0xfffffff00706a000
0xfffffff00800ddb8: 08c13a91  add	x8, x8, #0xeb0
0xfffffff00800ddbc: e80300a9  stp	x8, x0, [sp]
0xfffffff00800ddc0: e07ffff0  adrp	x0, #0xfffffff00700c000
0xfffffff00800ddc4: 00000091  add	x0, x0, #0
0xfffffff00800ddc8: 611001b0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800ddcc: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800ddd0: 4385ffd0  adrp	x3, #0xfffffff0070b7000
0xfffffff00800ddd4: 632c3b91  add	x3, x3, #0xecb
0xfffffff00800ddd8: 02028052  mov	w2, #0x10
0xfffffff00800dddc: d5940c94  bl	#0xfffffff008333130
0xfffffff00800dde0: e00316aa  mov	x0, x22
0xfffffff00800dde4: f37ef697  bl	#0xfffffff007dad9b0
0xfffffff00800dde8: e00316aa  mov	x0, x22
0xfffffff00800ddec: 0f82f697  bl	#0xfffffff007dae628
0xfffffff00800ddf0: 810d01b0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800ddf4: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800ddf8: e00316aa  mov	x0, x22
0xfffffff00800ddfc: 047df697  bl	#0xfffffff007dad20c
0xfffffff00800de00: a14240f9  ldr	x1, [x21, #0x80]
0xfffffff00800de04: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800de08: 02610391  add	x2, x8, #0xd8
0xfffffff00800de0c: bf4200f9  str	xzr, [x21, #0x80]
0xfffffff00800de10: 00cbffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00800de14: 00201a91  add	x0, x0, #0x688
0xfffffff00800de18: 1563f697  bl	#0xfffffff007da6a6c
0xfffffff00800de1c: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800de20: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800de24: e10315aa  mov	x1, x21
0xfffffff00800de28: 79eff797  bl	#0xfffffff007e09c0c
0xfffffff00800de2c: 23008052  mov	w3, #1
0xfffffff00800de30: 86ffff17  b	#0xfffffff00800dc48
0xfffffff00800de34: 1f1d0071  cmp	w8, #7
0xfffffff00800de38: c3010054  b.lo	#0xfffffff00800de70
0xfffffff00800de3c: e882ffb0  adrp	x8, #0xfffffff00706a000
0xfffffff00800de40: 085d1b91  add	x8, x8, #0x6d7
0xfffffff00800de44: e982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff00800de48: 29c13a91  add	x9, x9, #0xeb0
0xfffffff00800de4c: e92300a9  stp	x9, x8, [sp]
0xfffffff00800de50: e07ffff0  adrp	x0, #0xfffffff00700c000
0xfffffff00800de54: 00000091  add	x0, x0, #0
0xfffffff00800de58: 611001b0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800de5c: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800de60: 4385ffd0  adrp	x3, #0xfffffff0070b7000
0xfffffff00800de64: 63b43b91  add	x3, x3, #0xeed
0xfffffff00800de68: 02008052  mov	w2, #0
0xfffffff00800de6c: b1940c94  bl	#0xfffffff008333130
0xfffffff00800de70: e00314aa  mov	x0, x20
0xfffffff00800de74: 21008052  mov	w1, #1
0xfffffff00800de78: e20313aa  mov	x2, x19
0xfffffff00800de7c: 1a000094  bl	#0xfffffff00800dee4
0xfffffff00800de80: 00008052  mov	w0, #0
0xfffffff00800de84: 62a9ff97  bl	#0xfffffff007ff840c
0xfffffff00800de88: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00800de8c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00800de90: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00800de94: bfff3aa9  stp	xzr, xzr, [x29, #-0x58]
0xfffffff00800de98: 0880ffd0  adrp	x8, #0xfffffff00700f000
