; Candidate 12489
; ADRP+ADD at VM 0xfffffff0090a7c18 (fileoff 0x20a3c18): page=0x1fe3b2000 add_imm=0xe24

0xfffffff0090a7b98: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff0090a7b9c: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090a7ba0: e01dffb0  adrp	x0, #0xfffffff007464000
0xfffffff0090a7ba4: 00680e91  add	x0, x0, #0x39a
0xfffffff0090a7ba8: 1ebdca97  bl	#0xfffffff008357020
0xfffffff0090a7bac: 2a2b8052  mov	w10, #0x159
0xfffffff0090a7bb0: e81dff90  adrp	x8, #0xfffffff007463000
0xfffffff0090a7bb4: 08193d91  add	x8, x8, #0xf46
0xfffffff0090a7bb8: 891dffd0  adrp	x9, #0xfffffff007459000
0xfffffff0090a7bbc: 2bb92d91  add	x11, x9, #0xb6e
0xfffffff0090a7bc0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0090a7bc4: 881dfff0  adrp	x8, #0xfffffff00745a000
0xfffffff0090a7bc8: 08290291  add	x8, x8, #0x8a
0xfffffff0090a7bcc: 49008092  mov	x9, #-3
0xfffffff0090a7bd0: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff0090a7bd4: e80300f9  str	x8, [sp]
0xfffffff0090a7bd8: 801dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090a7bdc: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a7be0: 10bdca97  bl	#0xfffffff008357020
0xfffffff0090a7be4: c8088052  mov	w8, #0x46
0xfffffff0090a7be8: 55008012  mov	w21, #-3
0xfffffff0090a7bec: 09034039  ldrb	w9, [x24]
0xfffffff0090a7bf0: 1f01096b  cmp	w8, w9
0xfffffff0090a7bf4: 83010054  b.lo	#0xfffffff0090a7c24
0xfffffff0090a7bf8: e80315aa  mov	x8, x21
0xfffffff0090a7bfc: 087d4093  sxtw	x8, w8
0xfffffff0090a7c00: e91dffb0  adrp	x9, #0xfffffff007464000
0xfffffff0090a7c04: 290d0e91  add	x9, x9, #0x383
0xfffffff0090a7c08: aa1dffd0  adrp	x10, #0xfffffff00745d000
0xfffffff0090a7c0c: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090a7c10: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090a7c14: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a7c18: 801dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090a7c1c: 00903891  add	x0, x0, #0xe24
0xfffffff0090a7c20: 00bdca97  bl	#0xfffffff008357020
0xfffffff0090a7c24: e00315aa  mov	x0, x21
0xfffffff0090a7c28: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090a7c2c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090a7c30: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090a7c34: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090a7c38: ff030291  add	sp, sp, #0x80
0xfffffff0090a7c3c: ff0f5fd6  retab	
0xfffffff0090a7c40: 08288052  mov	w8, #0x140
0xfffffff0090a7c44: e91dff90  adrp	x9, #0xfffffff007463000
0xfffffff0090a7c48: 29193d91  add	x9, x9, #0xf46
0xfffffff0090a7c4c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a7c50: 881dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090a7c54: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a7c58: ea1dffb0  adrp	x10, #0xfffffff007464000
0xfffffff0090a7c5c: 4a410891  add	x10, x10, #0x210
0xfffffff0090a7c60: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a7c64: ea0300f9  str	x10, [sp]
0xfffffff0090a7c68: dcffff17  b	#0xfffffff0090a7bd8
0xfffffff0090a7c6c: f50300aa  mov	x21, x0
0xfffffff0090a7c70: a87e4093  sxtw	x8, w21
0xfffffff0090a7c74: 692a8052  mov	w9, #0x153
0xfffffff0090a7c78: 04000014  b	#0xfffffff0090a7c88
0xfffffff0090a7c7c: f50300aa  mov	x21, x0
0xfffffff0090a7c80: a87e4093  sxtw	x8, w21
0xfffffff0090a7c84: 69298052  mov	w9, #0x14b
0xfffffff0090a7c88: ea1dff90  adrp	x10, #0xfffffff007463000
0xfffffff0090a7c8c: 4a193d91  add	x10, x10, #0xf46
0xfffffff0090a7c90: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a7c94: 891dffd0  adrp	x9, #0xfffffff007459000
