; Candidate 4491
; ADRP+ADD at VM 0xfffffff0087b4628 (fileoff 0x17b0628): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b45a8: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff0087b45ac: 200e00b4  cbz	x0, #0xfffffff0087b4770
0xfffffff0087b45b0: 01008052  mov	w1, #0
0xfffffff0087b45b4: 4a354c94  bl	#0xfffffff009ac1adc
0xfffffff0087b45b8: 610660b9  ldr	w1, [x19, #0x2004]
0xfffffff0087b45bc: 68924db9  ldr	w8, [x19, #0xd90]
0xfffffff0087b45c0: 0a050051  sub	w10, w8, #1
0xfffffff0087b45c4: 620a60b9  ldr	w2, [x19, #0x2008]
0xfffffff0087b45c8: 69964db9  ldr	w9, [x19, #0xd94]
0xfffffff0087b45cc: 2a000a2b  adds	w10, w1, w10
0xfffffff0087b45d0: 830e0054  b.lo	#0xfffffff0087b47a0
0xfffffff0087b45d4: 0c008052  mov	w12, #0
0xfffffff0087b45d8: 0b008052  mov	w11, #0
0xfffffff0087b45dc: 0d008052  mov	w13, #0
0xfffffff0087b45e0: 2e008052  mov	w14, #1
0xfffffff0087b45e4: ef5340f9  ldr	x15, [sp, #0xa0]
0xfffffff0087b45e8: 55010014  b	#0xfffffff0087b4b3c
0xfffffff0087b45ec: 28008052  mov	w8, #1
0xfffffff0087b45f0: e80300f9  str	x8, [sp]
0xfffffff0087b45f4: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b45f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b45fc: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4600: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4604: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4608: 63740691  add	x3, x3, #0x19d
0xfffffff0087b460c: 02008052  mov	w2, #0
0xfffffff0087b4610: c8faed97  bl	#0xfffffff008333130
0xfffffff0087b4614: 57fcff17  b	#0xfffffff0087b3770
0xfffffff0087b4618: 08008012  mov	w8, #-1
0xfffffff0087b461c: 494dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b4620: 29111891  add	x9, x9, #0x604
0xfffffff0087b4624: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b4628: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b462c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4630: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4634: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4638: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b463c: 63740591  add	x3, x3, #0x15d
0xfffffff0087b4640: 02008052  mov	w2, #0
0xfffffff0087b4644: bbfaed97  bl	#0xfffffff008333130
0xfffffff0087b4648: 4afcff17  b	#0xfffffff0087b3770
0xfffffff0087b464c: 08008012  mov	w8, #-1
0xfffffff0087b4650: 494dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b4654: 294d1891  add	x9, x9, #0x613
0xfffffff0087b4658: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b465c: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4660: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4664: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4668: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b466c: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4670: 63f40591  add	x3, x3, #0x17d
0xfffffff0087b4674: 02008052  mov	w2, #0
0xfffffff0087b4678: aefaed97  bl	#0xfffffff008333130
0xfffffff0087b467c: 3dfcff17  b	#0xfffffff0087b3770
0xfffffff0087b4680: f1030aaa  mov	x17, x10
0xfffffff0087b4684: eab701a9  stp	x10, x13, [sp, #0x18]
0xfffffff0087b4688: f1c300a9  stp	x17, x16, [sp, #8]
0xfffffff0087b468c: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff0087b4690: e80300f9  str	x8, [sp]
0xfffffff0087b4694: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4698: 00403691  add	x0, x0, #0xd90
0xfffffff0087b469c: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b46a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b46a4: c34cff90  adrp	x3, #0xfffffff00714c000
