; Candidate 5154
; ADRP+ADD at VM 0xfffffff0087dc39c (fileoff 0x17d839c): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dc31c: f70300aa  mov	x23, x0
0xfffffff0087dc320: a35f0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc324: f60300aa  mov	x22, x0
0xfffffff0087dc328: 00018052  mov	w0, #8
0xfffffff0087dc32c: 497d0294  bl	#0xfffffff00887b850
0xfffffff0087dc330: d7010034  cbz	w23, #0xfffffff0087dc368
0xfffffff0087dc334: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dc338: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc33c: 08511291  add	x8, x8, #0x494
0xfffffff0087dc340: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc344: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc348: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc34c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc350: 280a8052  mov	w8, #0x51
0xfffffff0087dc354: a051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087dc358: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087dc35c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dc360: 406cd797  bl	#0xfffffff007db7460
0xfffffff0087dc364: 16000014  b	#0xfffffff0087dc3bc
0xfffffff0087dc368: 915f0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc36c: f60300aa  mov	x22, x0
0xfffffff0087dc370: 00018052  mov	w0, #8
0xfffffff0087dc374: 377d0294  bl	#0xfffffff00887b850
0xfffffff0087dc378: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dc37c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc380: 08511291  add	x8, x8, #0x494
0xfffffff0087dc384: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc388: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc38c: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc390: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc394: 280a8052  mov	w8, #0x51
0xfffffff0087dc398: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dc39c: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dc3a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dc3a4: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dc3a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dc3ac: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dc3b0: 63780391  add	x3, x3, #0xde
0xfffffff0087dc3b4: 02008052  mov	w2, #0
0xfffffff0087dc3b8: 5e5bed97  bl	#0xfffffff008333130
0xfffffff0087dc3bc: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dc3c0: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dc3c4: 97088052  mov	w23, #0x44
0xfffffff0087dc3c8: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0087dc3cc: 80088052  mov	w0, #0x44
0xfffffff0087dc3d0: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087dc3d4: 01018052  mov	w1, #8
0xfffffff0087dc3d8: 03008092  mov	x3, #-1
0xfffffff0087dc3dc: 040080d2  mov	x4, #0
0xfffffff0087dc3e0: 050080d2  mov	x5, #0
0xfffffff0087dc3e4: c886e697  bl	#0xfffffff00817df04
0xfffffff0087dc3e8: a11a40f9  ldr	x1, [x21, #0x30]
0xfffffff0087dc3ec: a22e40f9  ldr	x2, [x21, #0x58]
0xfffffff0087dc3f0: e00313aa  mov	x0, x19
0xfffffff0087dc3f4: 43000094  bl	#0xfffffff0087dc500
0xfffffff0087dc3f8: 985f0394  bl	#0xfffffff0088b4258
0xfffffff0087dc3fc: f60300aa  mov	x22, x0
0xfffffff0087dc400: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dc404: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dc408: e0120011  add	w0, w23, #4
0xfffffff0087dc40c: 01018052  mov	w1, #8
0xfffffff0087dc410: 03008092  mov	x3, #-1
0xfffffff0087dc414: 040080d2  mov	x4, #0
0xfffffff0087dc418: 050080d2  mov	x5, #0
