; Candidate 4259
; ADRP+ADD at VM 0xfffffff00879a130 (fileoff 0x1796130): page=0x1fe997000 add_imm=0xd90

0xfffffff00879a0b0: 63b40891  add	x3, x3, #0x22d
0xfffffff00879a0b4: 02008052  mov	w2, #0
0xfffffff00879a0b8: 1e64ee97  bl	#0xfffffff008333130
0xfffffff00879a0bc: 40008052  mov	w0, #2
0xfffffff00879a0c0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00879a0c4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00879a0c8: ff030191  add	sp, sp, #0x40
0xfffffff00879a0cc: ff0f5fd6  retab	
0xfffffff00879a0d0: 7f2303d5  pacibsp	
0xfffffff00879a0d4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00879a0d8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00879a0dc: fd430091  add	x29, sp, #0x10
0xfffffff00879a0e0: f30300aa  mov	x19, x0
0xfffffff00879a0e4: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff00879a0e8: 7946d897  bl	#0xfffffff007dabacc
0xfffffff00879a0ec: 740240f9  ldr	x20, [x19]
0xfffffff00879a0f0: 740000b4  cbz	x20, #0xfffffff00879a0fc
0xfffffff00879a0f4: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff00879a0f8: 680200f9  str	x8, [x19]
0xfffffff00879a0fc: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff00879a100: 8f49d897  bl	#0xfffffff007dac73c
0xfffffff00879a104: e00314aa  mov	x0, x20
0xfffffff00879a108: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879a10c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00879a110: ff0f5fd6  retab	
0xfffffff00879a114: 7f2303d5  pacibsp	
0xfffffff00879a118: ff8300d1  sub	sp, sp, #0x20
0xfffffff00879a11c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00879a120: fd430091  add	x29, sp, #0x10
0xfffffff00879a124: 084effd0  adrp	x8, #0xfffffff00715c000
0xfffffff00879a128: 08011191  add	x8, x8, #0x440
0xfffffff00879a12c: e80300f9  str	x8, [sp]
0xfffffff00879a130: a04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879a134: 00403691  add	x0, x0, #0xd90
0xfffffff00879a138: 0193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879a13c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879a140: 634dfff0  adrp	x3, #0xfffffff007149000
0xfffffff00879a144: 63800c91  add	x3, x3, #0x320
0xfffffff00879a148: 02008052  mov	w2, #0
0xfffffff00879a14c: f963ee97  bl	#0xfffffff008333130
0xfffffff00879a150: 000080d2  mov	x0, #0
0xfffffff00879a154: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879a158: ff830091  add	sp, sp, #0x20
0xfffffff00879a15c: ff0f5fd6  retab	
0xfffffff00879a160: 7f2303d5  pacibsp	
0xfffffff00879a164: ffc300d1  sub	sp, sp, #0x30
0xfffffff00879a168: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00879a16c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00879a170: fd830091  add	x29, sp, #0x20
0xfffffff00879a174: f30300aa  mov	x19, x0
0xfffffff00879a178: 4b62ff97  bl	#0xfffffff008772aa4
0xfffffff00879a17c: 3093fff0  adrp	x16, #0xfffffff007a01000
0xfffffff00879a180: 10a23f91  add	x16, x16, #0xfe8
0xfffffff00879a184: 10420091  add	x16, x16, #0x10
0xfffffff00879a188: f10300aa  mov	x17, x0
0xfffffff00879a18c: d1b3e2f2  movk	x17, #0x159e, lsl #48
0xfffffff00879a190: 300ac1da  pacda	x16, x17
0xfffffff00879a194: 100000f9  str	x16, [x0]
0xfffffff00879a198: 084effd0  adrp	x8, #0xfffffff00715c000
0xfffffff00879a19c: 08611191  add	x8, x8, #0x458
0xfffffff00879a1a0: e80300f9  str	x8, [sp]
0xfffffff00879a1a4: a04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879a1a8: 00403691  add	x0, x0, #0xd90
0xfffffff00879a1ac: 0193fff0  adrp	x1, #0xfffffff0079fd000
