; Candidate 9028
; ADRP+ADD at VM 0xfffffff00898d1f8 (fileoff 0x19891f8): page=0x1fe8f6000 add_imm=0xe5a

0xfffffff00898d178: 09ae42f9  ldr	x9, [x16, #0x558]
0xfffffff00898d17c: aa47ffd0  adrp	x10, #0xfffffff007283000
0xfffffff00898d180: 4abd3891  add	x10, x10, #0xe2f
0xfffffff00898d184: a447ffd0  adrp	x4, #0xfffffff007283000
0xfffffff00898d188: 84683991  add	x4, x4, #0xe5a
0xfffffff00898d18c: e02b00a9  stp	x0, x10, [sp]
0xfffffff00898d190: e00319aa  mov	x0, x25
0xfffffff00898d194: 41008052  mov	w1, #2
0xfffffff00898d198: e2031aaa  mov	x2, x26
0xfffffff00898d19c: 03008052  mov	w3, #0
0xfffffff00898d1a0: f10308aa  mov	x17, x8
0xfffffff00898d1a4: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898d1a8: 31093fd7  blraa	x9, x17
0xfffffff00898d1ac: 16000014  b	#0xfffffff00898d204
0xfffffff00898d1b0: a8324239  ldrb	w8, [x21, #0x8c]
0xfffffff00898d1b4: 88020034  cbz	w8, #0xfffffff00898d204
0xfffffff00898d1b8: b00240f9  ldr	x16, [x21]
0xfffffff00898d1bc: f10315aa  mov	x17, x21
0xfffffff00898d1c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d1c4: 301ac1da  autda	x16, x17
0xfffffff00898d1c8: 113d80d2  mov	x17, #0x1e8
0xfffffff00898d1cc: 1002118b  add	x16, x16, x17
0xfffffff00898d1d0: 080240f9  ldr	x8, [x16]
0xfffffff00898d1d4: e90310aa  mov	x9, x16
0xfffffff00898d1d8: e00315aa  mov	x0, x21
0xfffffff00898d1dc: 010080d2  mov	x1, #0
0xfffffff00898d1e0: f10309aa  mov	x17, x9
0xfffffff00898d1e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898d1e8: 11093fd7  blraa	x8, x17
0xfffffff00898d1ec: a847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff00898d1f0: 08bd3891  add	x8, x8, #0xe2f
0xfffffff00898d1f4: e02300a9  stp	x0, x8, [sp]
0xfffffff00898d1f8: a047ffd0  adrp	x0, #0xfffffff007283000
0xfffffff00898d1fc: 00683991  add	x0, x0, #0xe5a
0xfffffff00898d200: 8827e797  bl	#0xfffffff008357020
0xfffffff00898d204: a88240f9  ldr	x8, [x21, #0x100]
0xfffffff00898d208: c80900b5  cbnz	x8, #0xfffffff00898d340
0xfffffff00898d20c: a04a40f9  ldr	x0, [x21, #0x90]
0xfffffff00898d210: 100040f9  ldr	x16, [x0]
0xfffffff00898d214: f10300aa  mov	x17, x0
0xfffffff00898d218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d21c: 301ac1da  autda	x16, x17
0xfffffff00898d220: 11b980d2  mov	x17, #0x5c8
0xfffffff00898d224: 1002118b  add	x16, x16, x17
0xfffffff00898d228: 080240f9  ldr	x8, [x16]
0xfffffff00898d22c: e90310aa  mov	x9, x16
0xfffffff00898d230: 01038052  mov	w1, #0x18
0xfffffff00898d234: 02008052  mov	w2, #0
0xfffffff00898d238: f10309aa  mov	x17, x9
0xfffffff00898d23c: 71cffbf2  movk	x17, #0xde7b, lsl #48
0xfffffff00898d240: 11093fd7  blraa	x8, x17
0xfffffff00898d244: a08200f9  str	x0, [x21, #0x100]
0xfffffff00898d248: c00700b5  cbnz	x0, #0xfffffff00898d340
0xfffffff00898d24c: 790340f9  ldr	x25, [x27]
0xfffffff00898d250: f90400b4  cbz	x25, #0xfffffff00898d2ec
0xfffffff00898d254: ba8a40b9  ldr	w26, [x21, #0x88]
0xfffffff00898d258: b00240f9  ldr	x16, [x21]
0xfffffff00898d25c: f10315aa  mov	x17, x21
0xfffffff00898d260: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d264: 301ac1da  autda	x16, x17
0xfffffff00898d268: 113d80d2  mov	x17, #0x1e8
0xfffffff00898d26c: 1002118b  add	x16, x16, x17
0xfffffff00898d270: 080240f9  ldr	x8, [x16]
0xfffffff00898d274: e90310aa  mov	x9, x16
