; Candidate 8105
; ADRP+ADD at VM 0xfffffff0088957a0 (fileoff 0x18917a0): page=0x1fe954000 add_imm=0xe80

0xfffffff008895720: 76010034  cbz	w22, #0xfffffff00889574c
0xfffffff008895724: e80240f9  ldr	x8, [x23]
0xfffffff008895728: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff00889572c: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff008895730: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff008895734: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895738: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff00889573c: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895740: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895744: 891d8152  mov	w9, #0x8ec
0xfffffff008895748: 6cffff17  b	#0xfffffff0088954f8
0xfffffff00889574c: 987a0094  bl	#0xfffffff0088b41ac
0xfffffff008895750: f50300aa  mov	x21, x0
0xfffffff008895754: 80008052  mov	w0, #4
0xfffffff008895758: 3e98ff97  bl	#0xfffffff00887b850
0xfffffff00889575c: e80240f9  ldr	x8, [x23]
0xfffffff008895760: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff008895764: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff008895768: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff00889576c: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895770: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895774: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895778: 08b92791  add	x8, x8, #0x9ee
0xfffffff00889577c: 891d8152  mov	w9, #0x8ec
0xfffffff008895780: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895784: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895788: 08651d91  add	x8, x8, #0x759
0xfffffff00889578c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895790: 88098052  mov	w8, #0x4c
0xfffffff008895794: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895798: 63100e91  add	x3, x3, #0x384
0xfffffff00889579c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088957a0: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088957a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088957a8: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088957ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088957b0: 02008052  mov	w2, #0
0xfffffff0088957b4: 5f76ea97  bl	#0xfffffff008333130
0xfffffff0088957b8: 71ffff17  b	#0xfffffff00889557c
0xfffffff0088957bc: f30300aa  mov	x19, x0
0xfffffff0088957c0: 80098052  mov	w0, #0x4c
0xfffffff0088957c4: 81008052  mov	w1, #4
0xfffffff0088957c8: 0298ff97  bl	#0xfffffff00887b7d0
0xfffffff0088957cc: 80edff34  cbz	w0, #0xfffffff00889557c
0xfffffff0088957d0: 80098052  mov	w0, #0x4c
0xfffffff0088957d4: 1198ff97  bl	#0xfffffff00887b818
0xfffffff0088957d8: f60300aa  mov	x22, x0
0xfffffff0088957dc: 747a0094  bl	#0xfffffff0088b41ac
0xfffffff0088957e0: f50300aa  mov	x21, x0
0xfffffff0088957e4: 80008052  mov	w0, #4
0xfffffff0088957e8: 1a98ff97  bl	#0xfffffff00887b850
0xfffffff0088957ec: 76010034  cbz	w22, #0xfffffff008895818
0xfffffff0088957f0: e80240f9  ldr	x8, [x23]
0xfffffff0088957f4: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff0088957f8: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088957fc: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff008895800: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895804: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895808: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff00889580c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895810: 29208152  mov	w9, #0x901
0xfffffff008895814: 39ffff17  b	#0xfffffff0088954f8
0xfffffff008895818: 657a0094  bl	#0xfffffff0088b41ac
0xfffffff00889581c: f50300aa  mov	x21, x0
