; Candidate 2328
; ADRP+ADD at VM 0xfffffff008617370 (fileoff 0x1613370): page=0x1feae4000 add_imm=0xd2a

0xfffffff0086172f0: 0a428052  mov	w10, #0x210
0xfffffff0086172f4: 2957ff90  adrp	x9, #0xfffffff0070fb000
0xfffffff0086172f8: 29b51591  add	x9, x9, #0x56d
0xfffffff0086172fc: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff008617300: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff008617304: e00300f9  str	x0, [sp]
0xfffffff008617308: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff00861730c: 00e82091  add	x0, x0, #0x83a
0xfffffff008617310: 7ff4f997  bl	#0xfffffff00849450c
0xfffffff008617314: 7f2303d5  pacibsp	
0xfffffff008617318: ff0301d1  sub	sp, sp, #0x40
0xfffffff00861731c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008617320: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008617324: fdc30091  add	x29, sp, #0x30
0xfffffff008617328: f30301aa  mov	x19, x1
0xfffffff00861732c: 100040f9  ldr	x16, [x0]
0xfffffff008617330: f10300aa  mov	x17, x0
0xfffffff008617334: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008617338: 301ac1da  autda	x16, x17
0xfffffff00861733c: 113d80d2  mov	x17, #0x1e8
0xfffffff008617340: 1002118b  add	x16, x16, x17
0xfffffff008617344: 080240f9  ldr	x8, [x16]
0xfffffff008617348: e90310aa  mov	x9, x16
0xfffffff00861734c: 010080d2  mov	x1, #0
0xfffffff008617350: f10309aa  mov	x17, x9
0xfffffff008617354: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008617358: 11093fd7  blraa	x8, x17
0xfffffff00861735c: 081f8052  mov	w8, #0xf8
0xfffffff008617360: 2957ff90  adrp	x9, #0xfffffff0070fb000
0xfffffff008617364: 29c53591  add	x9, x9, #0xd71
0xfffffff008617368: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00861736c: e04f00a9  stp	x0, x19, [sp]
0xfffffff008617370: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff008617374: 00a83491  add	x0, x0, #0xd2a
0xfffffff008617378: 65f4f997  bl	#0xfffffff00849450c
0xfffffff00861737c: 7f2303d5  pacibsp	
0xfffffff008617380: ff0301d1  sub	sp, sp, #0x40
0xfffffff008617384: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008617388: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00861738c: fdc30091  add	x29, sp, #0x30
0xfffffff008617390: f30301aa  mov	x19, x1
0xfffffff008617394: 100040f9  ldr	x16, [x0]
0xfffffff008617398: f10300aa  mov	x17, x0
0xfffffff00861739c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086173a0: 301ac1da  autda	x16, x17
0xfffffff0086173a4: 113d80d2  mov	x17, #0x1e8
0xfffffff0086173a8: 1002118b  add	x16, x16, x17
0xfffffff0086173ac: 080240f9  ldr	x8, [x16]
0xfffffff0086173b0: e90310aa  mov	x9, x16
0xfffffff0086173b4: 010080d2  mov	x1, #0
0xfffffff0086173b8: f10309aa  mov	x17, x9
0xfffffff0086173bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086173c0: 11093fd7  blraa	x8, x17
0xfffffff0086173c4: a8208052  mov	w8, #0x105
0xfffffff0086173c8: 2957ff90  adrp	x9, #0xfffffff0070fb000
0xfffffff0086173cc: 29c53591  add	x9, x9, #0xd71
0xfffffff0086173d0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086173d4: e04f00a9  stp	x0, x19, [sp]
0xfffffff0086173d8: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff0086173dc: 00a03691  add	x0, x0, #0xda8
0xfffffff0086173e0: 4bf4f997  bl	#0xfffffff00849450c
0xfffffff0086173e4: 7f2303d5  pacibsp	
0xfffffff0086173e8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0086173ec: fd7b03a9  stp	x29, x30, [sp, #0x30]
