; Candidate 15762
; ADRP+ADD at VM 0xfffffff009cffc68 (fileoff 0x2cfbc68): page=0x6bc000 add_imm=0xdf8

0xfffffff009cffbe8: 42003c91  add	x2, x2, #0xf00
0xfffffff009cffbec: 03818052  mov	w3, #0x408
0xfffffff009cffbf0: d28f9797  bl	#0xfffffff0082e3b38
0xfffffff009cffbf4: 1000fff0  adrp	x16, #0xfffffff007d02000
0xfffffff009cffbf8: 10e21e91  add	x16, x16, #0x7b8
0xfffffff009cffbfc: 10420091  add	x16, x16, #0x10
0xfffffff009cffc00: f10300aa  mov	x17, x0
0xfffffff009cffc04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cffc08: 300ac1da  pacda	x16, x17
0xfffffff009cffc0c: 100000f9  str	x16, [x0]
0xfffffff009cffc10: 00709852  mov	w0, #0xc380
0xfffffff009cffc14: 2039a072  movk	w0, #0x1c9, lsl #16
0xfffffff009cffc18: 01088052  mov	w1, #0x40
0xfffffff009cffc1c: b47d9897  bl	#0xfffffff00831f2ec
0xfffffff009cffc20: e8350090  adrp	x8, #0xfffffff00a3bb000
0xfffffff009cffc24: 001107f9  str	x0, [x8, #0xe20]
0xfffffff009cffc28: 00209f52  mov	w0, #0xf900
0xfffffff009cffc2c: 40a0b272  movk	w0, #0x9502, lsl #16
0xfffffff009cffc30: 01088052  mov	w1, #0x40
0xfffffff009cffc34: ae7d9897  bl	#0xfffffff00831f2ec
0xfffffff009cffc38: e8350090  adrp	x8, #0xfffffff00a3bb000
0xfffffff009cffc3c: 001507f9  str	x0, [x8, #0xe28]
0xfffffff009cffc40: 00409ed2  mov	x0, #0xf200
0xfffffff009cffc44: a040a5f2  movk	x0, #0x2a05, lsl #16
0xfffffff009cffc48: 2000c0f2  movk	x0, #1, lsl #32
0xfffffff009cffc4c: 01088052  mov	w1, #0x40
0xfffffff009cffc50: a77d9897  bl	#0xfffffff00831f2ec
0xfffffff009cffc54: e8350090  adrp	x8, #0xfffffff00a3bb000
0xfffffff009cffc58: 001907f9  str	x0, [x8, #0xe30]
0xfffffff009cffc5c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cffc60: ff0f5fd6  retab	
0xfffffff009cffc64: 5f2403d5  bti	c
0xfffffff009cffc68: e0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cffc6c: 00e03791  add	x0, x0, #0xdf8
0xfffffff009cffc70: a1929717  b	#0xfffffff0082e46f4
0xfffffff009cffc74: 7f2303d5  pacibsp	
0xfffffff009cffc78: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cffc7c: fd030091  mov	x29, sp
0xfffffff009cffc80: 21cbfeb0  adrp	x1, #0xfffffff007664000
0xfffffff009cffc84: 21980791  add	x1, x1, #0x1e6
0xfffffff009cffc88: e2fffef0  adrp	x2, #0xfffffff007cfe000
0xfffffff009cffc8c: 42e043f9  ldr	x2, [x2, #0x7c0]
0xfffffff009cffc90: 030f8052  mov	w3, #0x78
0xfffffff009cffc94: a98f9797  bl	#0xfffffff0082e3b38
0xfffffff009cffc98: 1000fff0  adrp	x16, #0xfffffff007d02000
0xfffffff009cffc9c: 10822791  add	x16, x16, #0x9e0
0xfffffff009cffca0: 10420091  add	x16, x16, #0x10
0xfffffff009cffca4: f10300aa  mov	x17, x0
0xfffffff009cffca8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cffcac: 300ac1da  pacda	x16, x17
0xfffffff009cffcb0: 100000f9  str	x16, [x0]
0xfffffff009cffcb4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cffcb8: ff0f5fd6  retab	
0xfffffff009cffcbc: 5f2403d5  bti	c
0xfffffff009cffcc0: 8d929717  b	#0xfffffff0082e46f4
0xfffffff009cffcc4: 7f2303d5  pacibsp	
0xfffffff009cffcc8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cffccc: fd030091  mov	x29, sp
0xfffffff009cffcd0: 7fdefc97  bl	#0xfffffff009c376cc
0xfffffff009cffcd4: 1000fff0  adrp	x16, #0xfffffff007d02000
0xfffffff009cffcd8: 10c22191  add	x16, x16, #0x870
0xfffffff009cffcdc: 10420091  add	x16, x16, #0x10
0xfffffff009cffce0: f10300aa  mov	x17, x0
0xfffffff009cffce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
