; Candidate 12399
; ADRP+ADD at VM 0xfffffff00909a134 (fileoff 0x2096134): page=0x1fe3bf000 add_imm=0xe24

0xfffffff00909a0b4: e3430191  add	x3, sp, #0x50
0xfffffff00909a0b8: e4e30091  add	x4, sp, #0x38
0xfffffff00909a0bc: e5df0091  add	x5, sp, #0x37
0xfffffff00909a0c0: 11c79ed2  mov	x17, #0xf638
0xfffffff00909a0c4: d10a3fd7  blraa	x22, x17
0xfffffff00909a0c8: c00b0035  cbnz	w0, #0xfffffff00909a240
0xfffffff00909a0cc: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff00909a0d0: e2df4039  ldrb	w2, [sp, #0x37]
0xfffffff00909a0d4: e0430191  add	x0, sp, #0x50
0xfffffff00909a0d8: e30315aa  mov	x3, x21
0xfffffff00909a0dc: e40314aa  mov	x4, x20
0xfffffff00909a0e0: 34eeff97  bl	#0xfffffff0090959b0
0xfffffff00909a0e4: 600b0035  cbnz	w0, #0xfffffff00909a250
0xfffffff00909a0e8: a0e301d1  sub	x0, x29, #0x78
0xfffffff00909a0ec: 510f86d2  mov	x17, #0x307a
0xfffffff00909a0f0: 710a3fd7  blraa	x19, x17
0xfffffff00909a0f4: f70300aa  mov	x23, x0
0xfffffff00909a0f8: 400b0035  cbnz	w0, #0xfffffff00909a260
0xfffffff00909a0fc: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff00909a100: e14740b9  ldr	w1, [sp, #0x44]
0xfffffff00909a104: a8420094  bl	#0xfffffff0090aaba4
0xfffffff00909a108: ff020071  cmp	w23, #0
0xfffffff00909a10c: c8088052  mov	w8, #0x46
0xfffffff00909a110: 49018052  mov	w9, #0xa
0xfffffff00909a114: 2801881a  csel	w8, w9, w8, eq
0xfffffff00909a118: 69034039  ldrb	w9, [x27]
0xfffffff00909a11c: 1f01096b  cmp	w8, w9
0xfffffff00909a120: 03010054  b.lo	#0xfffffff00909a140
0xfffffff00909a124: e80317aa  mov	x8, x23
0xfffffff00909a128: 087d4093  sxtw	x8, w8
0xfffffff00909a12c: fa6700a9  stp	x26, x25, [sp]
0xfffffff00909a130: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909a134: e01dfff0  adrp	x0, #0xfffffff007459000
0xfffffff00909a138: 00903891  add	x0, x0, #0xe24
0xfffffff00909a13c: b9f3ca97  bl	#0xfffffff008357020
0xfffffff00909a140: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff00909a144: 6955fff0  adrp	x9, #0xfffffff007b49000
0xfffffff00909a148: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff00909a14c: 290140f9  ldr	x9, [x9]
0xfffffff00909a150: 3f0108eb  cmp	x9, x8
0xfffffff00909a154: 410a0054  b.ne	#0xfffffff00909a29c
0xfffffff00909a158: e00317aa  mov	x0, x23
0xfffffff00909a15c: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff00909a160: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff00909a164: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff00909a168: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff00909a16c: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff00909a170: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff00909a174: ff830591  add	sp, sp, #0x160
0xfffffff00909a178: ff0f5fd6  retab	
0xfffffff00909a17c: e8498052  mov	w8, #0x24f
0xfffffff00909a180: 291effd0  adrp	x9, #0xfffffff007460000
0xfffffff00909a184: 29f11391  add	x9, x9, #0x4fc
0xfffffff00909a188: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909a18c: e81dfff0  adrp	x8, #0xfffffff007459000
0xfffffff00909a190: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909a194: 2a1effd0  adrp	x10, #0xfffffff007460000
0xfffffff00909a198: 4ad11f91  add	x10, x10, #0x7f4
0xfffffff00909a19c: 12000014  b	#0xfffffff00909a1e4
0xfffffff00909a1a0: c8498052  mov	w8, #0x24e
0xfffffff00909a1a4: 291effd0  adrp	x9, #0xfffffff007460000
0xfffffff00909a1a8: 29f11391  add	x9, x9, #0x4fc
0xfffffff00909a1ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909a1b0: e81dfff0  adrp	x8, #0xfffffff007459000
