; Candidate 4299
; ADRP+ADD at VM 0xfffffff00879d980 (fileoff 0x1799980): page=0x1fe994000 add_imm=0xd90

0xfffffff00879d900: 1f0211eb  cmp	x16, x17
0xfffffff00879d904: 40000054  b.eq	#0xfffffff00879d90c
0xfffffff00879d908: 408e38d4  brk	#0xc472
0xfffffff00879d90c: 08a20591  add	x8, x16, #0x168
0xfffffff00879d910: 09b640f9  ldr	x9, [x16, #0x168]
0xfffffff00879d914: e1830191  add	x1, sp, #0x60
0xfffffff00879d918: e00313aa  mov	x0, x19
0xfffffff00879d91c: f10308aa  mov	x17, x8
0xfffffff00879d920: 9106e9f2  movk	x17, #0x4834, lsl #48
0xfffffff00879d924: 31093fd7  blraa	x9, x17
0xfffffff00879d928: a0fcff34  cbz	w0, #0xfffffff00879d8bc
0xfffffff00879d92c: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff00879d930: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00879d934: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00879d938: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff00879d93c: e0430091  add	x0, sp, #0x10
0xfffffff00879d940: 01008052  mov	w1, #0
0xfffffff00879d944: 02098052  mov	w2, #0x48
0xfffffff00879d948: 9ebcd697  bl	#0xfffffff007d4cbc0
0xfffffff00879d94c: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff00879d950: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00879d954: 084041b9  ldr	w8, [x0, #0x140]
0xfffffff00879d958: e81b00b9  str	w8, [sp, #0x18]
0xfffffff00879d95c: 68224bb9  ldr	w8, [x19, #0xb20]
0xfffffff00879d960: b54dff90  adrp	x21, #0xfffffff007151000
0xfffffff00879d964: b5161591  add	x21, x21, #0x545
0xfffffff00879d968: 08020034  cbz	w8, #0xfffffff00879d9a8
0xfffffff00879d96c: e12b40b9  ldr	w1, [sp, #0x28]
0xfffffff00879d970: e23340b9  ldr	w2, [sp, #0x30]
0xfffffff00879d974: 57dbff97  bl	#0xfffffff0087946d0
0xfffffff00879d978: 80010034  cbz	w0, #0xfffffff00879d9a8
0xfffffff00879d97c: f50300f9  str	x21, [sp]
0xfffffff00879d980: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879d984: 00403691  add	x0, x0, #0xd90
0xfffffff00879d988: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879d98c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879d990: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879d994: 63f43191  add	x3, x3, #0xc7d
0xfffffff00879d998: 02008052  mov	w2, #0
0xfffffff00879d99c: e555ee97  bl	#0xfffffff008333130
0xfffffff00879d9a0: 16268052  mov	w22, #0x130
0xfffffff00879d9a4: 02000014  b	#0xfffffff00879d9ac
0xfffffff00879d9a8: 16008052  mov	w22, #0
0xfffffff00879d9ac: 08008052  mov	w8, #0
0xfffffff00879d9b0: 494effd0  adrp	x9, #0xfffffff007167000
0xfffffff00879d9b4: 205947fd  ldr	d0, [x9, #0xeb0]
0xfffffff00879d9b8: e01b00fd  str	d0, [sp, #0x30]
0xfffffff00879d9bc: b75a8052  mov	w23, #0x2d5
0xfffffff00879d9c0: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff00879d9c4: f80308aa  mov	x24, x8
0xfffffff00879d9c8: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00879d9cc: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff00879d9d0: e1430091  add	x1, sp, #0x10
0xfffffff00879d9d4: 62018052  mov	w2, #0xb
0xfffffff00879d9d8: 4e94fe97  bl	#0xfffffff008742b10
0xfffffff00879d9dc: f40300aa  mov	x20, x0
0xfffffff00879d9e0: 1f00176b  cmp	w0, w23
0xfffffff00879d9e4: c1000054  b.ne	#0xfffffff00879d9fc
0xfffffff00879d9e8: 20008052  mov	w0, #1
0xfffffff00879d9ec: 7fe5ee97  bl	#0xfffffff008356fe8
0xfffffff00879d9f0: 08070011  add	w8, w24, #1
0xfffffff00879d9f4: 1f8f0171  cmp	w24, #0x63
0xfffffff00879d9f8: 63feff54  b.lo	#0xfffffff00879d9c4
0xfffffff00879d9fc: 1f8b0171  cmp	w24, #0x62
