; Candidate 1171
; ADRP+ADD at VM 0xfffffff008279240 (fileoff 0x1275240): page=0x1fee16000 add_imm=0xd2c

0xfffffff0082791c0: c93e40b9  ldr	w9, [x22, #0x3c]
0xfffffff0082791c4: 0a708052  mov	w10, #0x380
0xfffffff0082791c8: 20210a9b  madd	x0, x9, x10, x8
0xfffffff0082791cc: e46b0094  bl	#0xfffffff00829415c
0xfffffff0082791d0: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0082791d4: e20308aa  mov	x2, x8
0xfffffff0082791d8: fffea288  casl	w2, wzr, [x23]
0xfffffff0082791dc: 5f00086b  cmp	w2, w8
0xfffffff0082791e0: 81010054  b.ne	#0xfffffff008279210
0xfffffff0082791e4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0082791e8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0082791ec: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0082791f0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0082791f4: ff0f5fd6  retab	
0xfffffff0082791f8: e0fc00d0  adrp	x0, #0xfffffff00a217000
0xfffffff0082791fc: 00c02d91  add	x0, x0, #0xb70
0xfffffff008279200: e10313aa  mov	x1, x19
0xfffffff008279204: 02008052  mov	w2, #0
0xfffffff008279208: 3ccaec97  bl	#0xfffffff007dabaf8
0xfffffff00827920c: caffff17  b	#0xfffffff008279134
0xfffffff008279210: e0fc00d0  adrp	x0, #0xfffffff00a217000
0xfffffff008279214: 00c02d91  add	x0, x0, #0xb70
0xfffffff008279218: e10313aa  mov	x1, x19
0xfffffff00827921c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008279220: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008279224: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008279228: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00827922c: ff2303d5  autibsp	
0xfffffff008279230: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008279234: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00827923c
0xfffffff008279238: 208e38d4  brk	#0xc471
0xfffffff00827923c: 4acdec17  b	#0xfffffff007dac764
0xfffffff008279240: a070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff008279244: 00b03491  add	x0, x0, #0xd2c
0xfffffff008279248: a170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff00827924c: 21543291  add	x1, x1, #0xc95
0xfffffff008279250: 423b8052  mov	w2, #0x1da
0xfffffff008279254: 70990894  bl	#0xfffffff00849f814
0xfffffff008279258: a070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff00827925c: 00883391  add	x0, x0, #0xce2
0xfffffff008279260: a170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff008279264: 21543291  add	x1, x1, #0xc95
0xfffffff008279268: 623a8052  mov	w2, #0x1d3
0xfffffff00827926c: 6a990894  bl	#0xfffffff00849f814
0xfffffff008279270: 7f2303d5  pacibsp	
0xfffffff008279274: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008279278: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00827927c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008279280: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008279284: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008279288: fd030191  add	x29, sp, #0x40
0xfffffff00827928c: f40302aa  mov	x20, x2
0xfffffff008279290: f50301aa  mov	x21, x1
0xfffffff008279294: 080080d2  mov	x8, #0
0xfffffff008279298: 160c40b9  ldr	w22, [x0, #0xc]
0xfffffff00827929c: 1adc4329  ldp	w26, w23, [x0, #0x1c]
0xfffffff0082792a0: 181440f9  ldr	x24, [x0, #0x28]
0xfffffff0082792a4: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0082792a8: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0082792ac: f9fc00d0  adrp	x25, #0xfffffff00a217000
0xfffffff0082792b0: 39e32d91  add	x25, x25, #0xb78
0xfffffff0082792b4: 297fe8c8  casa	x8, x9, [x25]
0xfffffff0082792b8: 1f0100f1  cmp	x8, #0
0xfffffff0082792bc: a1050054  b.ne	#0xfffffff008279370
