; Candidate 13595
; ADRP+ADD at VM 0xfffffff0093ad71c (fileoff 0x23a971c): page=0x1fe155000 add_imm=0xd20

0xfffffff0093ad69c: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ad6a0: e00315aa  mov	x0, x21
0xfffffff0093ad6a4: addcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad6a8: 700240f9  ldr	x16, [x19]
0xfffffff0093ad6ac: f10313aa  mov	x17, x19
0xfffffff0093ad6b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad6b4: 301ac1da  autda	x16, x17
0xfffffff0093ad6b8: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad6bc: e90310aa  mov	x9, x16
0xfffffff0093ad6c0: e00313aa  mov	x0, x19
0xfffffff0093ad6c4: f10309aa  mov	x17, x9
0xfffffff0093ad6c8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad6cc: 11093fd7  blraa	x8, x17
0xfffffff0093ad6d0: a2dcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad6d4: e00315aa  mov	x0, x21
0xfffffff0093ad6d8: a0dcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad6dc: f50300aa  mov	x21, x0
0xfffffff0093ad6e0: 700240f9  ldr	x16, [x19]
0xfffffff0093ad6e4: f10313aa  mov	x17, x19
0xfffffff0093ad6e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad6ec: 301ac1da  autda	x16, x17
0xfffffff0093ad6f0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad6f4: e90310aa  mov	x9, x16
0xfffffff0093ad6f8: e00313aa  mov	x0, x19
0xfffffff0093ad6fc: f10309aa  mov	x17, x9
0xfffffff0093ad700: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad704: 11093fd7  blraa	x8, x17
0xfffffff0093ad708: 94dcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad70c: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0093ad710: b60afff0  adrp	x22, #0xfffffff007504000
0xfffffff0093ad714: d63a0791  add	x22, x22, #0x1ce
0xfffffff0093ad718: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093ad71c: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad720: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad724: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad728: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad72c: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad730: 63082991  add	x3, x3, #0xa42
0xfffffff0093ad734: 22008052  mov	w2, #1
0xfffffff0093ad738: 7e16be97  bl	#0xfffffff008333130
0xfffffff0093ad73c: 600e47f9  ldr	x0, [x19, #0xe18]
0xfffffff0093ad740: 100040f9  ldr	x16, [x0]
0xfffffff0093ad744: f10300aa  mov	x17, x0
0xfffffff0093ad748: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad74c: 301ac1da  autda	x16, x17
0xfffffff0093ad750: f10310aa  mov	x17, x16
0xfffffff0093ad754: f147c1da  xpacd	x17
0xfffffff0093ad758: 1f0211eb  cmp	x16, x17
0xfffffff0093ad75c: 40000054  b.eq	#0xfffffff0093ad764
0xfffffff0093ad760: 408e38d4  brk	#0xc472
0xfffffff0093ad764: 08020b91  add	x8, x16, #0x2c0
0xfffffff0093ad768: 096241f9  ldr	x9, [x16, #0x2c0]
0xfffffff0093ad76c: e10313aa  mov	x1, x19
0xfffffff0093ad770: 02008052  mov	w2, #0
0xfffffff0093ad774: 030080d2  mov	x3, #0
0xfffffff0093ad778: f10308aa  mov	x17, x8
0xfffffff0093ad77c: 31a5e8f2  movk	x17, #0x4529, lsl #48
0xfffffff0093ad780: 31093fd7  blraa	x9, x17
0xfffffff0093ad784: 80070036  tbz	w0, #0, #0xfffffff0093ad874
0xfffffff0093ad788: b4c31db8  stur	w20, [x29, #-0x24]
0xfffffff0093ad78c: bfb31d38  sturb	wzr, [x29, #-0x25]
0xfffffff0093ad790: 600e47f9  ldr	x0, [x19, #0xe18]
0xfffffff0093ad794: 100040f9  ldr	x16, [x0]
0xfffffff0093ad798: f10300aa  mov	x17, x0
