; Candidate 15382
; ADRP+ADD at VM 0xfffffff009b58b34 (fileoff 0x2b54b34): page=0x1fdad0000 add_imm=0xed0

0xfffffff009b58ab4: 1002118b  add	x16, x16, x17
0xfffffff009b58ab8: 080240f9  ldr	x8, [x16]
0xfffffff009b58abc: e90310aa  mov	x9, x16
0xfffffff009b58ac0: e00313aa  mov	x0, x19
0xfffffff009b58ac4: 010080d2  mov	x1, #0
0xfffffff009b58ac8: f10309aa  mov	x17, x9
0xfffffff009b58acc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b58ad0: 11093fd7  blraa	x8, x17
0xfffffff009b58ad4: f70300aa  mov	x23, x0
0xfffffff009b58ad8: 700240f9  ldr	x16, [x19]
0xfffffff009b58adc: f10313aa  mov	x17, x19
0xfffffff009b58ae0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b58ae4: 301ac1da  autda	x16, x17
0xfffffff009b58ae8: f10310aa  mov	x17, x16
0xfffffff009b58aec: f147c1da  xpacd	x17
0xfffffff009b58af0: 1f0211eb  cmp	x16, x17
0xfffffff009b58af4: 40000054  b.eq	#0xfffffff009b58afc
0xfffffff009b58af8: 408e38d4  brk	#0xc472
0xfffffff009b58afc: 08620891  add	x8, x16, #0x218
0xfffffff009b58b00: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b58b04: e00313aa  mov	x0, x19
0xfffffff009b58b08: 010080d2  mov	x1, #0
0xfffffff009b58b0c: f10308aa  mov	x17, x8
0xfffffff009b58b10: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b58b14: 31093fd7  blraa	x9, x17
0xfffffff009b58b18: 88d6fef0  adrp	x8, #0xfffffff00762b000
0xfffffff009b58b1c: 08050b91  add	x8, x8, #0x2c1
0xfffffff009b58b20: 89d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b58b24: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b58b28: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff009b58b2c: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b58b30: f70300f9  str	x23, [sp]
0xfffffff009b58b34: 80d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b58b38: 00403b91  add	x0, x0, #0xed0
0xfffffff009b58b3c: a3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b58b40: 63dc3b91  add	x3, x3, #0xef7
0xfffffff009b58b44: e10316aa  mov	x1, x22
0xfffffff009b58b48: e20315aa  mov	x2, x21
0xfffffff009b58b4c: 79699f97  bl	#0xfffffff008333130
0xfffffff009b58b50: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff009b58b54: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff009b58b58: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff009b58b5c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff009b58b60: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff009b58b64: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff009b58b68: ff830391  add	sp, sp, #0xe0
0xfffffff009b58b6c: ff0f5fd6  retab	
0xfffffff009b58b70: 7f2303d5  pacibsp	
0xfffffff009b58b74: ff4302d1  sub	sp, sp, #0x90
0xfffffff009b58b78: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009b58b7c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009b58b80: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009b58b84: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009b58b88: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009b58b8c: fd030291  add	x29, sp, #0x80
0xfffffff009b58b90: f50301aa  mov	x21, x1
0xfffffff009b58b94: f30300aa  mov	x19, x0
0xfffffff009b58b98: 28180012  and	w8, w1, #0x7f
0xfffffff009b58b9c: e9f30132  mov	w9, #-0x55555556
0xfffffff009b58ba0: e9270729  stp	w9, w9, [sp, #0x38]
0xfffffff009b58ba4: 09791f53  lsl	w9, w8, #1
0xfffffff009b58ba8: 291c0733  bfxil	w9, w1, #7, #1
0xfffffff009b58bac: 29010052  eor	w9, w9, #1
0xfffffff009b58bb0: 094c298b  add	x9, x0, w9, uxtw #3
