; Candidate 12690
; ADRP+ADD at VM 0xfffffff00911e2a4 (fileoff 0x211a2a4): page=0x11f6000 add_imm=0xd98

0xfffffff00911e224: 03188052  mov	w3, #0xc0
0xfffffff00911e228: 4416c797  bl	#0xfffffff0082e3b38
0xfffffff00911e22c: d051ffd0  adrp	x16, #0xfffffff007b58000
0xfffffff00911e230: 10421b91  add	x16, x16, #0x6d0
0xfffffff00911e234: 10420091  add	x16, x16, #0x10
0xfffffff00911e238: f10300aa  mov	x17, x0
0xfffffff00911e23c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911e240: 300ac1da  pacda	x16, x17
0xfffffff00911e244: 100000f9  str	x16, [x0]
0xfffffff00911e248: a08f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff00911e24c: 00003791  add	x0, x0, #0xdc0
0xfffffff00911e250: c11affd0  adrp	x1, #0xfffffff007478000
0xfffffff00911e254: 21601991  add	x1, x1, #0x658
0xfffffff00911e258: a28f00d0  adrp	x2, #0xfffffff00a314000
0xfffffff00911e25c: 42403391  add	x2, x2, #0xcd0
0xfffffff00911e260: 03128052  mov	w3, #0x90
0xfffffff00911e264: 3516c797  bl	#0xfffffff0082e3b38
0xfffffff00911e268: d051ffd0  adrp	x16, #0xfffffff007b58000
0xfffffff00911e26c: 10023391  add	x16, x16, #0xcc0
0xfffffff00911e270: 10420091  add	x16, x16, #0x10
0xfffffff00911e274: f10300aa  mov	x17, x0
0xfffffff00911e278: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911e27c: 300ac1da  pacda	x16, x17
0xfffffff00911e280: 100000f9  str	x16, [x0]
0xfffffff00911e284: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911e288: ff0f5fd6  retab	
0xfffffff00911e28c: 7f2303d5  pacibsp	
0xfffffff00911e290: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911e294: fd030091  mov	x29, sp
0xfffffff00911e298: a08f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff00911e29c: 00003791  add	x0, x0, #0xdc0
0xfffffff00911e2a0: 1519c797  bl	#0xfffffff0082e46f4
0xfffffff00911e2a4: a08f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff00911e2a8: 00603691  add	x0, x0, #0xd98
0xfffffff00911e2ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911e2b0: ff2303d5  autibsp	
0xfffffff00911e2b4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00911e2b8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00911e2c0
0xfffffff00911e2bc: 208e38d4  brk	#0xc471
0xfffffff00911e2c0: 0d19c717  b	#0xfffffff0082e46f4
0xfffffff00911e2c4: 7f2303d5  pacibsp	
0xfffffff00911e2c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911e2cc: fd030091  mov	x29, sp
0xfffffff00911e2d0: c11affd0  adrp	x1, #0xfffffff007478000
0xfffffff00911e2d4: 21001b91  add	x1, x1, #0x6c0
0xfffffff00911e2d8: a28f00d0  adrp	x2, #0xfffffff00a314000
0xfffffff00911e2dc: 42a02e91  add	x2, x2, #0xba8
0xfffffff00911e2e0: 03198052  mov	w3, #0xc8
0xfffffff00911e2e4: 1516c797  bl	#0xfffffff0082e3b38
0xfffffff00911e2e8: d051ffd0  adrp	x16, #0xfffffff007b58000
0xfffffff00911e2ec: 10623a91  add	x16, x16, #0xe98
0xfffffff00911e2f0: 10420091  add	x16, x16, #0x10
0xfffffff00911e2f4: f10300aa  mov	x17, x0
0xfffffff00911e2f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911e2fc: 300ac1da  pacda	x16, x17
0xfffffff00911e300: 100000f9  str	x16, [x0]
0xfffffff00911e304: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911e308: ff0f5fd6  retab	
0xfffffff00911e30c: 5f2403d5  bti	c
0xfffffff00911e310: f918c717  b	#0xfffffff0082e46f4
0xfffffff00911e314: 7f2303d5  pacibsp	
0xfffffff00911e318: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911e31c: fd030091  mov	x29, sp
0xfffffff00911e320: 9bd7ff97  bl	#0xfffffff00911418c
