; Candidate 826
; ADRP+ADD at VM 0xfffffff0080cb518 (fileoff 0x10c7518): page=0x1fefaa000 add_imm=0xeb0

0xfffffff0080cb498: 00c43891  add	x0, x0, #0xe31
0xfffffff0080cb49c: 417dffd0  adrp	x1, #0xfffffff007075000
0xfffffff0080cb4a0: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0080cb4a4: 82228052  mov	w2, #0x114
0xfffffff0080cb4a8: db500f94  bl	#0xfffffff00849f814
0xfffffff0080cb4ac: 28238052  mov	w8, #0x119
0xfffffff0080cb4b0: 497dffd0  adrp	x9, #0xfffffff007075000
0xfffffff0080cb4b4: 29213891  add	x9, x9, #0xe08
0xfffffff0080cb4b8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080cb4bc: f32300a9  stp	x19, x8, [sp]
0xfffffff0080cb4c0: 407efff0  adrp	x0, #0xfffffff007096000
0xfffffff0080cb4c4: 00502c91  add	x0, x0, #0xb14
0xfffffff0080cb4c8: 11240f94  bl	#0xfffffff00849450c
0xfffffff0080cb4cc: f50308aa  mov	x21, x8
0xfffffff0080cb4d0: a80b01d0  adrp	x8, #0xfffffff00a241000
0xfffffff0080cb4d4: 08c10191  add	x8, x8, #0x70
0xfffffff0080cb4d8: f60300aa  mov	x22, x0
0xfffffff0080cb4dc: e00308aa  mov	x0, x8
0xfffffff0080cb4e0: e10314aa  mov	x1, x20
0xfffffff0080cb4e4: a084f397  bl	#0xfffffff007dac764
0xfffffff0080cb4e8: e80315aa  mov	x8, x21
0xfffffff0080cb4ec: e00316aa  mov	x0, x22
0xfffffff0080cb4f0: 68f9ffb5  cbnz	x8, #0xfffffff0080cb41c
0xfffffff0080cb4f4: ccffff17  b	#0xfffffff0080cb424
0xfffffff0080cb4f8: 28238052  mov	w8, #0x119
0xfffffff0080cb4fc: 497dffd0  adrp	x9, #0xfffffff007075000
0xfffffff0080cb500: 29213891  add	x9, x9, #0xe08
0xfffffff0080cb504: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080cb508: f32300a9  stp	x19, x8, [sp]
0xfffffff0080cb50c: 407efff0  adrp	x0, #0xfffffff007096000
0xfffffff0080cb510: 00982b91  add	x0, x0, #0xae6
0xfffffff0080cb514: fe230f94  bl	#0xfffffff00849450c
0xfffffff0080cb518: 407dffd0  adrp	x0, #0xfffffff007075000
0xfffffff0080cb51c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0080cb520: 417dffd0  adrp	x1, #0xfffffff007075000
0xfffffff0080cb524: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0080cb528: c2228052  mov	w2, #0x116
0xfffffff0080cb52c: ba500f94  bl	#0xfffffff00849f814
0xfffffff0080cb530: 5f2403d5  bti	c
0xfffffff0080cb534: 00008052  mov	w0, #0
0xfffffff0080cb538: c0035fd6  ret	
0xfffffff0080cb53c: 5f2403d5  bti	c
0xfffffff0080cb540: 00008052  mov	w0, #0
0xfffffff0080cb544: c0035fd6  ret	
0xfffffff0080cb548: 7f2303d5  pacibsp	
0xfffffff0080cb54c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0080cb550: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0080cb554: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0080cb558: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0080cb55c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0080cb560: fd430191  add	x29, sp, #0x50
0xfffffff0080cb564: f50301aa  mov	x21, x1
0xfffffff0080cb568: f30300aa  mov	x19, x0
0xfffffff0080cb56c: 160840f9  ldr	x22, [x0, #0x10]
0xfffffff0080cb570: ff1b00b9  str	wzr, [sp, #0x18]
0xfffffff0080cb574: ffff00a9  stp	xzr, xzr, [sp, #8]
0xfffffff0080cb578: ff0300f9  str	xzr, [sp]
0xfffffff0080cb57c: c8024039  ldrb	w8, [x22]
0xfffffff0080cb580: 177d0453  lsr	w23, w8, #4
0xfffffff0080cb584: ff120071  cmp	w23, #4
0xfffffff0080cb588: 40020054  b.eq	#0xfffffff0080cb5d0
0xfffffff0080cb58c: ff1a0071  cmp	w23, #6
0xfffffff0080cb590: 01050054  b.ne	#0xfffffff0080cb630
0xfffffff0080cb594: d4038052  mov	w20, #0x1e
