; Candidate 8106
; ADRP+ADD at VM 0xfffffff00889586c (fileoff 0x189186c): page=0x1fe954000 add_imm=0xe80

0xfffffff0088957ec: 76010034  cbz	w22, #0xfffffff008895818
0xfffffff0088957f0: e80240f9  ldr	x8, [x23]
0xfffffff0088957f4: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff0088957f8: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088957fc: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff008895800: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895804: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895808: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff00889580c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895810: 29208152  mov	w9, #0x901
0xfffffff008895814: 39ffff17  b	#0xfffffff0088954f8
0xfffffff008895818: 657a0094  bl	#0xfffffff0088b41ac
0xfffffff00889581c: f50300aa  mov	x21, x0
0xfffffff008895820: 80008052  mov	w0, #4
0xfffffff008895824: 0b98ff97  bl	#0xfffffff00887b850
0xfffffff008895828: e80240f9  ldr	x8, [x23]
0xfffffff00889582c: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff008895830: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff008895834: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff008895838: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff00889583c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895840: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895844: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895848: 29208152  mov	w9, #0x901
0xfffffff00889584c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895850: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895854: 08651d91  add	x8, x8, #0x759
0xfffffff008895858: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889585c: 88098052  mov	w8, #0x4c
0xfffffff008895860: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895864: 63240f91  add	x3, x3, #0x3c9
0xfffffff008895868: f52300a9  stp	x21, x8, [sp]
0xfffffff00889586c: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895870: 00003a91  add	x0, x0, #0xe80
0xfffffff008895874: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895878: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889587c: 02008052  mov	w2, #0
0xfffffff008895880: 2c76ea97  bl	#0xfffffff008333130
0xfffffff008895884: 3effff17  b	#0xfffffff00889557c
0xfffffff008895888: f30300aa  mov	x19, x0
0xfffffff00889588c: 80098052  mov	w0, #0x4c
0xfffffff008895890: 81008052  mov	w1, #4
0xfffffff008895894: cf97ff97  bl	#0xfffffff00887b7d0
0xfffffff008895898: 20e7ff34  cbz	w0, #0xfffffff00889557c
0xfffffff00889589c: 80098052  mov	w0, #0x4c
0xfffffff0088958a0: de97ff97  bl	#0xfffffff00887b818
0xfffffff0088958a4: f60300aa  mov	x22, x0
0xfffffff0088958a8: 417a0094  bl	#0xfffffff0088b41ac
0xfffffff0088958ac: f50300aa  mov	x21, x0
0xfffffff0088958b0: 80008052  mov	w0, #4
0xfffffff0088958b4: e797ff97  bl	#0xfffffff00887b850
0xfffffff0088958b8: 360f0034  cbz	w22, #0xfffffff008895a9c
0xfffffff0088958bc: e80240f9  ldr	x8, [x23]
0xfffffff0088958c0: f82300f9  str	x24, [sp, #0x40]
0xfffffff0088958c4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088958c8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088958cc: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff0088958d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088958d4: 09228152  mov	w9, #0x910
0xfffffff0088958d8: 46ffff17  b	#0xfffffff0088955f0
0xfffffff0088958dc: f30300aa  mov	x19, x0
0xfffffff0088958e0: 80098052  mov	w0, #0x4c
0xfffffff0088958e4: 81008052  mov	w1, #4
0xfffffff0088958e8: ba97ff97  bl	#0xfffffff00887b7d0
