; Candidate 3690
; ADRP+ADD at VM 0xfffffff00874e2c0 (fileoff 0x174a2c0): page=0x1fe9e3000 add_imm=0xd90

0xfffffff00874e240: ae060011  add	w14, w21, #1
0xfffffff00874e244: 6f2e40b9  ldr	w15, [x19, #0x2c]
0xfffffff00874e248: f5010e0a  and	w21, w15, w14
0xfffffff00874e24c: bf02096b  cmp	w21, w9
0xfffffff00874e250: a1fdff54  b.ne	#0xfffffff00874e204
0xfffffff00874e254: eb3301a9  stp	x11, x12, [sp, #0x10]
0xfffffff00874e258: 4950ffd0  adrp	x9, #0xfffffff007158000
0xfffffff00874e25c: 29352891  add	x9, x9, #0xa0d
0xfffffff00874e260: e92300a9  stp	x9, x8, [sp]
0xfffffff00874e264: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e268: 00403691  add	x0, x0, #0xd90
0xfffffff00874e26c: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e270: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e274: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e278: 63241b91  add	x3, x3, #0x6c9
0xfffffff00874e27c: 02008052  mov	w2, #0
0xfffffff00874e280: ac93ef97  bl	#0xfffffff008333130
0xfffffff00874e284: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00874e288: 081d0853  lsl	w8, w8, #0x18
0xfffffff00874e28c: 892a4429  ldp	w9, w10, [x20, #0x20]
0xfffffff00874e290: 0841092a  orr	w8, w8, w9, lsl #16
0xfffffff00874e294: 08210a2a  orr	w8, w8, w10, lsl #8
0xfffffff00874e298: 89198052  mov	w9, #0xcc
0xfffffff00874e29c: 0201092a  orr	w2, w8, w9
0xfffffff00874e2a0: 00088052  mov	w0, #0x40
0xfffffff00874e2a4: c1898e52  mov	w1, #0x744e
0xfffffff00874e2a8: c188ac72  movk	w1, #0x6446, lsl #16
0xfffffff00874e2ac: 6edcff97  bl	#0xfffffff008745464
0xfffffff00874e2b0: 34008052  mov	w20, #1
0xfffffff00874e2b4: 4850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874e2b8: 08092991  add	x8, x8, #0xa42
0xfffffff00874e2bc: e85300a9  stp	x8, x20, [sp]
0xfffffff00874e2c0: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e2c4: 00403691  add	x0, x0, #0xd90
0xfffffff00874e2c8: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e2cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e2d0: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e2d4: 634c1c91  add	x3, x3, #0x713
0xfffffff00874e2d8: 02008052  mov	w2, #0
0xfffffff00874e2dc: 9593ef97  bl	#0xfffffff008333130
0xfffffff00874e2e0: 683640b9  ldr	w8, [x19, #0x34]
0xfffffff00874e2e4: 693240b9  ldr	w9, [x19, #0x30]
0xfffffff00874e2e8: 3f01086b  cmp	w9, w8
0xfffffff00874e2ec: 62000054  b.hs	#0xfffffff00874e2f8
0xfffffff00874e2f0: 6a2a40b9  ldr	w10, [x19, #0x28]
0xfffffff00874e2f4: 4901090b  add	w9, w10, w9
0xfffffff00874e2f8: 3f01086b  cmp	w9, w8
0xfffffff00874e2fc: 61010054  b.ne	#0xfffffff00874e328
0xfffffff00874e300: 602641f9  ldr	x0, [x19, #0x248]
0xfffffff00874e304: 615e42b9  ldr	w1, [x19, #0x25c]
0xfffffff00874e308: 9cd8ff97  bl	#0xfffffff008744578
0xfffffff00874e30c: 602641f9  ldr	x0, [x19, #0x248]
0xfffffff00874e310: 682a41f9  ldr	x8, [x19, #0x250]
0xfffffff00874e314: 020940b9  ldr	w2, [x8, #8]
0xfffffff00874e318: 35008052  mov	w21, #1
0xfffffff00874e31c: 21008052  mov	w1, #1
0xfffffff00874e320: c4d8ff97  bl	#0xfffffff008744630
0xfffffff00874e324: 754202b9  str	w21, [x19, #0x240]
0xfffffff00874e328: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00874e32c: 0479d997  bl	#0xfffffff007dac73c
0xfffffff00874e330: e00314aa  mov	x0, x20
0xfffffff00874e334: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00874e338: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00874e33c: f65742a9  ldp	x22, x21, [sp, #0x20]
