; Candidate 1682
; ADRP+ADD at VM 0xfffffff0084f14b4 (fileoff 0x14ed4b4): page=0x1febf0000 add_imm=0xe6f

0xfffffff0084f1434: e82700a9  stp	x8, x9, [sp]
0xfffffff0084f1438: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f143c: 00a83d91  add	x0, x0, #0xf6a
0xfffffff0084f1440: 338cfe97  bl	#0xfffffff00849450c
0xfffffff0084f1444: 7f2303d5  pacibsp	
0xfffffff0084f1448: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f144c: fd030091  mov	x29, sp
0xfffffff0084f1450: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1454: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f1458: 78dff897  bl	#0xfffffff008329238
0xfffffff0084f145c: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1460: 00c507f9  str	x0, [x8, #0xf88]
0xfffffff0084f1464: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1468: 00083891  add	x0, x0, #0xe02
0xfffffff0084f146c: 73dff897  bl	#0xfffffff008329238
0xfffffff0084f1470: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1474: 00c907f9  str	x0, [x8, #0xf90]
0xfffffff0084f1478: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f147c: 00883891  add	x0, x0, #0xe22
0xfffffff0084f1480: 6edff897  bl	#0xfffffff008329238
0xfffffff0084f1484: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1488: 00cd07f9  str	x0, [x8, #0xf98]
0xfffffff0084f148c: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f1490: 00e43891  add	x0, x0, #0xe39
0xfffffff0084f1494: 69dff897  bl	#0xfffffff008329238
0xfffffff0084f1498: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f149c: 00d107f9  str	x0, [x8, #0xfa0]
0xfffffff0084f14a0: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f14a4: 004c3991  add	x0, x0, #0xe53
0xfffffff0084f14a8: 64dff897  bl	#0xfffffff008329238
0xfffffff0084f14ac: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14b0: 00d507f9  str	x0, [x8, #0xfa8]
0xfffffff0084f14b4: 805fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f14b8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084f14bc: 5fdff897  bl	#0xfffffff008329238
0xfffffff0084f14c0: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14c4: 00d907f9  str	x0, [x8, #0xfb0]
0xfffffff0084f14c8: 405ffff0  adrp	x0, #0xfffffff0070dc000
0xfffffff0084f14cc: 00f01f91  add	x0, x0, #0x7fc
0xfffffff0084f14d0: 5adff897  bl	#0xfffffff008329238
0xfffffff0084f14d4: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14d8: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff0084f14dc: 405fff90  adrp	x0, #0xfffffff0070d9000
0xfffffff0084f14e0: 00b43d91  add	x0, x0, #0xf6d
0xfffffff0084f14e4: 55dff897  bl	#0xfffffff008329238
0xfffffff0084f14e8: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f14ec: 00e107f9  str	x0, [x8, #0xfc0]
0xfffffff0084f14f0: 405fff90  adrp	x0, #0xfffffff0070d9000
0xfffffff0084f14f4: 00f03d91  add	x0, x0, #0xf7c
0xfffffff0084f14f8: 50dff897  bl	#0xfffffff008329238
0xfffffff0084f14fc: 08ef00f0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084f1500: 00e507f9  str	x0, [x8, #0xfc8]
0xfffffff0084f1504: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0084f1508: ff0f5fd6  retab	
0xfffffff0084f150c: 7f2303d5  pacibsp	
0xfffffff0084f1510: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084f1514: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084f1518: fd430091  add	x29, sp, #0x10
0xfffffff0084f151c: 13ef00f0  adrp	x19, #0xfffffff00a2d4000
0xfffffff0084f1520: 60e647f9  ldr	x0, [x19, #0xfc8]
0xfffffff0084f1524: 400100b4  cbz	x0, #0xfffffff0084f154c
0xfffffff0084f1528: 100040f9  ldr	x16, [x0]
0xfffffff0084f152c: f10300aa  mov	x17, x0
0xfffffff0084f1530: 31b4f9f2  movk	x17, #0xcda1, lsl #48
