; Candidate 12463
; ADRP+ADD at VM 0xfffffff0090a53ac (fileoff 0x20a13ac): page=0x1fe3bd000 add_imm=0xe8b

0xfffffff0090a532c: 69000054  b.ls	#0xfffffff0090a5338
0xfffffff0090a5330: 40008052  mov	w0, #2
0xfffffff0090a5334: 03000014  b	#0xfffffff0090a5340
0xfffffff0090a5338: 1f010071  cmp	w8, #0
0xfffffff0090a533c: e0079f1a  cset	w0, ne
0xfffffff0090a5340: 01048052  mov	w1, #0x20
0xfffffff0090a5344: eae7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a5348: e08b00f9  str	x0, [sp, #0x110]
0xfffffff0090a534c: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a5350: 00083991  add	x0, x0, #0xe42
0xfffffff0090a5354: b90fca97  bl	#0xfffffff008329238
0xfffffff0090a5358: e08f02f9  str	x0, [sp, #0x518]
0xfffffff0090a535c: c09241b9  ldr	w0, [x22, #0x190]
0xfffffff0090a5360: 01048052  mov	w1, #0x20
0xfffffff0090a5364: e2e7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a5368: e08f00f9  str	x0, [sp, #0x118]
0xfffffff0090a536c: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a5370: 005c3991  add	x0, x0, #0xe57
0xfffffff0090a5374: b10fca97  bl	#0xfffffff008329238
0xfffffff0090a5378: e09302f9  str	x0, [sp, #0x520]
0xfffffff0090a537c: c09641b9  ldr	w0, [x22, #0x194]
0xfffffff0090a5380: 01048052  mov	w1, #0x20
0xfffffff0090a5384: dae7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a5388: e09300f9  str	x0, [sp, #0x120]
0xfffffff0090a538c: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a5390: 00c83991  add	x0, x0, #0xe72
0xfffffff0090a5394: a90fca97  bl	#0xfffffff008329238
0xfffffff0090a5398: e09702f9  str	x0, [sp, #0x528]
0xfffffff0090a539c: c09a41b9  ldr	w0, [x22, #0x198]
0xfffffff0090a53a0: 01048052  mov	w1, #0x20
0xfffffff0090a53a4: d2e7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a53a8: e09700f9  str	x0, [sp, #0x128]
0xfffffff0090a53ac: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a53b0: 002c3a91  add	x0, x0, #0xe8b
0xfffffff0090a53b4: a10fca97  bl	#0xfffffff008329238
0xfffffff0090a53b8: e09b02f9  str	x0, [sp, #0x530]
0xfffffff0090a53bc: c09e41b9  ldr	w0, [x22, #0x19c]
0xfffffff0090a53c0: 01048052  mov	w1, #0x20
0xfffffff0090a53c4: cae7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a53c8: e09b00f9  str	x0, [sp, #0x130]
0xfffffff0090a53cc: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a53d0: 00843a91  add	x0, x0, #0xea1
0xfffffff0090a53d4: 990fca97  bl	#0xfffffff008329238
0xfffffff0090a53d8: e09f02f9  str	x0, [sp, #0x538]
0xfffffff0090a53dc: c0a241b9  ldr	w0, [x22, #0x1a0]
0xfffffff0090a53e0: 01048052  mov	w1, #0x20
0xfffffff0090a53e4: c2e7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a53e8: e09f00f9  str	x0, [sp, #0x138]
0xfffffff0090a53ec: e01dffb0  adrp	x0, #0xfffffff007462000
0xfffffff0090a53f0: 00fc3a91  add	x0, x0, #0xebf
0xfffffff0090a53f4: 910fca97  bl	#0xfffffff008329238
0xfffffff0090a53f8: e0a302f9  str	x0, [sp, #0x540]
0xfffffff0090a53fc: c0a641b9  ldr	w0, [x22, #0x1a4]
0xfffffff0090a5400: 01048052  mov	w1, #0x20
0xfffffff0090a5404: bae7c997  bl	#0xfffffff00831f2ec
0xfffffff0090a5408: e0a300f9  str	x0, [sp, #0x140]
0xfffffff0090a540c: e01dffd0  adrp	x0, #0xfffffff007463000
0xfffffff0090a5410: 00c02291  add	x0, x0, #0x8b0
0xfffffff0090a5414: f306ca97  bl	#0xfffffff008326fe0
0xfffffff0090a5418: f80300aa  mov	x24, x0
0xfffffff0090a541c: e0c30091  add	x0, sp, #0x30
0xfffffff0090a5420: e1c31091  add	x1, sp, #0x430
0xfffffff0090a5424: 62048052  mov	w2, #0x23
0xfffffff0090a5428: 03008052  mov	w3, #0
