; Candidate 10413
; ADRP+ADD at VM 0xfffffff008d3a190 (fileoff 0x1d36190): page=0x1fe64b000 add_imm=0xe28

0xfffffff008d3a110: f40304aa  mov	x20, x4
0xfffffff008d3a114: f80303aa  mov	x24, x3
0xfffffff008d3a118: f90302aa  mov	x25, x2
0xfffffff008d3a11c: f70301aa  mov	x23, x1
0xfffffff008d3a120: f60300aa  mov	x22, x0
0xfffffff008d3a124: a86cfff0  adrp	x8, #0xfffffff007ad1000
0xfffffff008d3a128: 089141f9  ldr	x8, [x8, #0x320]
0xfffffff008d3a12c: 080140f9  ldr	x8, [x8]
0xfffffff008d3a130: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff008d3a134: 75ad00d0  adrp	x21, #0xfffffff00a2e8000
0xfffffff008d3a138: b5920c91  add	x21, x21, #0x324
0xfffffff008d3a13c: a8024039  ldrb	w8, [x21]
0xfffffff008d3a140: 7a32ff90  adrp	x26, #0xfffffff007386000
0xfffffff008d3a144: 5a132c91  add	x26, x26, #0xb04
0xfffffff008d3a148: 5b32fff0  adrp	x27, #0xfffffff007385000
0xfffffff008d3a14c: 7bd72f91  add	x27, x27, #0xbf5
0xfffffff008d3a150: 1f290071  cmp	w8, #0xa
0xfffffff008d3a154: a8000054  b.hi	#0xfffffff008d3a168
0xfffffff008d3a158: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008d3a15c: 6032fff0  adrp	x0, #0xfffffff007389000
0xfffffff008d3a160: 00bc1791  add	x0, x0, #0x5ef
0xfffffff008d3a164: af73d897  bl	#0xfffffff008357020
0xfffffff008d3a168: 160d00b4  cbz	x22, #0xfffffff008d3a308
0xfffffff008d3a16c: 190e00b4  cbz	x25, #0xfffffff008d3a32c
0xfffffff008d3a170: 08008292  mov	x8, #-0x1001
0xfffffff008d3a174: 0903088b  add	x9, x24, x8
0xfffffff008d3a178: 3f0108eb  cmp	x9, x8
0xfffffff008d3a17c: 890d0054  b.ls	#0xfffffff008d3a32c
0xfffffff008d3a180: a06cfff0  adrp	x0, #0xfffffff007ad1000
0xfffffff008d3a184: 00e02a91  add	x0, x0, #0xab8
0xfffffff008d3a188: db70d897  bl	#0xfffffff0083564f4
0xfffffff008d3a18c: f30300aa  mov	x19, x0
0xfffffff008d3a190: 4032fff0  adrp	x0, #0xfffffff007385000
0xfffffff008d3a194: 00a03891  add	x0, x0, #0xe28
0xfffffff008d3a198: 5c32fff0  adrp	x28, #0xfffffff007385000
0xfffffff008d3a19c: 9c833091  add	x28, x28, #0xc20
0xfffffff008d3a1a0: 6532ff90  adrp	x5, #0xfffffff007386000
0xfffffff008d3a1a4: a5102c91  add	x5, x5, #0xb04
0xfffffff008d3a1a8: e10313aa  mov	x1, x19
0xfffffff008d3a1ac: 82028052  mov	w2, #0x14
0xfffffff008d3a1b0: e3031caa  mov	x3, x28
0xfffffff008d3a1b4: e4b48052  mov	w4, #0x5a7
0xfffffff008d3a1b8: 6b0d0094  bl	#0xfffffff008d3d764
0xfffffff008d3a1bc: 930d00b4  cbz	x19, #0xfffffff008d3a36c
0xfffffff008d3a1c0: f5031baa  mov	x21, x27
0xfffffff008d3a1c4: fc031aaa  mov	x28, x26
0xfffffff008d3a1c8: fac30091  add	x26, sp, #0x30
0xfffffff008d3a1cc: fb430591  add	x27, sp, #0x150
0xfffffff008d3a1d0: 600340b2  orr	x0, x27, #1
0xfffffff008d3a1d4: a1008252  mov	w1, #0x1005
0xfffffff008d3a1d8: 5a4ac097  bl	#0xfffffff007d4cb40
0xfffffff008d3a1dc: 28008052  mov	w8, #1
0xfffffff008d3a1e0: e8430539  strb	w8, [sp, #0x150]
0xfffffff008d3a1e4: c8008052  mov	w8, #6
0xfffffff008d3a1e8: e8a70279  strh	w8, [sp, #0x152]
0xfffffff008d3a1ec: f8ab0279  strh	w24, [sp, #0x154]
0xfffffff008d3a1f0: 60077fb2  orr	x0, x27, #6
0xfffffff008d3a1f4: e10319aa  mov	x1, x25
0xfffffff008d3a1f8: e20318aa  mov	x2, x24
0xfffffff008d3a1fc: 03008252  mov	w3, #0x1000
0xfffffff008d3a200: 9496c597  bl	#0xfffffff007e9fc50
0xfffffff008d3a204: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008d3a208: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008d3a20c: e08302ad  stp	q0, q0, [sp, #0x50]
