; Candidate 8927
; ADRP+ADD at VM 0xfffffff0088ef454 (fileoff 0x18eb454): page=0x1fe97f000 add_imm=0xd98

0xfffffff0088ef3d4: 3f717df2  tst	x9, #0xfffffff8
0xfffffff0088ef3d8: e0030054  b.eq	#0xfffffff0088ef454
0xfffffff0088ef3dc: 3f6d7cf2  tst	x9, #0xfffffff0
0xfffffff0088ef3e0: a0030054  b.eq	#0xfffffff0088ef454
0xfffffff0088ef3e4: 092100b1  adds	x9, x8, #8
0xfffffff0088ef3e8: eb379f1a  cset	w11, hs
0xfffffff0088ef3ec: 6a014093  sbfx	x10, x11, #0, #1
0xfffffff0088ef3f0: 4b010bca  eor	x11, x10, x11
0xfffffff0088ef3f4: cb0300b5  cbnz	x11, #0xfffffff0088ef46c
0xfffffff0088ef3f8: aa03f8b7  tbnz	x10, #0x3f, #0xfffffff0088ef46c
0xfffffff0088ef3fc: 010140f9  ldr	x1, [x8]
0xfffffff0088ef400: 280140b9  ldr	w8, [x9]
0xfffffff0088ef404: 431840f9  ldr	x3, [x2, #0x30]
0xfffffff0088ef408: 443840b9  ldr	w4, [x2, #0x38]
0xfffffff0088ef40c: 100040f9  ldr	x16, [x0]
0xfffffff0088ef410: f10300aa  mov	x17, x0
0xfffffff0088ef414: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef418: 301ac1da  autda	x16, x17
0xfffffff0088ef41c: 11c780d2  mov	x17, #0x638
0xfffffff0088ef420: 1002118b  add	x16, x16, x17
0xfffffff0088ef424: 090240f9  ldr	x9, [x16]
0xfffffff0088ef428: e50310aa  mov	x5, x16
0xfffffff0088ef42c: f00309aa  mov	x16, x9
0xfffffff0088ef430: e20308aa  mov	x2, x8
0xfffffff0088ef434: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ef438: ff2303d5  autibsp	
0xfffffff0088ef43c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088ef440: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088ef448
0xfffffff0088ef444: 208e38d4  brk	#0xc471
0xfffffff0088ef448: f10305aa  mov	x17, x5
0xfffffff0088ef44c: 91f6e6f2  movk	x17, #0x37b4, lsl #48
0xfffffff0088ef450: 110a1fd7  braa	x16, x17
0xfffffff0088ef454: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef458: 00603691  add	x0, x0, #0xd98
0xfffffff0088ef45c: dd000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef460: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef464: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088ef468: da000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef46c: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef470: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088ef474: d7000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef478: 5f2403d5  bti	c
0xfffffff0088ef47c: 481040f9  ldr	x8, [x2, #0x20]
0xfffffff0088ef480: 010140f9  ldr	x1, [x8]
0xfffffff0088ef484: 100040f9  ldr	x16, [x0]
0xfffffff0088ef488: f10300aa  mov	x17, x0
0xfffffff0088ef48c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef490: 301ac1da  autda	x16, x17
0xfffffff0088ef494: 11c880d2  mov	x17, #0x640
0xfffffff0088ef498: 1002118b  add	x16, x16, x17
0xfffffff0088ef49c: 080240f9  ldr	x8, [x16]
0xfffffff0088ef4a0: e20310aa  mov	x2, x16
0xfffffff0088ef4a4: f00308aa  mov	x16, x8
0xfffffff0088ef4a8: f10302aa  mov	x17, x2
0xfffffff0088ef4ac: b1b3f4f2  movk	x17, #0xa59d, lsl #48
0xfffffff0088ef4b0: 110a1fd7  braa	x16, x17
0xfffffff0088ef4b4: 5f2403d5  bti	c
0xfffffff0088ef4b8: 411040f9  ldr	x1, [x2, #0x20]
0xfffffff0088ef4bc: 481840f9  ldr	x8, [x2, #0x30]
0xfffffff0088ef4c0: 433840b9  ldr	w3, [x2, #0x38]
0xfffffff0088ef4c4: 100040f9  ldr	x16, [x0]
0xfffffff0088ef4c8: f10300aa  mov	x17, x0
0xfffffff0088ef4cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef4d0: 301ac1da  autda	x16, x17
