; Candidate 4460
; ADRP+ADD at VM 0xfffffff0087b2d78 (fileoff 0x17aed78): page=0x1fe97f000 add_imm=0xd90

0xfffffff0087b2cf8: e16701a9  stp	x1, x25, [sp, #0x10]
0xfffffff0087b2cfc: e84cfff0  adrp	x8, #0xfffffff007151000
0xfffffff0087b2d00: 08dd1491  add	x8, x8, #0x537
0xfffffff0087b2d04: e80b00a9  stp	x8, x2, [sp]
0xfffffff0087b2d08: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2d0c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2d10: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2d14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2d18: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2d1c: 639c3491  add	x3, x3, #0xd27
0xfffffff0087b2d20: 02008052  mov	w2, #0
0xfffffff0087b2d24: 0301ee97  bl	#0xfffffff008333130
0xfffffff0087b2d28: d4278052  mov	w20, #0x13e
0xfffffff0087b2d2c: 79ffff17  b	#0xfffffff0087b2b10
0xfffffff0087b2d30: e84cfff0  adrp	x8, #0xfffffff007151000
0xfffffff0087b2d34: 08dd1491  add	x8, x8, #0x537
0xfffffff0087b2d38: e80300f9  str	x8, [sp]
0xfffffff0087b2d3c: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2d40: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2d44: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2d48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2d4c: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2d50: 63703591  add	x3, x3, #0xd5c
0xfffffff0087b2d54: 02008052  mov	w2, #0
0xfffffff0087b2d58: f600ee97  bl	#0xfffffff008333130
0xfffffff0087b2d5c: 6cffff17  b	#0xfffffff0087b2b0c
0xfffffff0087b2d60: b4278052  mov	w20, #0x13d
0xfffffff0087b2d64: 6bffff17  b	#0xfffffff0087b2b10
0xfffffff0087b2d68: 684dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087b2d6c: 08391591  add	x8, x8, #0x54e
0xfffffff0087b2d70: 14008012  mov	w20, #-1
0xfffffff0087b2d74: f42300a9  stp	x20, x8, [sp]
0xfffffff0087b2d78: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2d7c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2d80: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2d84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2d88: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2d8c: 631c3691  add	x3, x3, #0xd87
0xfffffff0087b2d90: 02008052  mov	w2, #0
0xfffffff0087b2d94: e700ee97  bl	#0xfffffff008333130
0xfffffff0087b2d98: 5effff17  b	#0xfffffff0087b2b10
0xfffffff0087b2d9c: 684dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087b2da0: 08391591  add	x8, x8, #0x54e
0xfffffff0087b2da4: 14008012  mov	w20, #-1
0xfffffff0087b2da8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087b2dac: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2db0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2db4: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2db8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2dbc: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2dc0: 63983691  add	x3, x3, #0xda6
0xfffffff0087b2dc4: 02008052  mov	w2, #0
0xfffffff0087b2dc8: da00ee97  bl	#0xfffffff008333130
0xfffffff0087b2dcc: 51ffff17  b	#0xfffffff0087b2b10
0xfffffff0087b2dd0: e94cfff0  adrp	x9, #0xfffffff007151000
0xfffffff0087b2dd4: 29dd1491  add	x9, x9, #0x537
0xfffffff0087b2dd8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087b2ddc: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2de0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2de4: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2de8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2dec: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2df0: 63b83791  add	x3, x3, #0xdee
0xfffffff0087b2df4: 02008052  mov	w2, #0
