; Candidate 8881
; ADRP+ADD at VM 0xfffffff0088e9bd0 (fileoff 0x18e5bd0): page=0x1fe983000 add_imm=0xcfb

0xfffffff0088e9b50: e8630091  add	x8, sp, #0x18
0xfffffff0088e9b54: 5089ff90  adrp	x16, #0xfffffff007a11000
0xfffffff0088e9b58: 10ca46f9  ldr	x16, [x16, #0xd90]
0xfffffff0088e9b5c: f10308aa  mov	x17, x8
0xfffffff0088e9b60: 315cedf2  movk	x17, #0x6ae1, lsl #48
0xfffffff0088e9b64: 300ac1da  pacda	x16, x17
0xfffffff0088e9b68: f00f00f9  str	x16, [sp, #0x18]
0xfffffff0088e9b6c: 094cffb0  adrp	x9, #0xfffffff00726a000
0xfffffff0088e9b70: 201d45fd  ldr	d0, [x9, #0xa38]
0xfffffff0088e9b74: e01300fd  str	d0, [sp, #0x20]
0xfffffff0088e9b78: 09410091  add	x9, x8, #0x10
0xfffffff0088e9b7c: 10000090  adrp	x16, #0xfffffff0088e9000
0xfffffff0088e9b80: 10b23c91  add	x16, x16, #0xf2c
0xfffffff0088e9b84: 3001c1da  pacia	x16, x9
0xfffffff0088e9b88: f01700f9  str	x16, [sp, #0x28]
0xfffffff0088e9b8c: 08610091  add	x8, x8, #0x18
0xfffffff0088e9b90: 7089ffb0  adrp	x16, #0xfffffff007a16000
0xfffffff0088e9b94: 10e22391  add	x16, x16, #0x8f8
0xfffffff0088e9b98: f10308aa  mov	x17, x8
0xfffffff0088e9b9c: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff0088e9ba0: 300ac1da  pacda	x16, x17
0xfffffff0088e9ba4: f05703a9  stp	x16, x21, [sp, #0x30]
0xfffffff0088e9ba8: f42300f9  str	x20, [sp, #0x40]
0xfffffff0088e9bac: f34b00b9  str	w19, [sp, #0x48]
0xfffffff0088e9bb0: e1630091  add	x1, sp, #0x18
0xfffffff0088e9bb4: 2a39eb97  bl	#0xfffffff0083b805c
0xfffffff0088e9bb8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088e9bbc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088e9bc0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088e9bc4: ff030291  add	sp, sp, #0x80
0xfffffff0088e9bc8: ff0f5fd6  retab	
0xfffffff0088e9bcc: f60300f9  str	x22, [sp]
0xfffffff0088e9bd0: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9bd4: 00ec3391  add	x0, x0, #0xcfb
0xfffffff0088e9bd8: 12b5e997  bl	#0xfffffff008357020
0xfffffff0088e9bdc: f7ffff17  b	#0xfffffff0088e9bb8
0xfffffff0088e9be0: 7f2303d5  pacibsp	
0xfffffff0088e9be4: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088e9be8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0088e9bec: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088e9bf0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088e9bf4: fd030191  add	x29, sp, #0x40
0xfffffff0088e9bf8: f30302aa  mov	x19, x2
0xfffffff0088e9bfc: f40300aa  mov	x20, x0
0xfffffff0088e9c00: 154cfff0  adrp	x21, #0xfffffff00726c000
0xfffffff0088e9c04: b5423c91  add	x21, x21, #0xf10
0xfffffff0088e9c08: f50300f9  str	x21, [sp]
0xfffffff0088e9c0c: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9c10: 00603b91  add	x0, x0, #0xed8
0xfffffff0088e9c14: 03b5e997  bl	#0xfffffff008357020
0xfffffff0088e9c18: 885240f9  ldr	x8, [x20, #0xa0]
0xfffffff0088e9c1c: 080100b4  cbz	x8, #0xfffffff0088e9c3c
0xfffffff0088e9c20: 7f0a0071  cmp	w19, #2
0xfffffff0088e9c24: 41010054  b.ne	#0xfffffff0088e9c4c
0xfffffff0088e9c28: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088e9c2c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088e9c30: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0088e9c34: ff430191  add	sp, sp, #0x50
0xfffffff0088e9c38: ff0f5fd6  retab	
0xfffffff0088e9c3c: f50300f9  str	x21, [sp]
0xfffffff0088e9c40: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9c44: 00ec3391  add	x0, x0, #0xcfb
0xfffffff0088e9c48: 06000014  b	#0xfffffff0088e9c60
0xfffffff0088e9c4c: 48008052  mov	w8, #2
