; Candidate 14089
; ADRP+ADD at VM 0xfffffff0096fa0cc (fileoff 0x26f60cc): page=0x1fde96000 add_imm=0xd06

0xfffffff0096fa04c: a00900b4  cbz	x0, #0xfffffff0096fa180
0xfffffff0096fa050: 700240f9  ldr	x16, [x19]
0xfffffff0096fa054: f10313aa  mov	x17, x19
0xfffffff0096fa058: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa05c: 301ac1da  autda	x16, x17
0xfffffff0096fa060: 116e80d2  mov	x17, #0x370
0xfffffff0096fa064: 1002118b  add	x16, x16, x17
0xfffffff0096fa068: 080240f9  ldr	x8, [x16]
0xfffffff0096fa06c: e90310aa  mov	x9, x16
0xfffffff0096fa070: e00313aa  mov	x0, x19
0xfffffff0096fa074: f10309aa  mov	x17, x9
0xfffffff0096fa078: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096fa07c: 11093fd7  blraa	x8, x17
0xfffffff0096fa080: 100040f9  ldr	x16, [x0]
0xfffffff0096fa084: f10300aa  mov	x17, x0
0xfffffff0096fa088: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa08c: 301ac1da  autda	x16, x17
0xfffffff0096fa090: 113d80d2  mov	x17, #0x1e8
0xfffffff0096fa094: 1002118b  add	x16, x16, x17
0xfffffff0096fa098: 080240f9  ldr	x8, [x16]
0xfffffff0096fa09c: e90310aa  mov	x9, x16
0xfffffff0096fa0a0: 010080d2  mov	x1, #0
0xfffffff0096fa0a4: f10309aa  mov	x17, x9
0xfffffff0096fa0a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096fa0ac: 11093fd7  blraa	x8, x17
0xfffffff0096fa0b0: 36000014  b	#0xfffffff0096fa188
0xfffffff0096fa0b4: 80f4fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fa0b8: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fa0bc: 88f4fed0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fa0c0: 081d0291  add	x8, x8, #0x87
0xfffffff0096fa0c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fa0c8: f50300f9  str	x21, [sp]
0xfffffff0096fa0cc: a0f4fed0  adrp	x0, #0xfffffff007590000
0xfffffff0096fa0d0: 00183491  add	x0, x0, #0xd06
0xfffffff0096fa0d4: 7f000014  b	#0xfffffff0096fa2d0
0xfffffff0096fa0d8: 806400b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096fa0dc: 00e01291  add	x0, x0, #0x4b8
0xfffffff0096fa0e0: 1eaaaf97  bl	#0xfffffff0082e4958
0xfffffff0096fa0e4: f50300aa  mov	x21, x0
0xfffffff0096fa0e8: 700240f9  ldr	x16, [x19]
0xfffffff0096fa0ec: f10313aa  mov	x17, x19
0xfffffff0096fa0f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa0f4: 301ac1da  autda	x16, x17
0xfffffff0096fa0f8: 116e80d2  mov	x17, #0x370
0xfffffff0096fa0fc: 1002118b  add	x16, x16, x17
0xfffffff0096fa100: 080240f9  ldr	x8, [x16]
0xfffffff0096fa104: e90310aa  mov	x9, x16
0xfffffff0096fa108: e00313aa  mov	x0, x19
0xfffffff0096fa10c: f10309aa  mov	x17, x9
0xfffffff0096fa110: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096fa114: 11093fd7  blraa	x8, x17
0xfffffff0096fa118: c00c00b4  cbz	x0, #0xfffffff0096fa2b0
0xfffffff0096fa11c: 700240f9  ldr	x16, [x19]
0xfffffff0096fa120: f10313aa  mov	x17, x19
0xfffffff0096fa124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa128: 301ac1da  autda	x16, x17
0xfffffff0096fa12c: 116e80d2  mov	x17, #0x370
0xfffffff0096fa130: 1002118b  add	x16, x16, x17
0xfffffff0096fa134: 080240f9  ldr	x8, [x16]
0xfffffff0096fa138: e90310aa  mov	x9, x16
0xfffffff0096fa13c: e00313aa  mov	x0, x19
0xfffffff0096fa140: f10309aa  mov	x17, x9
0xfffffff0096fa144: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096fa148: 11093fd7  blraa	x8, x17
