; Candidate 16289
; ADRP+ADD at VM 0xfffffff009e44060 (fileoff 0x2e40060): page=0x1fd9e3000 add_imm=0xeb2

0xfffffff009e43fe0: e00702ad  stp	q0, q1, [sp, #0x40]
0xfffffff009e43fe4: f8230179  strh	w24, [sp, #0x90]
0xfffffff009e43fe8: e00318aa  mov	x0, x24
0xfffffff009e43fec: 3f4b9497  bl	#0xfffffff008356ce8
0xfffffff009e43ff0: 000400b4  cbz	x0, #0xfffffff009e44070
0xfffffff009e43ff4: f90300aa  mov	x25, x0
0xfffffff009e43ff8: 9b2c00b0  adrp	x27, #0xfffffff00a3d4000
0xfffffff009e43ffc: 7b232a91  add	x27, x27, #0xa88
0xfffffff009e44000: 680338f8  ldadd	x24, x8, [x27]
0xfffffff009e44004: e04f00f9  str	x0, [sp, #0x98]
0xfffffff009e44008: 1a0700d1  sub	x26, x24, #1
0xfffffff009e4400c: e10317aa  mov	x1, x23
0xfffffff009e44010: e2031aaa  mov	x2, x26
0xfffffff009e44014: e30318aa  mov	x3, x24
0xfffffff009e44018: 0e6f8197  bl	#0xfffffff007e9fc50
0xfffffff009e4401c: 3f6b3a38  strb	wzr, [x25, x26]
0xfffffff009e44020: 3da70394  bl	#0xfffffff009f2dd14
0xfffffff009e44024: e03f00f9  str	x0, [sp, #0x78]
0xfffffff009e44028: e00314aa  mov	x0, x20
0xfffffff009e4402c: 61008052  mov	w1, #3
0xfffffff009e44030: e20316aa  mov	x2, x22
0xfffffff009e44034: e30315aa  mov	x3, x21
0xfffffff009e44038: 01960294  bl	#0xfffffff009ee983c
0xfffffff009e4403c: a0020034  cbz	w0, #0xfffffff009e44090
0xfffffff009e44040: f60300aa  mov	x22, x0
0xfffffff009e44044: 083e8452  mov	w8, #0x21f0
0xfffffff009e44048: 8802088b  add	x8, x20, x8
0xfffffff009e4404c: c9528052  mov	w9, #0x296
0xfffffff009e44050: 0acffef0  adrp	x10, #0xfffffff007827000
0xfffffff009e44054: 4a913b91  add	x10, x10, #0xee4
0xfffffff009e44058: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e4405c: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009e44060: 00cffef0  adrp	x0, #0xfffffff007827000
0xfffffff009e44064: 00c83a91  add	x0, x0, #0xeb2
0xfffffff009e44068: 17ee0094  bl	#0xfffffff009e7f8c4
0xfffffff009e4406c: 19000014  b	#0xfffffff009e440d0
0xfffffff009e44070: 882c0090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e44074: 08e12791  add	x8, x8, #0x9f8
0xfffffff009e44078: 29008052  mov	w9, #1
0xfffffff009e4407c: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009e44080: 882c0090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e44084: 180105f9  str	x24, [x8, #0xa00]
0xfffffff009e44088: 96018052  mov	w22, #0xc
0xfffffff009e4408c: c3ffff17  b	#0xfffffff009e43f98
0xfffffff009e44090: e1830091  add	x1, sp, #0x20
0xfffffff009e44094: e00314aa  mov	x0, x20
0xfffffff009e44098: e20315aa  mov	x2, x21
0xfffffff009e4409c: b2fcff97  bl	#0xfffffff009e43364
0xfffffff009e440a0: 60020034  cbz	w0, #0xfffffff009e440ec
0xfffffff009e440a4: f60300aa  mov	x22, x0
0xfffffff009e440a8: 083e8452  mov	w8, #0x21f0
0xfffffff009e440ac: 8802088b  add	x8, x20, x8
0xfffffff009e440b0: a9538052  mov	w9, #0x29d
0xfffffff009e440b4: 0acffef0  adrp	x10, #0xfffffff007827000
0xfffffff009e440b8: 4a913b91  add	x10, x10, #0xee4
0xfffffff009e440bc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e440c0: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009e440c4: 00cffef0  adrp	x0, #0xfffffff007827000
0xfffffff009e440c8: 00dc3b91  add	x0, x0, #0xef7
0xfffffff009e440cc: feed0094  bl	#0xfffffff009e7f8c4
0xfffffff009e440d0: e04f40f9  ldr	x0, [sp, #0x98]
0xfffffff009e440d4: 20f6ffb4  cbz	x0, #0xfffffff009e43f98
0xfffffff009e440d8: e1234179  ldrh	w1, [sp, #0x90]
0xfffffff009e440dc: e80301cb  neg	x8, x1
