; Candidate 7050
; ADRP+ADD at VM 0xfffffff008853b6c (fileoff 0x184fb6c): page=0x1fe996000 add_imm=0xe80

0xfffffff008853aec: e00316aa  mov	x0, x22
0xfffffff008853af0: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008853af4: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008853af8: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008853afc: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008853b00: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008853b04: ff030391  add	sp, sp, #0xc0
0xfffffff008853b08: ff0f5fd6  retab	
0xfffffff008853b0c: a8810194  bl	#0xfffffff0088b41ac
0xfffffff008853b10: f70300aa  mov	x23, x0
0xfffffff008853b14: a0008052  mov	w0, #5
0xfffffff008853b18: 4e9f0094  bl	#0xfffffff00887b850
0xfffffff008853b1c: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008853b20: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008853b24: 2a5b40b9  ldr	w10, [x25, #0x58]
0xfffffff008853b28: ab1240b9  ldr	w11, [x21, #0x10]
0xfffffff008853b2c: ac5240b9  ldr	w12, [x21, #0x50]
0xfffffff008853b30: e83306a9  stp	x8, x12, [sp, #0x60]
0xfffffff008853b34: f52f05a9  stp	x21, x11, [sp, #0x50]
0xfffffff008853b38: f92b04a9  stp	x25, x10, [sp, #0x40]
0xfffffff008853b3c: f42703a9  stp	x20, x9, [sp, #0x30]
0xfffffff008853b40: 88a28052  mov	w8, #0x514
0xfffffff008853b44: 894eff90  adrp	x9, #0xfffffff007223000
0xfffffff008853b48: 29b91291  add	x9, x9, #0x4ae
0xfffffff008853b4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008853b50: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853b54: 08811191  add	x8, x8, #0x460
0xfffffff008853b58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853b5c: 880c8052  mov	w8, #0x64
0xfffffff008853b60: 0350ff90  adrp	x3, #0xfffffff007253000
0xfffffff008853b64: 630c1691  add	x3, x3, #0x583
0xfffffff008853b68: f72300a9  stp	x23, x8, [sp]
0xfffffff008853b6c: a04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008853b70: 00003a91  add	x0, x0, #0xe80
0xfffffff008853b74: a18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008853b78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008853b7c: 02008052  mov	w2, #0
0xfffffff008853b80: 6c7deb97  bl	#0xfffffff008333130
0xfffffff008853b84: 9fffff17  b	#0xfffffff008853a00
0xfffffff008853b88: 7f2303d5  pacibsp	
0xfffffff008853b8c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008853b90: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff008853b94: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff008853b98: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008853b9c: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008853ba0: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008853ba4: fdc30291  add	x29, sp, #0xb0
0xfffffff008853ba8: f50302aa  mov	x21, x2
0xfffffff008853bac: f40301aa  mov	x20, x1
0xfffffff008853bb0: f30300aa  mov	x19, x0
0xfffffff008853bb4: 800c8052  mov	w0, #0x64
0xfffffff008853bb8: e1008052  mov	w1, #7
0xfffffff008853bbc: 059f0094  bl	#0xfffffff00887b7d0
0xfffffff008853bc0: e0020034  cbz	w0, #0xfffffff008853c1c
0xfffffff008853bc4: 800c8052  mov	w0, #0x64
0xfffffff008853bc8: 149f0094  bl	#0xfffffff00887b818
0xfffffff008853bcc: f70300aa  mov	x23, x0
0xfffffff008853bd0: 77810194  bl	#0xfffffff0088b41ac
0xfffffff008853bd4: f60300aa  mov	x22, x0
0xfffffff008853bd8: e0008052  mov	w0, #7
0xfffffff008853bdc: 1d9f0094  bl	#0xfffffff00887b850
0xfffffff008853be0: 37020034  cbz	w23, #0xfffffff008853c24
0xfffffff008853be4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853be8: f4d703a9  stp	x20, x21, [sp, #0x38]
