; Candidate 143
; ADRP+ADD at VM 0xfffffff007e2b0e0 (fileoff 0xe270e0): page=0x23a6000 add_imm=0xd20

0xfffffff007e2b060: 83eefd97  bl	#0xfffffff007da6a6c
0xfffffff007e2b064: 081d01d0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2b068: 082543f9  ldr	x8, [x8, #0x648]
0xfffffff007e2b06c: 145540a9  ldp	x20, x21, [x8]
0xfffffff007e2b070: 966a4079  ldrh	w22, [x20, #0x34]
0xfffffff007e2b074: e00313aa  mov	x0, x19
0xfffffff007e2b078: e10316aa  mov	x1, x22
0xfffffff007e2b07c: b186fc97  bl	#0xfffffff007d4cb40
0xfffffff007e2b080: e00314aa  mov	x0, x20
0xfffffff007e2b084: e10315aa  mov	x1, x21
0xfffffff007e2b088: e20313aa  mov	x2, x19
0xfffffff007e2b08c: e30316aa  mov	x3, x22
0xfffffff007e2b090: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e2b094: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e2b098: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e2b09c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e2b0a0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff007e2b0a4: ff830191  add	sp, sp, #0x60
0xfffffff007e2b0a8: ff2303d5  autibsp	
0xfffffff007e2b0ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e2b0b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e2b0b8
0xfffffff007e2b0b4: 208e38d4  brk	#0xc471
0xfffffff007e2b0b8: ee65ff17  b	#0xfffffff007e04870
0xfffffff007e2b0bc: e00313aa  mov	x0, x19
0xfffffff007e2b0c0: e10314aa  mov	x1, x20
0xfffffff007e2b0c4: 42008052  mov	w2, #2
0xfffffff007e2b0c8: 8c02fe97  bl	#0xfffffff007dabaf8
0xfffffff007e2b0cc: aaffff17  b	#0xfffffff007e2af74
0xfffffff007e2b0d0: e00313aa  mov	x0, x19
0xfffffff007e2b0d4: e10314aa  mov	x1, x20
0xfffffff007e2b0d8: a305fe97  bl	#0xfffffff007dac764
0xfffffff007e2b0dc: b8ffff17  b	#0xfffffff007e2afbc
0xfffffff007e2b0e0: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b0e4: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b0e8: e10314aa  mov	x1, x20
0xfffffff007e2b0ec: 42008052  mov	w2, #2
0xfffffff007e2b0f0: 8202fe97  bl	#0xfffffff007dabaf8
0xfffffff007e2b0f4: bdffff17  b	#0xfffffff007e2afe8
0xfffffff007e2b0f8: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b0fc: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b100: e10314aa  mov	x1, x20
0xfffffff007e2b104: 9805fe97  bl	#0xfffffff007dac764
0xfffffff007e2b108: c7ffff17  b	#0xfffffff007e2b024
0xfffffff007e2b10c: c893ffd0  adrp	x8, #0xfffffff0070a5000
0xfffffff007e2b110: 08752591  add	x8, x8, #0x95d
0xfffffff007e2b114: 693a8052  mov	w9, #0x1d3
0xfffffff007e2b118: e82700a9  stp	x8, x9, [sp]
0xfffffff007e2b11c: c093ffd0  adrp	x0, #0xfffffff0070a5000
0xfffffff007e2b120: 00102591  add	x0, x0, #0x944
0xfffffff007e2b124: faa41994  bl	#0xfffffff00849450c
0xfffffff007e2b128: 7f2303d5  pacibsp	
0xfffffff007e2b12c: ff0302d1  sub	sp, sp, #0x80
0xfffffff007e2b130: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff007e2b134: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff007e2b138: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff007e2b13c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff007e2b140: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff007e2b144: fdc30191  add	x29, sp, #0x70
0xfffffff007e2b148: 08cc4079  ldrh	w8, [x0, #0x66]
0xfffffff007e2b14c: 091d01d0  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e2b150: 294146b9  ldr	w9, [x9, #0x640]
0xfffffff007e2b154: 3f01086b  cmp	w9, w8
0xfffffff007e2b158: cc000054  b.gt	#0xfffffff007e2b170
0xfffffff007e2b15c: f40300aa  mov	x20, x0
