; Candidate 2510
; ADRP+ADD at VM 0xfffffff0086a91b8 (fileoff 0x16a51b8): page=0x1c30000 add_imm=0xe08

0xfffffff0086a9138: fd430091  add	x29, sp, #0x10
0xfffffff0086a913c: 80e10090  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a9140: 00e03691  add	x0, x0, #0xdb8
0xfffffff0086a9144: 0154ff90  adrp	x1, #0xfffffff007129000
0xfffffff0086a9148: 216c3291  add	x1, x1, #0xc9b
0xfffffff0086a914c: d399ffd0  adrp	x19, #0xfffffff0079e3000
0xfffffff0086a9150: 73fe46f9  ldr	x19, [x19, #0xdf8]
0xfffffff0086a9154: e20313aa  mov	x2, x19
0xfffffff0086a9158: 03068052  mov	w3, #0x30
0xfffffff0086a915c: 77eaf097  bl	#0xfffffff0082e3b38
0xfffffff0086a9160: 309affb0  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a9164: 10422a91  add	x16, x16, #0xa90
0xfffffff0086a9168: 10420091  add	x16, x16, #0x10
0xfffffff0086a916c: f10300aa  mov	x17, x0
0xfffffff0086a9170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a9174: 300ac1da  pacda	x16, x17
0xfffffff0086a9178: 100000f9  str	x16, [x0]
0xfffffff0086a917c: 80e10090  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a9180: 00803791  add	x0, x0, #0xde0
0xfffffff0086a9184: 0154ff90  adrp	x1, #0xfffffff007129000
0xfffffff0086a9188: 21d03391  add	x1, x1, #0xcf4
0xfffffff0086a918c: c299ffd0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a9190: 42f446f9  ldr	x2, [x2, #0xde8]
0xfffffff0086a9194: 03058052  mov	w3, #0x28
0xfffffff0086a9198: 68eaf097  bl	#0xfffffff0082e3b38
0xfffffff0086a919c: 309affb0  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a91a0: 10e22e91  add	x16, x16, #0xbb8
0xfffffff0086a91a4: 10420091  add	x16, x16, #0x10
0xfffffff0086a91a8: f10300aa  mov	x17, x0
0xfffffff0086a91ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a91b0: 300ac1da  pacda	x16, x17
0xfffffff0086a91b4: 100000f9  str	x16, [x0]
0xfffffff0086a91b8: 80e10090  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a91bc: 00203891  add	x0, x0, #0xe08
0xfffffff0086a91c0: 0154ff90  adrp	x1, #0xfffffff007129000
0xfffffff0086a91c4: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0086a91c8: c299ffd0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a91cc: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086a91d0: 03718052  mov	w3, #0x388
0xfffffff0086a91d4: 59eaf097  bl	#0xfffffff0082e3b38
0xfffffff0086a91d8: 309affd0  adrp	x16, #0xfffffff0079ef000
0xfffffff0086a91dc: 10021091  add	x16, x16, #0x400
0xfffffff0086a91e0: 10420091  add	x16, x16, #0x10
0xfffffff0086a91e4: f10300aa  mov	x17, x0
0xfffffff0086a91e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a91ec: 300ac1da  pacda	x16, x17
0xfffffff0086a91f0: 100000f9  str	x16, [x0]
0xfffffff0086a91f4: 80e10090  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a91f8: 00c03891  add	x0, x0, #0xe30
0xfffffff0086a91fc: 0154ffb0  adrp	x1, #0xfffffff00712a000
0xfffffff0086a9200: 21082d91  add	x1, x1, #0xb42
0xfffffff0086a9204: e20313aa  mov	x2, x19
0xfffffff0086a9208: 03078052  mov	w3, #0x38
0xfffffff0086a920c: 4beaf097  bl	#0xfffffff0082e3b38
0xfffffff0086a9210: 309affd0  adrp	x16, #0xfffffff0079ef000
0xfffffff0086a9214: 10821e91  add	x16, x16, #0x7a0
0xfffffff0086a9218: 10420091  add	x16, x16, #0x10
0xfffffff0086a921c: f10300aa  mov	x17, x0
0xfffffff0086a9220: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a9224: 300ac1da  pacda	x16, x17
0xfffffff0086a9228: 100000f9  str	x16, [x0]
0xfffffff0086a922c: 80e10090  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a9230: 00603991  add	x0, x0, #0xe58
0xfffffff0086a9234: 0154ffb0  adrp	x1, #0xfffffff00712a000
