; Candidate 1611
; ADRP+ADD at VM 0xfffffff0084bc09c (fileoff 0x14b809c): page=0x1feb9a000 add_imm=0xd36

0xfffffff0084bc01c: 22008052  mov	w2, #1
0xfffffff0084bc020: 63008052  mov	w3, #3
0xfffffff0084bc024: a001e897  bl	#0xfffffff007ebc6a4
0xfffffff0084bc028: b48646f9  ldr	x20, [x21, #0xd08]
0xfffffff0084bc02c: 880240f9  ldr	x8, [x20]
0xfffffff0084bc030: a88606f9  str	x8, [x21, #0xd08]
0xfffffff0084bc034: e00314aa  mov	x0, x20
0xfffffff0084bc038: 7c000094  bl	#0xfffffff0084bc228
0xfffffff0084bc03c: 08a1ffb0  adrp	x8, #0xfffffff0078dd000
0xfffffff0084bc040: 089145f9  ldr	x8, [x8, #0xb20]
0xfffffff0084bc044: 29008052  mov	w9, #1
0xfffffff0084bc048: 097920b8  str	w9, [x8, x0, lsl #2]
0xfffffff0084bc04c: 7ffe9fc8  stlr	xzr, [x19]
0xfffffff0084bc050: e00314aa  mov	x0, x20
0xfffffff0084bc054: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0084bc058: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0084bc05c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0084bc060: ff430191  add	sp, sp, #0x50
0xfffffff0084bc064: ff0f5fd6  retab	
0xfffffff0084bc068: 88828152  mov	w8, #0xc14
0xfffffff0084bc06c: c95cffd0  adrp	x9, #0xfffffff007056000
0xfffffff0084bc070: 29a91d91  add	x9, x9, #0x76a
0xfffffff0084bc074: ca5cffd0  adrp	x10, #0xfffffff007056000
0xfffffff0084bc078: 4afd3591  add	x10, x10, #0xd7f
0xfffffff0084bc07c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084bc080: ea3300a9  stp	x10, x12, [sp]
0xfffffff0084bc084: c05cffd0  adrp	x0, #0xfffffff007056000
0xfffffff0084bc088: 00683691  add	x0, x0, #0xd9a
0xfffffff0084bc08c: 2061ff97  bl	#0xfffffff00849450c
0xfffffff0084bc090: c85cffd0  adrp	x8, #0xfffffff007056000
0xfffffff0084bc094: 08fd3591  add	x8, x8, #0xd7f
0xfffffff0084bc098: e80300f9  str	x8, [sp]
0xfffffff0084bc09c: c05cffd0  adrp	x0, #0xfffffff007056000
0xfffffff0084bc0a0: 00d83491  add	x0, x0, #0xd36
0xfffffff0084bc0a4: 1a61ff97  bl	#0xfffffff00849450c
0xfffffff0084bc0a8: 7f2303d5  pacibsp	
0xfffffff0084bc0ac: ff0301d1  sub	sp, sp, #0x40
0xfffffff0084bc0b0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0084bc0b4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0084bc0b8: fdc30091  add	x29, sp, #0x30
0xfffffff0084bc0bc: f30300aa  mov	x19, x0
0xfffffff0084bc0c0: 14e700d0  adrp	x20, #0xfffffff00a19e000
0xfffffff0084bc0c4: 94c23391  add	x20, x20, #0xcf0
0xfffffff0084bc0c8: e00314aa  mov	x0, x20
0xfffffff0084bc0cc: 7acee397  bl	#0xfffffff007dafab4
0xfffffff0084bc0d0: e00313aa  mov	x0, x19
0xfffffff0084bc0d4: 55000094  bl	#0xfffffff0084bc228
0xfffffff0084bc0d8: 08a1ffb0  adrp	x8, #0xfffffff0078dd000
0xfffffff0084bc0dc: 099145f9  ldr	x9, [x8, #0xb20]
0xfffffff0084bc0e0: 2809008b  add	x8, x9, x0, lsl #2
0xfffffff0084bc0e4: 0a008012  mov	w10, #-1
0xfffffff0084bc0e8: 0a016ab8  ldaddl	w10, w10, [x8]
0xfffffff0084bc0ec: aa010034  cbz	w10, #0xfffffff0084bc120
0xfffffff0084bc0f0: 5f050071  cmp	w10, #1
0xfffffff0084bc0f4: a0010054  b.eq	#0xfffffff0084bc128
0xfffffff0084bc0f8: 488b8152  mov	w8, #0xc5a
0xfffffff0084bc0fc: c95cffd0  adrp	x9, #0xfffffff007056000
0xfffffff0084bc100: 29a91d91  add	x9, x9, #0x76a
0xfffffff0084bc104: ca5cffd0  adrp	x10, #0xfffffff007056000
0xfffffff0084bc108: 4af53791  add	x10, x10, #0xdfd
0xfffffff0084bc10c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084bc110: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0084bc114: c05cffd0  adrp	x0, #0xfffffff007056000
0xfffffff0084bc118: 003c3791  add	x0, x0, #0xdcf
