; Candidate 4769
; ADRP+ADD at VM 0xfffffff0087c5088 (fileoff 0x17c1088): page=0x1fea24000 add_imm=0xe80

0xfffffff0087c5008: c00200b9  str	w0, [x22]
0xfffffff0087c500c: a00f8052  mov	w0, #0x7d
0xfffffff0087c5010: e1008052  mov	w1, #7
0xfffffff0087c5014: efd90294  bl	#0xfffffff00887b7d0
0xfffffff0087c5018: 80040034  cbz	w0, #0xfffffff0087c50a8
0xfffffff0087c501c: a00f8052  mov	w0, #0x7d
0xfffffff0087c5020: fed90294  bl	#0xfffffff00887b818
0xfffffff0087c5024: fc0300aa  mov	x28, x0
0xfffffff0087c5028: 61bc0394  bl	#0xfffffff0088b41ac
0xfffffff0087c502c: fb0300aa  mov	x27, x0
0xfffffff0087c5030: e0008052  mov	w0, #7
0xfffffff0087c5034: 07da0294  bl	#0xfffffff00887b850
0xfffffff0087c5038: 5c010034  cbz	w28, #0xfffffff0087c5060
0xfffffff0087c503c: c80240b9  ldr	w8, [x22]
0xfffffff0087c5040: f8a301a9  stp	x24, x8, [sp, #0x18]
0xfffffff0087c5044: a80f8052  mov	w8, #0x7d
0xfffffff0087c5048: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c504c: fb0300f9  str	x27, [sp]
0xfffffff0087c5050: 4052ff90  adrp	x0, #0xfffffff00720d000
0xfffffff0087c5054: 00800e91  add	x0, x0, #0x3a0
0xfffffff0087c5058: 02c9d797  bl	#0xfffffff007db7460
0xfffffff0087c505c: 13000014  b	#0xfffffff0087c50a8
0xfffffff0087c5060: 53bc0394  bl	#0xfffffff0088b41ac
0xfffffff0087c5064: fb0300aa  mov	x27, x0
0xfffffff0087c5068: e0008052  mov	w0, #7
0xfffffff0087c506c: f9d90294  bl	#0xfffffff00887b850
0xfffffff0087c5070: c90240b9  ldr	w9, [x22]
0xfffffff0087c5074: e80318aa  mov	x8, x24
0xfffffff0087c5078: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c507c: a80f8052  mov	w8, #0x7d
0xfffffff0087c5080: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c5084: fb0300f9  str	x27, [sp]
0xfffffff0087c5088: 2051ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c508c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c5090: 0192fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c5094: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c5098: 8353ffb0  adrp	x3, #0xfffffff007236000
0xfffffff0087c509c: 63603791  add	x3, x3, #0xdd8
0xfffffff0087c50a0: 02008052  mov	w2, #0
0xfffffff0087c50a4: 23b8ed97  bl	#0xfffffff008333130
0xfffffff0087c50a8: b31340b9  ldr	w19, [x29, #0x10]
0xfffffff0087c50ac: a00f8052  mov	w0, #0x7d
0xfffffff0087c50b0: e1008052  mov	w1, #7
0xfffffff0087c50b4: c7d90294  bl	#0xfffffff00887b7d0
0xfffffff0087c50b8: a0040034  cbz	w0, #0xfffffff0087c514c
0xfffffff0087c50bc: a00f8052  mov	w0, #0x7d
0xfffffff0087c50c0: d6d90294  bl	#0xfffffff00887b818
0xfffffff0087c50c4: fc0300aa  mov	x28, x0
0xfffffff0087c50c8: 39bc0394  bl	#0xfffffff0088b41ac
0xfffffff0087c50cc: fb0300aa  mov	x27, x0
0xfffffff0087c50d0: e0008052  mov	w0, #7
0xfffffff0087c50d4: dfd90294  bl	#0xfffffff00887b850
0xfffffff0087c50d8: 5c010034  cbz	w28, #0xfffffff0087c5100
0xfffffff0087c50dc: fa5702a9  stp	x26, x21, [sp, #0x20]
0xfffffff0087c50e0: e80318aa  mov	x8, x24
0xfffffff0087c50e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c50e8: a80f8052  mov	w8, #0x7d
0xfffffff0087c50ec: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087c50f0: 4052ff90  adrp	x0, #0xfffffff00720d000
0xfffffff0087c50f4: 00a40f91  add	x0, x0, #0x3e9
0xfffffff0087c50f8: dac8d797  bl	#0xfffffff007db7460
0xfffffff0087c50fc: 14000014  b	#0xfffffff0087c514c
0xfffffff0087c5100: 2bbc0394  bl	#0xfffffff0088b41ac
0xfffffff0087c5104: fb0300aa  mov	x27, x0
