; Candidate 14950
; ADRP+ADD at VM 0xfffffff009a0bbac (fileoff 0x2a07bac): page=0x9ab000 add_imm=0xce8

0xfffffff009a0bb2c: 210c3391  add	x1, x1, #0xcc3
0xfffffff009a0bb30: e20314aa  mov	x2, x20
0xfffffff009a0bb34: 03298052  mov	w3, #0x148
0xfffffff009a0bb38: 0060a397  bl	#0xfffffff0082e3b38
0xfffffff009a0bb3c: b014ff90  adrp	x16, #0xfffffff007c9f000
0xfffffff009a0bb40: 10020191  add	x16, x16, #0x40
0xfffffff009a0bb44: 10420091  add	x16, x16, #0x10
0xfffffff009a0bb48: f10300aa  mov	x17, x0
0xfffffff009a0bb4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0bb50: 300ac1da  pacda	x16, x17
0xfffffff009a0bb54: 100000f9  str	x16, [x0]
0xfffffff009a0bb58: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bb5c: 00a03391  add	x0, x0, #0xce8
0xfffffff009a0bb60: a1dffed0  adrp	x1, #0xfffffff007601000
0xfffffff009a0bb64: 21b41291  add	x1, x1, #0x4ad
0xfffffff009a0bb68: 8214ffd0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a0bb6c: 422c41f9  ldr	x2, [x2, #0x258]
0xfffffff009a0bb70: 030f8052  mov	w3, #0x78
0xfffffff009a0bb74: f15fa397  bl	#0xfffffff0082e3b38
0xfffffff009a0bb78: b014ff90  adrp	x16, #0xfffffff007c9f000
0xfffffff009a0bb7c: 10220791  add	x16, x16, #0x1c8
0xfffffff009a0bb80: 10420091  add	x16, x16, #0x10
0xfffffff009a0bb84: f10300aa  mov	x17, x0
0xfffffff009a0bb88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0bb8c: 300ac1da  pacda	x16, x17
0xfffffff009a0bb90: 100000f9  str	x16, [x0]
0xfffffff009a0bb94: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a0bb98: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a0bb9c: ff0f5fd6  retab	
0xfffffff009a0bba0: 7f2303d5  pacibsp	
0xfffffff009a0bba4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a0bba8: fd030091  mov	x29, sp
0xfffffff009a0bbac: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bbb0: 00a03391  add	x0, x0, #0xce8
0xfffffff009a0bbb4: d062a397  bl	#0xfffffff0082e46f4
0xfffffff009a0bbb8: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bbbc: 00003391  add	x0, x0, #0xcc0
0xfffffff009a0bbc0: cd62a397  bl	#0xfffffff0082e46f4
0xfffffff009a0bbc4: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bbc8: 00603291  add	x0, x0, #0xc98
0xfffffff009a0bbcc: ca62a397  bl	#0xfffffff0082e46f4
0xfffffff009a0bbd0: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bbd4: 00c03191  add	x0, x0, #0xc70
0xfffffff009a0bbd8: c762a397  bl	#0xfffffff0082e46f4
0xfffffff009a0bbdc: 404d00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a0bbe0: 00203191  add	x0, x0, #0xc48
0xfffffff009a0bbe4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a0bbe8: ff2303d5  autibsp	
0xfffffff009a0bbec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a0bbf0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a0bbf8
0xfffffff009a0bbf4: 208e38d4  brk	#0xc471
0xfffffff009a0bbf8: bf62a317  b	#0xfffffff0082e46f4
0xfffffff009a0bbfc: 7f2303d5  pacibsp	
0xfffffff009a0bc00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a0bc04: fd030091  mov	x29, sp
0xfffffff009a0bc08: a1dffed0  adrp	x1, #0xfffffff007601000
0xfffffff009a0bc0c: 21f02d91  add	x1, x1, #0xb7c
0xfffffff009a0bc10: 8214ffd0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a0bc14: 425441f9  ldr	x2, [x2, #0x2a8]
0xfffffff009a0bc18: 03178052  mov	w3, #0xb8
0xfffffff009a0bc1c: c75fa397  bl	#0xfffffff0082e3b38
0xfffffff009a0bc20: b014ff90  adrp	x16, #0xfffffff007c9f000
0xfffffff009a0bc24: 10822291  add	x16, x16, #0x8a0
0xfffffff009a0bc28: 10420091  add	x16, x16, #0x10
