; Candidate 4763
; ADRP+ADD at VM 0xfffffff0087c4bbc (fileoff 0x17c0bbc): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c4b3c: 606200b9  str	w0, [x19, #0x60]
0xfffffff0087c4b40: 2004000f  movi	v0.2s, #1
0xfffffff0087c4b44: 604206fc  stur	d0, [x19, #0x64]
0xfffffff0087c4b48: 7f6e00b9  str	wzr, [x19, #0x6c]
0xfffffff0087c4b4c: 7fc20139  strb	wzr, [x19, #0x70]
0xfffffff0087c4b50: a5000014  b	#0xfffffff0087c4de4
0xfffffff0087c4b54: c9948752  mov	w9, #0x3ca6
0xfffffff0087c4b58: 896a6938  ldrb	w9, [x20, x9]
0xfffffff0087c4b5c: 49140036  tbz	w9, #0, #0xfffffff0087c4de4
0xfffffff0087c4b60: 694cff90  adrp	x9, #0xfffffff007150000
0xfffffff0087c4b64: 29850e91  add	x9, x9, #0x3a1
0xfffffff0087c4b68: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c4b6c: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4b70: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4b74: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4b78: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4b7c: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4b80: 63f81b91  add	x3, x3, #0x6fe
0xfffffff0087c4b84: 02008052  mov	w2, #0
0xfffffff0087c4b88: 6ab9ed97  bl	#0xfffffff008333130
0xfffffff0087c4b8c: 96000014  b	#0xfffffff0087c4de4
0xfffffff0087c4b90: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4b94: 211c1c91  add	x1, x1, #0x707
0xfffffff0087c4b98: e00314aa  mov	x0, x20
0xfffffff0087c4b9c: 02018052  mov	w2, #8
0xfffffff0087c4ba0: c8d9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4ba4: 605a00b9  str	w0, [x19, #0x58]
0xfffffff0087c4ba8: 1f000471  cmp	w0, #0x100
0xfffffff0087c4bac: e3050054  b.lo	#0xfffffff0087c4c68
0xfffffff0087c4bb0: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4bb4: 08850e91  add	x8, x8, #0x3a1
0xfffffff0087c4bb8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c4bbc: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4bc0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4bc4: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4bc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4bcc: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4bd0: 63d41d91  add	x3, x3, #0x775
0xfffffff0087c4bd4: 02008052  mov	w2, #0
0xfffffff0087c4bd8: 56b9ed97  bl	#0xfffffff008333130
0xfffffff0087c4bdc: 82000014  b	#0xfffffff0087c4de4
0xfffffff0087c4be0: 685640b9  ldr	w8, [x19, #0x54]
0xfffffff0087c4be4: 1f050071  cmp	w8, #1
0xfffffff0087c4be8: 81060054  b.ne	#0xfffffff0087c4cb8
0xfffffff0087c4bec: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff0087c4bf0: 1f350071  cmp	w8, #0xd
0xfffffff0087c4bf4: 21060054  b.ne	#0xfffffff0087c4cb8
0xfffffff0087c4bf8: 00060035  cbnz	w0, #0xfffffff0087c4cb8
0xfffffff0087c4bfc: 7f6a00b9  str	wzr, [x19, #0x68]
0xfffffff0087c4c00: 084dfff0  adrp	x8, #0xfffffff007167000
0xfffffff0087c4c04: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff0087c4c08: 603200fd  str	d0, [x19, #0x60]
0xfffffff0087c4c0c: 684a40b9  ldr	w8, [x19, #0x48]
0xfffffff0087c4c10: 1f050071  cmp	w8, #1
0xfffffff0087c4c14: c00d0054  b.eq	#0xfffffff0087c4dcc
0xfffffff0087c4c18: 1f090071  cmp	w8, #2
0xfffffff0087c4c1c: 81000054  b.ne	#0xfffffff0087c4c2c
0xfffffff0087c4c20: 684e40b9  ldr	w8, [x19, #0x4c]
0xfffffff0087c4c24: 1f310071  cmp	w8, #0xc
0xfffffff0087c4c28: 200d0054  b.eq	#0xfffffff0087c4dcc
0xfffffff0087c4c2c: c8948752  mov	w8, #0x3ca6
0xfffffff0087c4c30: 886a6838  ldrb	w8, [x20, x8]
0xfffffff0087c4c34: 880d0036  tbz	w8, #0, #0xfffffff0087c4de4
0xfffffff0087c4c38: 684cff90  adrp	x8, #0xfffffff007150000
