; Candidate 13848
; ADRP+ADD at VM 0xfffffff0095b7308 (fileoff 0x25b3308): page=0x1fe643000 add_imm=0xd00

0xfffffff0095b7288: c8718052  mov	w8, #0x38e
0xfffffff0095b728c: e8ffff17  b	#0xfffffff0095b722c
0xfffffff0095b7290: 7f2303d5  pacibsp	
0xfffffff0095b7294: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095b7298: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095b729c: fd430091  add	x29, sp, #0x10
0xfffffff0095b72a0: 141040f9  ldr	x20, [x0, #0x20]
0xfffffff0095b72a4: 481840b9  ldr	w8, [x2, #0x18]
0xfffffff0095b72a8: 530840f9  ldr	x19, [x2, #0x10]
0xfffffff0095b72ac: 610240f9  ldr	x1, [x19]
0xfffffff0095b72b0: 04010012  and	w4, w8, #1
0xfffffff0095b72b4: 900240f9  ldr	x16, [x20]
0xfffffff0095b72b8: f10314aa  mov	x17, x20
0xfffffff0095b72bc: 9103f6f2  movk	x17, #0xb01c, lsl #48
0xfffffff0095b72c0: 301ac1da  autda	x16, x17
0xfffffff0095b72c4: 118380d2  mov	x17, #0x418
0xfffffff0095b72c8: 1002118b  add	x16, x16, x17
0xfffffff0095b72cc: 080240f9  ldr	x8, [x16]
0xfffffff0095b72d0: e90310aa  mov	x9, x16
0xfffffff0095b72d4: e00314aa  mov	x0, x20
0xfffffff0095b72d8: 02008052  mov	w2, #0
0xfffffff0095b72dc: a3008052  mov	w3, #5
0xfffffff0095b72e0: f10309aa  mov	x17, x9
0xfffffff0095b72e4: b190e8f2  movk	x17, #0x4485, lsl #48
0xfffffff0095b72e8: 11093fd7  blraa	x8, x17
0xfffffff0095b72ec: 680240f9  ldr	x8, [x19]
0xfffffff0095b72f0: 080200b4  cbz	x8, #0xfffffff0095b7330
0xfffffff0095b72f4: 882245f9  ldr	x8, [x20, #0xa40]
0xfffffff0095b72f8: 802645f9  ldr	x0, [x20, #0xa48]
0xfffffff0095b72fc: 611240f9  ldr	x1, [x19, #0x20]
0xfffffff0095b7300: 117b8ed2  mov	x17, #0x73d8
0xfffffff0095b7304: 11093fd7  blraa	x8, x17
0xfffffff0095b7308: 0032fff0  adrp	x0, #0xfffffff007bfa000
0xfffffff0095b730c: 00003491  add	x0, x0, #0xd00
0xfffffff0095b7310: e10313aa  mov	x1, x19
0xfffffff0095b7314: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095b7318: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0095b731c: ff2303d5  autibsp	
0xfffffff0095b7320: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0095b7324: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0095b732c
0xfffffff0095b7328: 208e38d4  brk	#0xc471
0xfffffff0095b732c: f87cb617  b	#0xfffffff00835670c
0xfffffff0095b7330: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095b7334: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0095b7338: ff0f5fd6  retab	
0xfffffff0095b733c: 7f2303d5  pacibsp	
0xfffffff0095b7340: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095b7344: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095b7348: fd430091  add	x29, sp, #0x10
0xfffffff0095b734c: f30300aa  mov	x19, x0
0xfffffff0095b7350: 100040f9  ldr	x16, [x0]
0xfffffff0095b7354: f10300aa  mov	x17, x0
0xfffffff0095b7358: 9103f6f2  movk	x17, #0xb01c, lsl #48
0xfffffff0095b735c: 301ac1da  autda	x16, x17
0xfffffff0095b7360: 116580d2  mov	x17, #0x328
0xfffffff0095b7364: 1002118b  add	x16, x16, x17
0xfffffff0095b7368: 080240f9  ldr	x8, [x16]
0xfffffff0095b736c: e90310aa  mov	x9, x16
0xfffffff0095b7370: f10309aa  mov	x17, x9
0xfffffff0095b7374: b103e8f2  movk	x17, #0x401d, lsl #48
0xfffffff0095b7378: 11093fd7  blraa	x8, x17
0xfffffff0095b737c: 60080034  cbz	w0, #0xfffffff0095b7488
0xfffffff0095b7380: 700240f9  ldr	x16, [x19]
0xfffffff0095b7384: f10313aa  mov	x17, x19
